DriverNumber,LapNumber,Compound,TyreLife,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Time,RPM,Speed,Throttle,Brake,DRS,Year,Event,Distance
14,39,SUPERSOFT,21.0,20.0,29.8,1017.5,False,35.9,25,2.0,00:00.129,11679,285,99,False,0,2018,Canadian Grand Prix,
14,39,SUPERSOFT,21.0,20.0,29.8,1017.5,False,35.9,25,2.0,00:00.369,10867,286,99,False,0,2018,Canadian Grand Prix,
14,39,SUPERSOFT,21.0,20.0,29.8,1017.5,False,35.9,25,2.0,00:00.609,10443,286,99,False,0,2018,Canadian Grand Prix,
14,39,SUPERSOFT,21.0,20.0,29.8,1017.5,False,35.9,25,2.0,00:00.849,10378,286,99,False,0,2018,Canadian Grand Prix,
14,39,SUPERSOFT,21.0,20.0,29.8,1017.5,False,35.9,25,2.0,00:01.089,10394,285,99,False,0,2018,Canadian Grand Prix,
14,39,SUPERSOFT,21.0,20.0,29.8,1017.5,False,35.9,25,2.0,00:01.329,10158,285,0,False,0,2018,Canadian Grand Prix,
14,39,SUPERSOFT,21.0,20.0,29.8,1017.5,False,35.9,25,2.0,00:01.569,9994,282,0,False,0,2018,Canadian Grand Prix,
14,39,SUPERSOFT,21.0,20.0,29.8,1017.5,False,35.9,25,2.0,00:01.809,9789,269,0,True,0,2018,Canadian Grand Prix,
14,39,SUPERSOFT,21.0,20.0,29.8,1017.5,False,35.9,25,2.0,00:02.049,8917,249,0,True,0,2018,Canadian Grand Prix,
14,39,SUPERSOFT,21.0,20.0,29.8,1017.5,False,35.9,25,2.0,00:02.289,8804,216,0,True,0,2018,Canadian Grand Prix,
14,39,SUPERSOFT,21.0,20.0,29.8,1017.5,False,35.9,25,2.0,00:02.529,9008,192,0,True,0,2018,Canadian Grand Prix,
14,39,SUPERSOFT,21.0,20.0,29.8,1017.5,False,35.9,25,2.0,00:02.769,8807,184,0,True,0,2018,Canadian Grand Prix,
14,39,SUPERSOFT,21.0,20.0,29.8,1017.5,False,35.9,25,2.0,00:03.009,8962,169,0,True,0,2018,Canadian Grand Prix,
14,39,SUPERSOFT,21.0,20.0,29.8,1017.5,False,35.9,25,2.0,00:03.249,8417,161,0,True,0,2018,Canadian Grand Prix,
14,39,SUPERSOFT,21.0,20.0,29.8,1017.5,False,35.9,25,2.0,00:03.489,9527,151,0,True,0,2018,Canadian Grand Prix,
