DriverNumber,LapNumber,Compound,TyreLife,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Time,RPM,Speed,Throttle,Brake,DRS,Year,Event,Distance
14,49,ULTRASOFT,3.0,23.4,55.9,966.4,False,37.6,63,0.8,00:00.157,10303,287,100,False,0,2018,French Grand Prix,
14,49,ULTRASOFT,3.0,23.4,55.9,966.4,False,37.6,63,0.8,00:00.397,10429,287,100,False,0,2018,French Grand Prix,
14,49,ULTRASOFT,3.0,23.4,55.9,966.4,False,37.6,63,0.8,00:00.637,10412,288,100,False,0,2018,French Grand Prix,
14,49,ULTRASOFT,3.0,23.4,55.9,966.4,False,37.6,63,0.8,00:00.876,10425,287,100,False,0,2018,French Grand Prix,
14,49,ULTRASOFT,3.0,23.4,55.9,966.4,False,37.6,63,0.8,00:01.077,10406,287,100,False,0,2018,French Grand Prix,
14,49,ULTRASOFT,3.0,23.4,55.9,966.4,False,37.6,63,0.8,00:01.317,10423,286,100,False,0,2018,French Grand Prix,
14,49,ULTRASOFT,3.0,23.4,55.9,966.4,False,37.6,63,0.8,00:01.557,10352,286,100,False,0,2018,French Grand Prix,
14,49,ULTRASOFT,3.0,23.4,55.9,966.4,False,37.6,63,0.8,00:01.797,10386,286,100,False,0,2018,French Grand Prix,
14,49,ULTRASOFT,3.0,23.4,55.9,966.4,False,37.6,63,0.8,00:01.998,10410,286,100,False,0,2018,French Grand Prix,
14,49,ULTRASOFT,3.0,23.4,55.9,966.4,False,37.6,63,0.8,00:02.237,10385,286,100,False,0,2018,French Grand Prix,
14,49,ULTRASOFT,3.0,23.4,55.9,966.4,False,37.6,63,0.8,00:02.477,10364,285,100,False,0,2018,French Grand Prix,
14,49,ULTRASOFT,3.0,23.4,55.9,966.4,False,37.6,63,0.8,00:02.717,10313,286,100,False,0,2018,French Grand Prix,
14,49,ULTRASOFT,3.0,23.4,55.9,966.4,False,37.6,63,0.8,00:02.957,10349,285,100,False,0,2018,French Grand Prix,
14,49,ULTRASOFT,3.0,23.4,55.9,966.4,False,37.6,63,0.8,00:03.197,10378,285,100,False,0,2018,French Grand Prix,
14,49,ULTRASOFT,3.0,23.4,55.9,966.4,False,37.6,63,0.8,00:03.398,10351,285,100,False,0,2018,French Grand Prix,
14,49,ULTRASOFT,3.0,23.4,55.9,966.4,False,37.6,63,0.8,00:03.678,10300,285,100,False,0,2018,French Grand Prix,
14,49,ULTRASOFT,3.0,23.4,55.9,966.4,False,37.6,63,0.8,00:03.918,10353,285,100,False,0,2018,French Grand Prix,
14,49,ULTRASOFT,3.0,23.4,55.9,966.4,False,37.6,63,0.8,00:04.158,10132,276,0,True,0,2018,French Grand Prix,
14,49,ULTRASOFT,3.0,23.4,55.9,966.4,False,37.6,63,0.8,00:04.397,9275,258,0,True,0,2018,French Grand Prix,
14,49,ULTRASOFT,3.0,23.4,55.9,966.4,False,37.6,63,0.8,00:04.637,9646,243,0,True,0,2018,French Grand Prix,
14,49,ULTRASOFT,3.0,23.4,55.9,966.4,False,37.6,63,0.8,00:04.838,9533,228,0,True,0,2018,French Grand Prix,
14,49,ULTRASOFT,3.0,23.4,55.9,966.4,False,37.6,63,0.8,00:05.078,9502,204,0,True,0,2018,French Grand Prix,
14,49,ULTRASOFT,3.0,23.4,55.9,966.4,False,37.6,63,0.8,00:05.317,9962,193,0,True,0,2018,French Grand Prix,
14,49,ULTRASOFT,3.0,23.4,55.9,966.4,False,37.6,63,0.8,00:05.557,9342,175,0,True,0,2018,French Grand Prix,
14,49,ULTRASOFT,3.0,23.4,55.9,966.4,False,37.6,63,0.8,00:05.797,8701,166,0,True,0,2018,French Grand Prix,
14,49,ULTRASOFT,3.0,23.4,55.9,966.4,False,37.6,63,0.8,00:06.077,9868,156,0,True,0,2018,French Grand Prix,
14,49,ULTRASOFT,3.0,23.4,55.9,966.4,False,37.6,63,0.8,00:06.316,9339,151,0,False,0,2018,French Grand Prix,
14,49,ULTRASOFT,3.0,23.4,55.9,966.4,False,37.6,63,0.8,00:06.517,9362,147,4,False,0,2018,French Grand Prix,
14,49,ULTRASOFT,3.0,23.4,55.9,966.4,False,37.6,63,0.8,00:06.757,9170,143,23,False,0,2018,French Grand Prix,
14,49,ULTRASOFT,3.0,23.4,55.9,966.4,False,37.6,63,0.8,00:06.997,9367,144,44,False,0,2018,French Grand Prix,
14,49,ULTRASOFT,3.0,23.4,55.9,966.4,False,37.6,63,0.8,00:07.237,9585,147,61,False,0,2018,French Grand Prix,
14,49,ULTRASOFT,3.0,23.4,55.9,966.4,False,37.6,63,0.8,00:07.477,10003,154,100,False,0,2018,French Grand Prix,
14,49,ULTRASOFT,3.0,23.4,55.9,966.4,False,37.6,63,0.8,00:07.757,10690,165,87,False,0,2018,French Grand Prix,
14,49,ULTRASOFT,3.0,23.4,55.9,966.4,False,37.6,63,0.8,00:07.997,10165,170,44,False,0,2018,French Grand Prix,
14,49,ULTRASOFT,3.0,23.4,55.9,966.4,False,37.6,63,0.8,00:08.238,9391,170,28,False,0,2018,French Grand Prix,
14,49,ULTRASOFT,3.0,23.4,55.9,966.4,False,37.6,63,0.8,00:08.477,9321,171,27,False,0,2018,French Grand Prix,
14,49,ULTRASOFT,3.0,23.4,55.9,966.4,False,37.6,63,0.8,00:08.717,9395,169,44,False,0,2018,French Grand Prix,
