DriverNumber,LapNumber,Compound,TyreLife,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Time,RPM,Speed,Throttle,Brake,DRS,Year,Event,Distance
16,16,SOFT,20.0,27.6,38.5,1008.3,False,52.9,5,2.2,00:00.173,11188,254,100,False,12,2018,British Grand Prix,
16,16,SOFT,20.0,27.6,38.5,1008.3,False,52.9,5,2.2,00:00.413,10580,258,100,False,12,2018,British Grand Prix,
16,16,SOFT,20.0,27.6,38.5,1008.3,False,52.9,5,2.2,00:00.653,10822,261,100,False,12,2018,British Grand Prix,
16,16,SOFT,20.0,27.6,38.5,1008.3,False,52.9,5,2.2,00:00.893,10870,265,100,False,12,2018,British Grand Prix,
16,16,SOFT,20.0,27.6,38.5,1008.3,False,52.9,5,2.2,00:01.133,11027,270,100,False,12,2018,British Grand Prix,
16,16,SOFT,20.0,27.6,38.5,1008.3,False,52.9,5,2.2,00:01.413,11232,275,100,False,12,2018,British Grand Prix,
16,16,SOFT,20.0,27.6,38.5,1008.3,False,52.9,5,2.2,00:01.653,11334,277,100,False,12,2018,British Grand Prix,
16,16,SOFT,20.0,27.6,38.5,1008.3,False,52.9,5,2.2,00:01.893,11445,281,100,False,12,2018,British Grand Prix,
16,16,SOFT,20.0,27.6,38.5,1008.3,False,52.9,5,2.2,00:02.173,11551,284,100,False,12,2018,British Grand Prix,
16,16,SOFT,20.0,27.6,38.5,1008.3,False,52.9,5,2.2,00:02.413,11736,287,100,False,12,2018,British Grand Prix,
16,16,SOFT,20.0,27.6,38.5,1008.3,False,52.9,5,2.2,00:02.653,11767,289,100,False,12,2018,British Grand Prix,
16,16,SOFT,20.0,27.6,38.5,1008.3,False,52.9,5,2.2,00:02.854,11785,291,100,False,12,2018,British Grand Prix,
16,16,SOFT,20.0,27.6,38.5,1008.3,False,52.9,5,2.2,00:03.094,10588,293,100,False,12,2018,British Grand Prix,
16,16,SOFT,20.0,27.6,38.5,1008.3,False,52.9,5,2.2,00:03.333,10727,295,100,False,12,2018,British Grand Prix,
16,16,SOFT,20.0,27.6,38.5,1008.3,False,52.9,5,2.2,00:03.573,10763,297,100,False,12,2018,British Grand Prix,
16,16,SOFT,20.0,27.6,38.5,1008.3,False,52.9,5,2.2,00:03.813,10820,299,100,False,10,2018,British Grand Prix,
