DriverNumber,LapNumber,Compound,TyreLife,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Time,RPM,Speed,Throttle,Brake,DRS,Year,Event,Distance
27,35,SOFT,5.0,27.7,51.6,1008.3,False,35.9,341,2.8,00:00.212,10472,272,100,False,0,2018,Japanese Grand Prix,
27,35,SOFT,5.0,27.7,51.6,1008.3,False,35.9,341,2.8,00:00.452,10648,275,100,False,0,2018,Japanese Grand Prix,
27,35,SOFT,5.0,27.7,51.6,1008.3,False,35.9,341,2.8,00:00.692,10739,279,100,False,0,2018,Japanese Grand Prix,
27,35,SOFT,5.0,27.7,51.6,1008.3,False,35.9,341,2.8,00:00.893,10821,281,100,False,0,2018,Japanese Grand Prix,
27,35,SOFT,5.0,27.7,51.6,1008.3,False,35.9,341,2.8,00:01.133,10955,283,100,False,0,2018,Japanese Grand Prix,
27,35,SOFT,5.0,27.7,51.6,1008.3,False,35.9,341,2.8,00:01.413,11046,286,100,False,0,2018,Japanese Grand Prix,
27,35,SOFT,5.0,27.7,51.6,1008.3,False,35.9,341,2.8,00:01.693,11130,288,100,False,0,2018,Japanese Grand Prix,
27,35,SOFT,5.0,27.7,51.6,1008.3,False,35.9,341,2.8,00:01.933,11201,291,100,False,0,2018,Japanese Grand Prix,
27,35,SOFT,5.0,27.7,51.6,1008.3,False,35.9,341,2.8,00:02.173,11292,292,100,False,0,2018,Japanese Grand Prix,
27,35,SOFT,5.0,27.7,51.6,1008.3,False,35.9,341,2.8,00:02.413,11320,295,100,False,0,2018,Japanese Grand Prix,
27,35,SOFT,5.0,27.7,51.6,1008.3,False,35.9,341,2.8,00:02.653,11401,295,100,False,0,2018,Japanese Grand Prix,
27,35,SOFT,5.0,27.7,51.6,1008.3,False,35.9,341,2.8,00:02.893,10373,297,100,False,0,2018,Japanese Grand Prix,
27,35,SOFT,5.0,27.7,51.6,1008.3,False,35.9,341,2.8,00:03.133,10374,298,100,False,0,2018,Japanese Grand Prix,
27,35,SOFT,5.0,27.7,51.6,1008.3,False,35.9,341,2.8,00:03.373,10484,299,100,False,0,2018,Japanese Grand Prix,
27,35,SOFT,5.0,27.7,51.6,1008.3,False,35.9,341,2.8,00:03.613,10514,300,100,False,0,2018,Japanese Grand Prix,
27,35,SOFT,5.0,27.7,51.6,1008.3,False,35.9,341,2.8,00:03.853,10554,301,100,False,0,2018,Japanese Grand Prix,
27,35,SOFT,5.0,27.7,51.6,1008.3,False,35.9,341,2.8,00:04.093,10589,302,100,False,0,2018,Japanese Grand Prix,
27,35,SOFT,5.0,27.7,51.6,1008.3,False,35.9,341,2.8,00:04.333,10472,303,100,False,0,2018,Japanese Grand Prix,
27,35,SOFT,5.0,27.7,51.6,1008.3,False,35.9,341,2.8,00:04.573,10537,303,100,False,0,2018,Japanese Grand Prix,
27,35,SOFT,5.0,27.7,51.6,1008.3,False,35.9,341,2.8,00:04.813,10591,302,100,False,0,2018,Japanese Grand Prix,
27,35,SOFT,5.0,27.7,51.6,1008.3,False,35.9,341,2.8,00:05.093,10599,302,100,False,0,2018,Japanese Grand Prix,
27,35,SOFT,5.0,27.7,51.6,1008.3,False,35.9,341,2.8,00:05.333,10502,302,100,False,0,2018,Japanese Grand Prix,
27,35,SOFT,5.0,27.7,51.6,1008.3,False,35.9,341,2.8,00:05.572,10552,302,100,False,0,2018,Japanese Grand Prix,
27,35,SOFT,5.0,27.7,51.6,1008.3,False,35.9,341,2.8,00:05.812,10565,302,100,False,0,2018,Japanese Grand Prix,
27,35,SOFT,5.0,27.7,51.6,1008.3,False,35.9,341,2.8,00:06.052,10497,301,100,False,0,2018,Japanese Grand Prix,
27,35,SOFT,5.0,27.7,51.6,1008.3,False,35.9,341,2.8,00:06.292,10521,301,100,False,0,2018,Japanese Grand Prix,
27,35,SOFT,5.0,27.7,51.6,1008.3,False,35.9,341,2.8,00:06.532,10525,301,100,False,0,2018,Japanese Grand Prix,
27,35,SOFT,5.0,27.7,51.6,1008.3,False,35.9,341,2.8,00:06.772,10473,301,100,False,0,2018,Japanese Grand Prix,
27,35,SOFT,5.0,27.7,51.6,1008.3,False,35.9,341,2.8,00:07.012,10459,300,100,False,0,2018,Japanese Grand Prix,
27,35,SOFT,5.0,27.7,51.6,1008.3,False,35.9,341,2.8,00:07.252,10503,300,100,False,0,2018,Japanese Grand Prix,
27,35,SOFT,5.0,27.7,51.6,1008.3,False,35.9,341,2.8,00:07.453,10175,300,4,True,0,2018,Japanese Grand Prix,
