DriverNumber,LapNumber,Compound,TyreLife,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Time,RPM,Speed,Throttle,Brake,DRS,Year,Event,Distance
28,1,SUPERSOFT,1.0,21.6,66.8,995.4,True,29.5,0,0.0,00:00.768,8865,7,46,False,1,2018,Italian Grand Prix,
28,1,SUPERSOFT,1.0,21.6,66.8,995.4,True,29.5,0,0.0,00:01.007,7613,17,46,False,1,2018,Italian Grand Prix,
28,1,SUPERSOFT,1.0,21.6,66.8,995.4,True,29.5,0,0.0,00:01.247,7324,23,46,False,1,2018,Italian Grand Prix,
28,1,SUPERSOFT,1.0,21.6,66.8,995.4,True,29.5,0,0.0,00:01.486,7123,28,46,False,1,2018,Italian Grand Prix,
28,1,SUPERSOFT,1.0,21.6,66.8,995.4,True,29.5,0,0.0,00:01.726,5863,39,45,False,1,2018,Italian Grand Prix,
28,1,SUPERSOFT,1.0,21.6,66.8,995.4,True,29.5,0,0.0,00:01.927,5566,46,51,False,1,2018,Italian Grand Prix,
28,1,SUPERSOFT,1.0,21.6,66.8,995.4,True,29.5,0,0.0,00:02.167,7246,54,59,False,1,2018,Italian Grand Prix,
28,1,SUPERSOFT,1.0,21.6,66.8,995.4,True,29.5,0,0.0,00:02.407,8592,68,60,False,1,2018,Italian Grand Prix,
28,1,SUPERSOFT,1.0,21.6,66.8,995.4,True,29.5,0,0.0,00:02.687,9806,77,63,False,1,2018,Italian Grand Prix,
28,1,SUPERSOFT,1.0,21.6,66.8,995.4,True,29.5,0,0.0,00:02.927,11358,91,70,False,1,2018,Italian Grand Prix,
28,1,SUPERSOFT,1.0,21.6,66.8,995.4,True,29.5,0,0.0,00:03.166,11471,100,79,False,1,2018,Italian Grand Prix,
28,1,SUPERSOFT,1.0,21.6,66.8,995.4,True,29.5,0,0.0,00:03.367,11744,110,82,False,1,2018,Italian Grand Prix,
28,1,SUPERSOFT,1.0,21.6,66.8,995.4,True,29.5,0,0.0,00:03.607,12231,124,85,False,1,2018,Italian Grand Prix,
28,1,SUPERSOFT,1.0,21.6,66.8,995.4,True,29.5,0,0.0,00:03.847,10971,135,100,False,1,2018,Italian Grand Prix,
28,1,SUPERSOFT,1.0,21.6,66.8,995.4,True,29.5,0,0.0,00:04.087,11250,146,100,False,1,2018,Italian Grand Prix,
28,1,SUPERSOFT,1.0,21.6,66.8,995.4,True,29.5,0,0.0,00:04.327,12042,160,100,False,1,2018,Italian Grand Prix,
28,1,SUPERSOFT,1.0,21.6,66.8,995.4,True,29.5,0,0.0,00:04.567,10642,169,100,False,1,2018,Italian Grand Prix,
28,1,SUPERSOFT,1.0,21.6,66.8,995.4,True,29.5,0,0.0,00:04.806,11181,182,100,False,1,2018,Italian Grand Prix,
28,1,SUPERSOFT,1.0,21.6,66.8,995.4,True,29.5,0,0.0,00:05.007,11274,190,100,False,1,2018,Italian Grand Prix,
28,1,SUPERSOFT,1.0,21.6,66.8,995.4,True,29.5,0,0.0,00:05.247,11818,196,100,False,1,2018,Italian Grand Prix,
28,1,SUPERSOFT,1.0,21.6,66.8,995.4,True,29.5,0,0.0,00:05.487,11598,204,100,False,1,2018,Italian Grand Prix,
28,1,SUPERSOFT,1.0,21.6,66.8,995.4,True,29.5,0,0.0,00:05.727,10720,209,100,False,1,2018,Italian Grand Prix,
28,1,SUPERSOFT,1.0,21.6,66.8,995.4,True,29.5,0,0.0,00:05.928,11060,217,100,False,1,2018,Italian Grand Prix,
28,1,SUPERSOFT,1.0,21.6,66.8,995.4,True,29.5,0,0.0,00:06.167,11354,220,58,False,1,2018,Italian Grand Prix,
28,1,SUPERSOFT,1.0,21.6,66.8,995.4,True,29.5,0,0.0,00:06.407,11054,221,49,False,1,2018,Italian Grand Prix,
