DriverNumber,LapNumber,Compound,TyreLife,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Time,RPM,Speed,Throttle,Brake,DRS,Year,Event,Distance
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:00.105,11325,258,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:00.345,11568,262,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:00.585,11082,268,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:00.786,10507,270,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:01.026,10544,274,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:01.266,10711,278,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:01.506,10829,281,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:01.746,10969,284,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:01.986,11056,287,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:02.266,11188,291,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:02.506,11259,293,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:02.746,11373,295,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:02.986,11411,297,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:03.226,10601,299,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:03.466,10504,300,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:03.706,10517,301,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:03.946,10549,302,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:04.186,10549,302,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:04.426,10701,307,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:04.666,10737,307,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:04.906,10762,308,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:05.146,10829,310,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:05.386,10843,311,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:05.626,10857,312,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:05.866,10910,313,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:06.106,10927,313,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:06.346,10965,314,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:06.586,10971,315,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:06.825,11002,316,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:07.065,11024,316,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:07.306,11051,316,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:07.546,11100,318,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:07.786,11069,318,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:08.026,11120,319,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:08.306,11132,319,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:08.546,11151,320,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:08.786,11180,320,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:09.026,11195,321,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:09.266,11203,321,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:09.506,11163,321,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:09.746,11163,322,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:09.986,11239,321,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:10.226,11229,322,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:10.466,11222,322,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:10.706,11237,323,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:10.946,11244,322,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:11.186,11267,323,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:11.466,11199,323,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:11.706,11147,321,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:11.946,10852,320,0,True,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:12.186,10557,308,0,True,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:12.426,9891,289,0,True,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:12.666,8709,254,0,True,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:12.906,7974,233,0,True,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:13.146,7611,215,0,True,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:13.386,7884,198,0,True,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:13.625,8405,176,0,True,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:13.826,9064,162,0,True,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:14.066,8341,145,0,True,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:14.386,8933,130,0,True,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:14.626,8445,123,0,True,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:14.866,7910,115,0,True,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:15.106,7617,111,0,True,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:15.346,7249,107,0,True,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:15.586,7043,102,0,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:15.826,6854,100,1,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:16.066,6765,96,19,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:16.306,7065,97,38,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:16.546,7472,100,44,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:16.786,7711,106,46,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:17.026,7941,110,46,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:17.266,7839,115,3,True,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:17.506,7808,112,0,True,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:17.746,7331,109,0,True,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:17.986,7161,104,0,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:18.226,7012,102,0,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:18.466,6740,100,5,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:18.706,6984,97,15,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:18.946,7235,97,35,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:19.186,7346,101,46,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:19.426,7540,105,31,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:19.666,7506,109,3,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:19.906,7512,107,10,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:20.146,7728,107,25,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:20.427,7779,109,40,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:20.666,8255,113,55,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:20.906,8774,118,59,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:21.146,9270,123,65,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:21.386,9701,132,74,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:21.626,10328,136,82,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:21.866,11016,154,79,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:22.106,10844,162,85,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:22.346,10544,169,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:22.586,11040,182,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:22.866,11653,195,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:23.106,10434,201,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:23.346,10830,208,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:23.586,11020,218,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:23.826,11461,224,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:24.066,11432,232,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:24.306,10659,234,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:24.546,10659,239,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:24.786,10873,246,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:25.026,10945,252,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:25.266,11224,256,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:25.506,11443,261,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:25.746,11436,265,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:25.986,10342,269,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:26.266,10511,273,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:26.546,10678,276,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:26.786,10757,280,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:26.987,10862,282,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:27.227,10945,284,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:27.466,11039,287,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:27.706,11126,289,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:27.946,11236,291,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:28.186,11257,293,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:28.426,11263,293,100,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:28.666,11020,293,0,False,0,2018,Mexican Grand Prix,
55,27,SUPERSOFT,16.0,19.5,52.8,784.6,False,33.4,273,1.9,00:28.906,10916,287,0,True,0,2018,Mexican Grand Prix,
