DriverNumber,LapNumber,Compound,TyreLife,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Time,RPM,Speed,Throttle,Brake,DRS,Year,Event,Distance
7,5,ULTRASOFT,9.0,32.6,37.7,1012.8,False,34.6,267,0.8,00:00.192,10907,233,100,False,1,2018,Abu Dhabi Grand Prix,
7,5,ULTRASOFT,9.0,32.6,37.7,1012.8,False,34.6,267,0.8,00:00.432,11287,240,100,False,1,2018,Abu Dhabi Grand Prix,
7,5,ULTRASOFT,9.0,32.6,37.7,1012.8,False,34.6,267,0.8,00:00.672,11464,245,100,False,1,2018,Abu Dhabi Grand Prix,
7,5,ULTRASOFT,9.0,32.6,37.7,1012.8,False,34.6,267,0.8,00:00.912,11675,252,100,False,1,2018,Abu Dhabi Grand Prix,
7,5,ULTRASOFT,9.0,32.6,37.7,1012.8,False,34.6,267,0.8,00:01.152,11934,257,100,False,1,2018,Abu Dhabi Grand Prix,
7,5,ULTRASOFT,9.0,32.6,37.7,1012.8,False,34.6,267,0.8,00:01.392,10758,261,100,False,1,2018,Abu Dhabi Grand Prix,
7,5,ULTRASOFT,9.0,32.6,37.7,1012.8,False,34.6,267,0.8,00:01.632,10790,265,100,False,1,2018,Abu Dhabi Grand Prix,
7,5,ULTRASOFT,9.0,32.6,37.7,1012.8,False,34.6,267,0.8,00:01.872,10978,270,100,False,1,2018,Abu Dhabi Grand Prix,
7,5,ULTRASOFT,9.0,32.6,37.7,1012.8,False,34.6,267,0.8,00:02.112,11115,274,100,False,1,2018,Abu Dhabi Grand Prix,
7,5,ULTRASOFT,9.0,32.6,37.7,1012.8,False,34.6,267,0.8,00:02.352,11305,277,100,False,1,2018,Abu Dhabi Grand Prix,
7,5,ULTRASOFT,9.0,32.6,37.7,1012.8,False,34.6,267,0.8,00:02.592,11384,279,100,False,1,2018,Abu Dhabi Grand Prix,
7,5,ULTRASOFT,9.0,32.6,37.7,1012.8,False,34.6,267,0.8,00:02.832,11526,284,100,False,1,2018,Abu Dhabi Grand Prix,
7,5,ULTRASOFT,9.0,32.6,37.7,1012.8,False,34.6,267,0.8,00:03.112,11627,287,100,False,1,2018,Abu Dhabi Grand Prix,
7,5,ULTRASOFT,9.0,32.6,37.7,1012.8,False,34.6,267,0.8,00:03.352,11731,289,99,False,1,2018,Abu Dhabi Grand Prix,
7,5,ULTRASOFT,9.0,32.6,37.7,1012.8,False,34.6,267,0.8,00:03.592,11229,287,0,True,1,2018,Abu Dhabi Grand Prix,
7,5,ULTRASOFT,9.0,32.6,37.7,1012.8,False,34.6,267,0.8,00:03.832,10124,259,0,True,1,2018,Abu Dhabi Grand Prix,
7,5,ULTRASOFT,9.0,32.6,37.7,1012.8,False,34.6,267,0.8,00:04.072,9482,239,0,True,1,2018,Abu Dhabi Grand Prix,
7,5,ULTRASOFT,9.0,32.6,37.7,1012.8,False,34.6,267,0.8,00:04.312,9482,210,0,True,1,2018,Abu Dhabi Grand Prix,
7,5,ULTRASOFT,9.0,32.6,37.7,1012.8,False,34.6,267,0.8,00:04.552,9054,195,0,True,1,2018,Abu Dhabi Grand Prix,
7,5,ULTRASOFT,9.0,32.6,37.7,1012.8,False,34.6,267,0.8,00:04.753,9260,182,0,True,1,2018,Abu Dhabi Grand Prix,
7,5,ULTRASOFT,9.0,32.6,37.7,1012.8,False,34.6,267,0.8,00:04.992,9217,171,0,True,1,2018,Abu Dhabi Grand Prix,
7,5,ULTRASOFT,9.0,32.6,37.7,1012.8,False,34.6,267,0.8,00:05.272,9439,157,0,True,1,2018,Abu Dhabi Grand Prix,
7,5,ULTRASOFT,9.0,32.6,37.7,1012.8,False,34.6,267,0.8,00:05.512,9063,148,0,True,1,2018,Abu Dhabi Grand Prix,
7,5,ULTRASOFT,9.0,32.6,37.7,1012.8,False,34.6,267,0.8,00:05.713,8736,143,1,False,1,2018,Abu Dhabi Grand Prix,
