DriverNumber,LapNumber,Compound,TyreLife,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Time,RPM,Speed,Throttle,Brake,DRS,Year,Event,Distance
7,6,MEDIUM,5.0,17.3,34.5,967.0,False,28.9,155,2.8,00:00.131,11030,232,100,False,1,2018,Belgian Grand Prix,
7,6,MEDIUM,5.0,17.3,34.5,967.0,False,28.9,155,2.8,00:00.371,11379,240,100,False,1,2018,Belgian Grand Prix,
7,6,MEDIUM,5.0,17.3,34.5,967.0,False,28.9,155,2.8,00:00.651,11746,248,100,False,1,2018,Belgian Grand Prix,
7,6,MEDIUM,5.0,17.3,34.5,967.0,False,28.9,155,2.8,00:00.891,11930,257,100,False,1,2018,Belgian Grand Prix,
7,6,MEDIUM,5.0,17.3,34.5,967.0,False,28.9,155,2.8,00:01.131,10716,262,99,False,1,2018,Belgian Grand Prix,
7,6,MEDIUM,5.0,17.3,34.5,967.0,False,28.9,155,2.8,00:01.371,10909,266,99,False,1,2018,Belgian Grand Prix,
7,6,MEDIUM,5.0,17.3,34.5,967.0,False,28.9,155,2.8,00:01.611,11029,271,99,False,1,2018,Belgian Grand Prix,
7,6,MEDIUM,5.0,17.3,34.5,967.0,False,28.9,155,2.8,00:01.851,11192,275,100,False,1,2018,Belgian Grand Prix,
7,6,MEDIUM,5.0,17.3,34.5,967.0,False,28.9,155,2.8,00:02.091,11293,278,100,False,1,2018,Belgian Grand Prix,
7,6,MEDIUM,5.0,17.3,34.5,967.0,False,28.9,155,2.8,00:02.371,11389,280,100,False,1,2018,Belgian Grand Prix,
7,6,MEDIUM,5.0,17.3,34.5,967.0,False,28.9,155,2.8,00:02.611,11434,283,100,False,1,2018,Belgian Grand Prix,
7,6,MEDIUM,5.0,17.3,34.5,967.0,False,28.9,155,2.8,00:02.851,11621,284,99,False,1,2018,Belgian Grand Prix,
7,6,MEDIUM,5.0,17.3,34.5,967.0,False,28.9,155,2.8,00:03.091,10501,266,0,True,1,2018,Belgian Grand Prix,
7,6,MEDIUM,5.0,17.3,34.5,967.0,False,28.9,155,2.8,00:03.331,10010,257,0,True,1,2018,Belgian Grand Prix,
7,6,MEDIUM,5.0,17.3,34.5,967.0,False,28.9,155,2.8,00:03.571,9460,257,0,True,1,2018,Belgian Grand Prix,
7,6,MEDIUM,5.0,17.3,34.5,967.0,False,28.9,155,2.8,00:03.811,9377,219,0,True,1,2018,Belgian Grand Prix,
7,6,MEDIUM,5.0,17.3,34.5,967.0,False,28.9,155,2.8,00:04.050,9333,205,0,True,1,2018,Belgian Grand Prix,
7,6,MEDIUM,5.0,17.3,34.5,967.0,False,28.9,155,2.8,00:04.290,9511,182,0,True,1,2018,Belgian Grand Prix,
7,6,MEDIUM,5.0,17.3,34.5,967.0,False,28.9,155,2.8,00:04.530,10021,166,0,True,1,2018,Belgian Grand Prix,
7,6,MEDIUM,5.0,17.3,34.5,967.0,False,28.9,155,2.8,00:04.770,9101,153,0,True,1,2018,Belgian Grand Prix,
7,6,MEDIUM,5.0,17.3,34.5,967.0,False,28.9,155,2.8,00:05.010,8200,134,0,True,1,2018,Belgian Grand Prix,
7,6,MEDIUM,5.0,17.3,34.5,967.0,False,28.9,155,2.8,00:05.250,8812,124,0,True,1,2018,Belgian Grand Prix,
7,6,MEDIUM,5.0,17.3,34.5,967.0,False,28.9,155,2.8,00:05.490,8025,112,0,True,1,2018,Belgian Grand Prix,
7,6,MEDIUM,5.0,17.3,34.5,967.0,False,28.9,155,2.8,00:05.730,7458,104,0,True,1,2018,Belgian Grand Prix,
