DriverNumber,LapNumber,Compound,TyreLife,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Distance,X,Y,Z,Year,Event
27,14,HARD,3.0,19.7,43.2,1019.2,False,27.6,96,4.1,00:00.000,10579,268,6,100,False,12,0.308,357.7040276401495,-1486.4955695845656,140.00012653491916,2019,Chinese Grand Prix
27,14,HARD,3.0,19.7,43.2,1019.2,False,27.6,96,4.1,00:00.013,10413,270,7,100,False,12,1.29,346.6901801024808,-1488.8777842953932,140.00011824535449,2019,Chinese Grand Prix
27,14,HARD,3.0,19.7,43.2,1019.2,False,27.6,96,4.1,00:00.100,10501,272,7,100,False,12,7.885,277.0,-1504.0,140.0,2019,Chinese Grand Prix
27,14,HARD,3.0,19.7,43.2,1019.2,False,27.6,96,4.1,00:00.253,10590,274,7,100,False,12,19.557,170.92101629418772,-1527.2313504554293,139.99955820265865,2019,Chinese Grand Prix
27,14,HARD,3.0,19.7,43.2,1019.2,False,27.6,96,4.1,00:00.400,10664,275,7,100,False,12,30.833,72.0,-1549.0,140.0,2019,Chinese Grand Prix
27,14,HARD,3.0,19.7,43.2,1019.2,False,27.6,96,4.1,00:00.493,10739,277,7,100,False,12,38.024,2.758200533335519,-1564.1905805507645,140.00127646432614,2019,Chinese Grand Prix
27,14,HARD,3.0,19.7,43.2,1019.2,False,27.6,96,4.1,00:00.700,10828,279,7,100,False,12,54.225,-161.0,-1600.0,140.0,2019,Chinese Grand Prix
27,14,HARD,3.0,19.7,43.2,1019.2,False,27.6,96,4.1,00:00.733,10917,282,7,100,False,12,56.824,-186.5451654129435,-1605.5709919651213,139.99788313199824,2019,Chinese Grand Prix
27,14,HARD,3.0,19.7,43.2,1019.2,False,27.6,96,4.1,00:00.973,11002,285,7,100,False,12,75.824,-366.34016108573167,-1644.7121025192832,139.99237685682397,2019,Chinese Grand Prix
27,14,HARD,3.0,19.7,43.2,1019.2,False,27.6,96,4.1,00:01.000,11063,286,7,100,False,12,77.974,-386.0,-1649.0,140.0,2019,Chinese Grand Prix
27,14,HARD,3.0,19.7,43.2,1019.2,False,27.6,96,4.1,00:01.174,11124,288,7,100,False,12,91.904,-510.2132178682892,-1676.1585682312123,140.09646548320714,2019,Chinese Grand Prix
27,14,HARD,3.0,19.7,43.2,1019.2,False,27.6,96,4.1,00:01.300,11163,289,7,100,False,12,102.062,-601.0,-1696.0,140.0,2019,Chinese Grand Prix
27,14,HARD,3.0,19.7,43.2,1019.2,False,27.6,96,4.1,00:01.414,11202,291,7,100,False,12,111.304,-685.7369341687682,-1714.4665943926952,139.66952858469838,2019,Chinese Grand Prix
27,14,HARD,3.0,19.7,43.2,1019.2,False,27.6,96,4.1,00:01.600,11267,292,7,100,False,12,126.482,-826.0,-1745.0,139.0,2019,Chinese Grand Prix
27,14,HARD,3.0,19.7,43.2,1019.2,False,27.6,96,4.1,00:01.654,11333,294,7,100,False,12,130.904,-866.1124786353699,-1753.7468729046211,138.89492412498683,2019,Chinese Grand Prix
27,14,HARD,3.0,19.7,43.2,1019.2,False,27.6,96,4.1,00:01.893,11416,296,7,100,False,12,150.555,-1044.5437847193082,-1792.7998300320166,138.98215903806013,2019,Chinese Grand Prix
27,14,HARD,3.0,19.7,43.2,1019.2,False,27.6,96,4.1,00:01.900,11442,297,7,100,False,12,151.133,-1050.0,-1794.0,139.0,2019,Chinese Grand Prix
27,14,HARD,3.0,19.7,43.2,1019.2,False,27.6,96,4.1,00:02.133,11469,299,7,100,False,12,170.488,-1239.6881812205909,-1835.8601723811623,139.91979272584197,2019,Chinese Grand Prix
27,14,HARD,3.0,19.7,43.2,1019.2,False,27.6,96,4.1,00:02.200,11001,299,7,100,False,12,176.062,-1295.0,-1848.0,140.0,2019,Chinese Grand Prix
27,14,HARD,3.0,19.7,43.2,1019.2,False,27.6,96,4.1,00:02.373,10533,300,8,100,False,12,190.488,-1436.8173048225156,-1878.8565188861362,139.47953545009497,2019,Chinese Grand Prix
27,14,HARD,3.0,19.7,43.2,1019.2,False,27.6,96,4.1,00:02.500,10552,301,8,100,False,12,201.162,-1539.0,-1901.0,139.0,2019,Chinese Grand Prix
27,14,HARD,3.0,19.7,43.2,1019.2,False,27.6,96,4.1,00:02.574,10572,303,8,100,False,12,207.406,-1597.4799775528425,-1913.6858898007579,138.856809762084,2019,Chinese Grand Prix
27,14,HARD,3.0,19.7,43.2,1019.2,False,27.6,96,4.1,00:02.800,10612,304,8,100,False,12,226.549,-1773.0,-1952.0,139.0,2019,Chinese Grand Prix
27,14,HARD,3.0,19.7,43.2,1019.2,False,27.6,96,4.1,00:02.814,10652,305,8,100,False,12,227.739,-1783.8666973479787,-1954.3989295131655,139.03424576534255,2019,Chinese Grand Prix
27,14,HARD,3.0,19.7,43.2,1019.2,False,27.6,96,4.1,00:03.054,10766,307,8,100,False,12,248.206,-1971.3105707512113,-1996.0110543130625,139.89438570720972,2019,Chinese Grand Prix
27,14,HARD,3.0,19.7,43.2,1019.2,False,27.6,96,4.1,00:03.100,10714,307,8,100,False,12,252.138,-2008.0,-2004.0,140.0,2019,Chinese Grand Prix
27,14,HARD,3.0,19.7,43.2,1019.2,False,27.6,96,4.1,00:03.294,10663,308,8,100,False,12,268.739,-2166.035555927705,-2037.5935507392248,140.05202298161345,2019,Chinese Grand Prix
27,14,HARD,3.0,19.7,43.2,1019.2,False,27.6,96,4.1,00:03.400,10693,308,8,100,False,12,277.804,-2252.0,-2056.0,140.0,2019,Chinese Grand Prix
27,14,HARD,3.0,19.7,43.2,1019.2,False,27.6,96,4.1,00:03.533,10723,308,8,100,False,12,289.187,-2357.691476454202,-2079.22620849811,139.98152175204774,2019,Chinese Grand Prix
27,14,HARD,3.0,19.7,43.2,1019.2,False,27.6,96,4.1,00:03.700,10729,308,8,100,False,12,303.519,-2487.0,-2108.0,140.0,2019,Chinese Grand Prix
27,14,HARD,3.0,19.7,43.2,1019.2,False,27.6,96,4.1,00:03.773,10736,309,8,100,False,12,309.787,-2542.341665648392,-2120.188631725402,140.00907382669888,2019,Chinese Grand Prix
27,14,HARD,3.0,19.7,43.2,1019.2,False,27.6,96,4.1,00:03.974,10805,309,8,100,False,12,327.039,-2698.633462863414,-2154.1795714153204,140.00897280486907,2019,Chinese Grand Prix
27,14,HARD,3.0,19.7,43.2,1019.2,False,27.6,96,4.1,00:04.000,10773,309,8,100,False,12,329.275,-2721.0,-2159.0,140.0,2019,Chinese Grand Prix
27,14,HARD,3.0,19.7,43.2,1019.2,False,27.6,96,4.1,00:04.213,10742,310,8,100,False,12,347.62,-2923.2333405026075,-2202.327887507042,139.88579959762964,2019,Chinese Grand Prix
27,14,HARD,3.0,19.7,43.2,1019.2,False,27.6,96,4.1,00:04.300,10764,310,8,100,False,12,355.112,-3005.0,-2220.0,140.0,2019,Chinese Grand Prix
27,14,HARD,3.0,19.7,43.2,1019.2,False,27.6,96,4.1,00:04.453,10786,310,8,100,False,10,368.286,-3138.4275641328118,-2249.3110138892275,140.58490175798894,2019,Chinese Grand Prix
27,14,HARD,3.0,19.7,43.2,1019.2,False,27.6,96,4.1,00:04.601,10780,310,8,100,False,10,381.032,-3259.0,-2276.0,141.0,2019,Chinese Grand Prix
27,14,HARD,3.0,19.7,43.2,1019.2,False,27.6,96,4.1,00:04.693,10774,310,8,100,False,8,388.953,-3331.7000127333195,-2291.996012784954,140.88744403584155,2019,Chinese Grand Prix
27,14,HARD,3.0,19.7,43.2,1019.2,False,27.6,96,4.1,00:04.901,10666,309,8,65,False,8,406.823,-3493.0,-2327.0,140.0,2019,Chinese Grand Prix
27,14,HARD,3.0,19.7,43.2,1019.2,False,27.6,96,4.1,00:04.933,10558,309,8,30,False,0,409.553,-3518.081409535658,-2332.3436887390867,139.86646977047548,2019,Chinese Grand Prix
27,14,HARD,3.0,19.7,43.2,1019.2,False,27.6,96,4.1,00:05.172,10218,303,8,0,True,0,429.669,-3712.3795995267615,-2373.4446312085292,139.0533604359091,2019,Chinese Grand Prix
27,14,HARD,3.0,19.7,43.2,1019.2,False,27.6,96,4.1,00:05.201,10020,297,8,0,True,0,432.058,-3738.0,-2379.0,139.0,2019,Chinese Grand Prix
27,14,HARD,3.0,19.7,43.2,1019.2,False,27.6,96,4.1,00:05.373,9822,291,8,0,True,0,445.916,-3900.848210593371,-2415.134310443337,138.92235869060846,2019,Chinese Grand Prix
27,14,HARD,3.0,19.7,43.2,1019.2,False,27.6,96,4.1,00:05.501,9588,282,8,0,True,0,455.756,-4021.0,-2442.0,139.0,2019,Chinese Grand Prix
27,14,HARD,3.0,19.7,43.2,1019.2,False,27.6,96,4.1,00:05.613,9355,273,8,0,True,0,464.116,-4118.115831710335,-2463.512608440572,139.0906528047491,2019,Chinese Grand Prix
27,14,HARD,3.0,19.7,43.2,1019.2,False,27.6,96,4.1,00:05.801,9499,267,8,0,True,0,477.808,-4265.0,-2496.0,140.0,2019,Chinese Grand Prix
27,14,HARD,3.0,19.7,43.2,1019.2,False,27.6,96,4.1,00:05.853,9644,261,8,0,True,0,481.516,-4302.275653455999,-2504.361757040876,140.6430189618112,2019,Chinese Grand Prix
27,14,HARD,3.0,19.7,43.2,1019.2,False,27.6,96,4.1,00:06.093,10539,249,8,0,True,0,498.116,-4464.3978818848955,-2539.8825276347343,144.87734552968908,2019,Chinese Grand Prix
27,14,HARD,3.0,19.7,43.2,1019.2,False,27.6,96,4.1,00:06.101,10237,240,8,0,True,0,498.651,-4470.0,-2541.0,145.0,2019,Chinese Grand Prix
27,14,HARD,3.0,19.7,43.2,1019.2,False,27.6,96,4.1,00:06.333,9936,232,6,0,True,0,513.583,-4639.3153536748205,-2569.888515207574,147.8910652888072,2019,Chinese Grand Prix
27,14,HARD,3.0,19.7,43.2,1019.2,False,27.6,96,4.1,00:06.401,10351,224,6,0,True,0,517.785,-4687.0,-2574.0,149.0,2019,Chinese Grand Prix
27,14,HARD,3.0,19.7,43.2,1019.2,False,27.6,96,4.1,00:06.613,10767,217,5,0,True,0,530.461,-4823.124726986635,-2569.4691032992655,153.92264710205512,2019,Chinese Grand Prix
27,14,HARD,3.0,19.7,43.2,1019.2,False,27.6,96,4.1,00:06.700,10443,212,5,0,True,0,535.52,-4876.0,-2562.0,156.0,2019,Chinese Grand Prix
27,14,HARD,3.0,19.7,43.2,1019.2,False,27.6,96,4.1,00:06.854,10120,207,5,0,True,0,544.318,-4967.500894298456,-2542.499415610351,159.2529183394724,2019,Chinese Grand Prix
