DriverNumber,LapNumber,Compound,TyreLife,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Distance,X,Y,Z,Year,Event
4,23,INTERMEDIATE,17.0,21.9,87.4,991.7,True,26.5,337,0.9,00:00.000,11690,253,6,100,False,0,0.124,-737.5518297124391,-1977.6896956679418,1480.9999866138678,2019,German Grand Prix
4,23,INTERMEDIATE,17.0,21.9,87.4,991.7,True,26.5,337,0.9,00:00.073,11760,254,6,100,False,0,5.29,-752.186076699254,-1946.5200445394958,1480.9998837193723,2019,German Grand Prix
4,23,INTERMEDIATE,17.0,21.9,87.4,991.7,True,26.5,337,0.9,00:00.293,11092,255,6,100,False,0,20.943,-779.0,-1890.0,1481.0,2019,German Grand Prix
4,23,INTERMEDIATE,17.0,21.9,87.4,991.7,True,26.5,337,0.9,00:00.393,10424,257,6,100,False,0,28.134,-782.6074326645446,-1882.8786224851751,1481.000264275138,2019,German Grand Prix
4,23,INTERMEDIATE,17.0,21.9,87.4,991.7,True,26.5,337,0.9,00:00.593,10497,259,6,100,False,0,42.68,-784.0,-1881.0,1481.0,2019,German Grand Prix
4,23,INTERMEDIATE,17.0,21.9,87.4,991.7,True,26.5,337,0.9,00:00.632,10570,262,7,100,False,0,45.528,-785.8028005949744,-1877.2272648515514,1480.9995431580758,2019,German Grand Prix
4,23,INTERMEDIATE,17.0,21.9,87.4,991.7,True,26.5,337,0.9,00:00.872,10667,264,7,100,False,0,63.128,-803.8746084459473,-1838.4129119854306,1480.9989123891644,2019,German Grand Prix
4,23,INTERMEDIATE,17.0,21.9,87.4,991.7,True,26.5,337,0.9,00:00.893,10723,266,7,100,False,0,64.681,-805.0,-1836.0,1481.0,2019,German Grand Prix
4,23,INTERMEDIATE,17.0,21.9,87.4,991.7,True,26.5,337,0.9,00:01.111,10779,268,7,100,False,0,80.92,-811.2161613526024,-1823.0074829455682,1481.016849917271,2019,German Grand Prix
4,23,INTERMEDIATE,17.0,21.9,87.4,991.7,True,26.5,337,0.9,00:01.193,10856,269,7,100,False,0,87.053,-818.0,-1809.0,1481.0,2019,German Grand Prix
4,23,INTERMEDIATE,17.0,21.9,87.4,991.7,True,26.5,337,0.9,00:01.351,10933,270,7,100,False,0,98.92,-844.4514359969271,-1754.1892788995394,1480.9084361779333,2019,German Grand Prix
4,23,INTERMEDIATE,17.0,21.9,87.4,991.7,True,26.5,337,0.9,00:01.492,10988,271,7,100,False,0,109.603,-870.0,-1701.0,1481.0,2019,German Grand Prix
4,23,INTERMEDIATE,17.0,21.9,87.4,991.7,True,26.5,337,0.9,00:01.552,11043,273,7,100,False,0,114.163,-878.0937264524072,-1684.0143195879502,1481.1501359231806,2019,German Grand Prix
4,23,INTERMEDIATE,17.0,21.9,87.4,991.7,True,26.5,337,0.9,00:01.792,10762,273,7,100,False,0,132.363,-904.0,-1629.0,1482.0,2019,German Grand Prix
4,23,INTERMEDIATE,17.0,21.9,87.4,991.7,True,26.5,337,0.9,00:02.032,10334,263,7,0,True,0,149.896,-953.557669312445,-1524.736725319346,1482.026216105059,2019,German Grand Prix
4,23,INTERMEDIATE,17.0,21.9,87.4,991.7,True,26.5,337,0.9,00:02.092,9859,249,7,0,True,0,154.001,-973.0,-1484.0,1482.0,2019,German Grand Prix
4,23,INTERMEDIATE,17.0,21.9,87.4,991.7,True,26.5,337,0.9,00:02.312,9384,235,7,0,True,0,168.174,-1071.0789341973173,-1279.0132113795946,1481.9908138123244,2019,German Grand Prix
