DriverNumber,LapNumber,Compound,TyreLife,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Distance,X,Y,Z,Year,Event
11,7,HARD,7.0,23.6,52.1,1015.6,False,28.6,193,2.5,00:00.000,11140,220,5,99,False,0,0.097,-3066.0,5993.0,-236.0,2020,Abu Dhabi Grand Prix
11,7,HARD,7.0,23.6,52.1,1015.6,False,28.6,193,2.5,00:00.067,10988,221,5,99,False,0,4.284,-3025.0,5998.0,-237.0,2020,Abu Dhabi Grand Prix
11,7,HARD,7.0,23.6,52.1,1015.6,False,28.6,193,2.5,00:00.124,10683,224,6,100,False,0,7.877,-2989.0,6001.0,-237.0,2020,Abu Dhabi Grand Prix
11,7,HARD,7.0,23.6,52.1,1015.6,False,28.6,193,2.5,00:00.287,10771,227,6,99,False,0,18.305,-2888.0,6013.0,-237.0,2020,Abu Dhabi Grand Prix
11,7,HARD,7.0,23.6,52.1,1015.6,False,28.6,193,2.5,00:00.364,10859,231,6,99,False,0,23.277,-2839.0,6018.0,-236.0,2020,Abu Dhabi Grand Prix
11,7,HARD,7.0,23.6,52.1,1015.6,False,28.6,193,2.5,00:00.507,10976,233,6,99,False,0,32.553,-2747.0,6027.0,-237.0,2020,Abu Dhabi Grand Prix
11,7,HARD,7.0,23.6,52.1,1015.6,False,28.6,193,2.5,00:00.644,11094,235,6,100,False,0,41.554,-2657.0,6035.0,-237.0,2020,Abu Dhabi Grand Prix
11,7,HARD,7.0,23.6,52.1,1015.6,False,28.6,193,2.5,00:00.727,11231,238,6,99,False,0,47.09,-2603.0,6040.0,-237.0,2020,Abu Dhabi Grand Prix
11,7,HARD,7.0,23.6,52.1,1015.6,False,28.6,193,2.5,00:00.884,11369,242,6,99,False,0,57.688,-2498.0,6048.0,-236.0,2020,Abu Dhabi Grand Prix
11,7,HARD,7.0,23.6,52.1,1015.6,False,28.6,193,2.5,00:00.947,11457,244,6,99,False,0,61.965,-2456.0,6052.0,-237.0,2020,Abu Dhabi Grand Prix
11,7,HARD,7.0,23.6,52.1,1015.6,False,28.6,193,2.5,00:01.124,11545,246,6,100,False,0,74.088,-2335.0,6061.0,-237.0,2020,Abu Dhabi Grand Prix
11,7,HARD,7.0,23.6,52.1,1015.6,False,28.6,193,2.5,00:01.167,11668,249,6,99,False,0,77.07,-2306.0,6064.0,-237.0,2020,Abu Dhabi Grand Prix
11,7,HARD,7.0,23.6,52.1,1015.6,False,28.6,193,2.5,00:01.364,11791,252,6,99,False,0,90.888,-2169.0,6075.0,-236.0,2020,Abu Dhabi Grand Prix
11,7,HARD,7.0,23.6,52.1,1015.6,False,28.6,193,2.5,00:01.387,11889,253,6,99,False,0,92.51,-2154.0,6077.0,-237.0,2020,Abu Dhabi Grand Prix
11,7,HARD,7.0,23.6,52.1,1015.6,False,28.6,193,2.5,00:01.604,11987,255,6,100,False,0,107.888,-2002.0,6090.0,-237.0,2020,Abu Dhabi Grand Prix
11,7,HARD,7.0,23.6,52.1,1015.6,False,28.6,193,2.5,00:01.607,12025,256,6,100,False,0,108.101,-2000.0,6091.0,-237.0,2020,Abu Dhabi Grand Prix
11,7,HARD,7.0,23.6,52.1,1015.6,False,28.6,193,2.5,00:01.827,12063,257,6,100,False,0,123.861,-1843.0,6105.0,-237.0,2020,Abu Dhabi Grand Prix
11,7,HARD,7.0,23.6,52.1,1015.6,False,28.6,193,2.5,00:01.844,12101,258,6,100,False,0,125.088,-1829.0,6106.0,-237.0,2020,Abu Dhabi Grand Prix
11,7,HARD,7.0,23.6,52.1,1015.6,False,28.6,193,2.5,00:02.047,11611,260,6,99,False,0,139.849,-1668.0,6122.0,-237.0,2020,Abu Dhabi Grand Prix
11,7,HARD,7.0,23.6,52.1,1015.6,False,28.6,193,2.5,00:02.083,11121,262,7,99,False,0,142.482,-1640.0,6124.0,-236.0,2020,Abu Dhabi Grand Prix
11,7,HARD,7.0,23.6,52.1,1015.6,False,28.6,193,2.5,00:02.267,10969,263,7,99,False,0,156.002,-1506.0,6136.0,-236.0,2020,Abu Dhabi Grand Prix
11,7,HARD,7.0,23.6,52.1,1015.6,False,28.6,193,2.5,00:02.323,10817,265,7,99,False,0,160.148,-1464.0,6139.0,-235.0,2020,Abu Dhabi Grand Prix
11,7,HARD,7.0,23.6,52.1,1015.6,False,28.6,193,2.5,00:02.487,10870,267,7,99,False,0,172.388,-1343.0,6148.0,-236.0,2020,Abu Dhabi Grand Prix
11,7,HARD,7.0,23.6,52.1,1015.6,False,28.6,193,2.5,00:02.563,10924,269,7,100,False,0,178.082,-1286.0,6151.0,-236.0,2020,Abu Dhabi Grand Prix
11,7,HARD,7.0,23.6,52.1,1015.6,False,28.6,193,2.5,00:02.707,10923,269,7,100,False,0,188.876,-1179.0,6159.0,-236.0,2020,Abu Dhabi Grand Prix
11,7,HARD,7.0,23.6,52.1,1015.6,False,28.6,193,2.5,00:02.803,10923,270,7,100,False,0,196.082,-1107.0,6163.0,-235.0,2020,Abu Dhabi Grand Prix
11,7,HARD,7.0,23.6,52.1,1015.6,False,28.6,193,2.5,00:02.927,10991,270,7,99,False,0,205.402,-1014.0,6169.0,-236.0,2020,Abu Dhabi Grand Prix
11,7,HARD,7.0,23.6,52.1,1015.6,False,28.6,193,2.5,00:03.043,11060,271,7,99,False,0,214.148,-926.0,6175.0,-236.0,2020,Abu Dhabi Grand Prix
11,7,HARD,7.0,23.6,52.1,1015.6,False,28.6,193,2.5,00:03.147,11090,272,7,99,False,0,222.021,-848.0,6181.0,-236.0,2020,Abu Dhabi Grand Prix
11,7,HARD,7.0,23.6,52.1,1015.6,False,28.6,193,2.5,00:03.283,11120,273,7,100,False,0,232.348,-745.0,6188.0,-235.0,2020,Abu Dhabi Grand Prix
11,7,HARD,7.0,23.6,52.1,1015.6,False,28.6,193,2.5,00:03.367,11130,273,7,100,False,0,238.736,-682.0,6193.0,-235.0,2020,Abu Dhabi Grand Prix
11,7,HARD,7.0,23.6,52.1,1015.6,False,28.6,193,2.5,00:03.523,11140,274,7,100,False,0,250.615,-563.0,6201.0,-234.0,2020,Abu Dhabi Grand Prix
11,7,HARD,7.0,23.6,52.1,1015.6,False,28.6,193,2.5,00:03.587,11159,274,7,100,False,0,255.495,-515.0,6205.0,-235.0,2020,Abu Dhabi Grand Prix
11,7,HARD,7.0,23.6,52.1,1015.6,False,28.6,193,2.5,00:03.724,11178,275,7,100,False,0,265.969,-410.0,6213.0,-235.0,2020,Abu Dhabi Grand Prix
11,7,HARD,7.0,23.6,52.1,1015.6,False,28.6,193,2.5,00:03.807,11180,275,7,100,False,0,272.352,-347.0,6219.0,-235.0,2020,Abu Dhabi Grand Prix
11,7,HARD,7.0,23.6,52.1,1015.6,False,28.6,193,2.5,00:03.964,11183,275,7,100,False,0,284.302,-226.0,6229.0,-233.0,2020,Abu Dhabi Grand Prix
