DriverNumber,LapNumber,Compound,TyreLife,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Distance,X,Y,Z,Year,Event
18,41,MEDIUM,11.0,30.2,40.2,993.5,False,42.0,357,1.7,00:00.000,10545,294,8,99,False,0,0.0,-939.6246709471015,-302.2647023590051,3029.009376972826,2020,Tuscan Grand Prix
18,41,MEDIUM,11.0,30.2,40.2,993.5,False,42.0,357,1.7,00:00.070,10551,294,8,100,False,0,5.717,-913.4090521598547,-250.8690155272876,3029.6596793617355,2020,Tuscan Grand Prix
18,41,MEDIUM,11.0,30.2,40.2,993.5,False,42.0,357,1.7,00:00.219,10571,294,8,99,False,0,17.917,-858.0,-142.0,3031.0,2020,Tuscan Grand Prix
18,41,MEDIUM,11.0,30.2,40.2,993.5,False,42.0,357,1.7,00:00.310,10591,295,8,99,False,0,25.383,-824.4223150347278,-75.86422414558992,3031.7892205408198,2020,Tuscan Grand Prix
18,41,MEDIUM,11.0,30.2,40.2,993.5,False,42.0,357,1.7,00:00.439,10591,295,8,99,False,0,35.987,-777.0,18.0,3033.0,2020,Tuscan Grand Prix
18,41,MEDIUM,11.0,30.2,40.2,993.5,False,42.0,357,1.7,00:00.550,10592,296,8,100,False,0,45.117,-736.1568422328155,99.5798015810403,3034.2892479988923,2020,Tuscan Grand Prix
18,41,MEDIUM,11.0,30.2,40.2,993.5,False,42.0,357,1.7,00:00.659,10612,296,8,99,False,0,54.075,-696.0,180.0,3036.0,2020,Tuscan Grand Prix
18,41,MEDIUM,11.0,30.2,40.2,993.5,False,42.0,357,1.7,00:00.790,10632,296,8,99,False,0,64.85,-647.6664063319712,276.5006125438095,3038.904975618207,2020,Tuscan Grand Prix
18,41,MEDIUM,11.0,30.2,40.2,993.5,False,42.0,357,1.7,00:00.879,10625,296,8,99,False,0,72.186,-615.0,342.0,3041.0,2020,Tuscan Grand Prix
18,41,MEDIUM,11.0,30.2,40.2,993.5,False,42.0,357,1.7,00:01.030,10618,297,8,100,False,0,84.65,-560.1337148082118,453.0887907898848,3044.2824657268065,2020,Tuscan Grand Prix
18,41,MEDIUM,11.0,30.2,40.2,993.5,False,42.0,357,1.7,00:01.099,10630,297,8,100,False,0,90.343,-535.0,504.0,3046.0,2020,Tuscan Grand Prix
18,41,MEDIUM,11.0,30.2,40.2,993.5,False,42.0,357,1.7,00:01.270,10642,297,8,100,False,0,104.45,-472.09963123761884,630.734165838233,3051.323163083518,2020,Tuscan Grand Prix
18,41,MEDIUM,11.0,30.2,40.2,993.5,False,42.0,357,1.7,00:01.319,10641,297,8,100,False,0,108.492,-454.0,667.0,3053.0,2020,Tuscan Grand Prix
18,41,MEDIUM,11.0,30.2,40.2,993.5,False,42.0,357,1.7,00:01.510,10641,297,8,100,False,0,124.25,-383.55440271289945,807.7135001798642,3059.895220851402,2020,Tuscan Grand Prix
18,41,MEDIUM,11.0,30.2,40.2,993.5,False,42.0,357,1.7,00:01.539,10636,297,8,100,False,0,126.643,-373.0,829.0,3061.0,2020,Tuscan Grand Prix
18,41,MEDIUM,11.0,30.2,40.2,993.5,False,42.0,357,1.7,00:01.750,10632,297,8,100,False,0,144.05,-296.4084745410385,985.1055269273282,3069.6032282713704,2020,Tuscan Grand Prix
18,41,MEDIUM,11.0,30.2,40.2,993.5,False,42.0,357,1.7,00:01.759,10641,297,8,99,False,0,144.792,-293.0,992.0,3070.0,2020,Tuscan Grand Prix
18,41,MEDIUM,11.0,30.2,40.2,993.5,False,42.0,357,1.7,00:01.979,10651,297,8,99,False,0,162.942,-207.0,1164.0,3080.0,2020,Tuscan Grand Prix
18,41,MEDIUM,11.0,30.2,40.2,993.5,False,42.0,357,1.7,00:01.990,10661,297,8,99,False,0,163.85,-202.86750265830565,1172.2429271564088,3080.454631794158,2020,Tuscan Grand Prix
18,41,MEDIUM,11.0,30.2,40.2,993.5,False,42.0,357,1.7,00:02.199,10659,297,8,99,False,0,181.092,-128.0,1322.0,3088.0,2020,Tuscan Grand Prix
18,41,MEDIUM,11.0,30.2,40.2,993.5,False,42.0,357,1.7,00:02.230,10658,297,8,100,False,0,183.65,-116.85915516184417,1344.4341508713428,3089.0184457769437,2020,Tuscan Grand Prix
18,41,MEDIUM,11.0,30.2,40.2,993.5,False,42.0,357,1.7,00:02.419,10649,297,8,99,False,0,199.243,-48.0,1484.0,3095.0,2020,Tuscan Grand Prix
18,41,MEDIUM,11.0,30.2,40.2,993.5,False,42.0,357,1.7,00:02.470,10640,297,8,99,False,0,203.45,-29.449249502703218,1521.8283185477949,3096.6521701416277,2020,Tuscan Grand Prix
18,41,MEDIUM,11.0,30.2,40.2,993.5,False,42.0,357,1.7,00:02.639,10649,297,8,99,False,0,217.392,32.0,1647.0,3102.0,2020,Tuscan Grand Prix
18,41,MEDIUM,11.0,30.2,40.2,993.5,False,42.0,357,1.7,00:02.710,10658,297,8,100,False,0,223.25,58.04856047489392,1699.3285106560984,3103.9235353441636,2020,Tuscan Grand Prix
18,41,MEDIUM,11.0,30.2,40.2,993.5,False,42.0,357,1.7,00:02.859,10666,297,8,99,False,0,235.543,113.0,1809.0,3107.0,2020,Tuscan Grand Prix
18,41,MEDIUM,11.0,30.2,40.2,993.5,False,42.0,357,1.7,00:02.950,10674,297,8,99,False,0,243.05,146.50816578503753,1876.3111904274012,3107.9585674554755,2020,Tuscan Grand Prix
18,41,MEDIUM,11.0,30.2,40.2,993.5,False,42.0,357,1.7,00:03.079,10665,297,8,99,False,0,253.689,194.0,1972.0,3110.0,2020,Tuscan Grand Prix
18,41,MEDIUM,11.0,30.2,40.2,993.5,False,42.0,357,1.7,00:03.151,10656,297,8,100,False,0,259.632,220.55809020429763,2025.4115046830318,3112.762703080251,2020,Tuscan Grand Prix
18,41,MEDIUM,11.0,30.2,40.2,993.5,False,42.0,357,1.7,00:03.299,10653,297,8,100,False,0,271.875,275.0,2135.0,3119.0,2020,Tuscan Grand Prix
18,41,MEDIUM,11.0,30.2,40.2,993.5,False,42.0,357,1.7,00:03.471,10651,298,8,100,False,0,286.121,337.45555681970245,2261.5992512408384,3119.2472882437514,2020,Tuscan Grand Prix
18,41,MEDIUM,11.0,30.2,40.2,993.5,False,42.0,357,1.7,00:03.519,10678,298,8,100,False,0,290.096,355.0,2297.0,3119.0,2020,Tuscan Grand Prix
18,41,MEDIUM,11.0,30.2,40.2,993.5,False,42.0,357,1.7,00:03.711,10706,298,8,100,False,0,305.988,425.8334260495006,2439.2536987793587,3118.9759015228005,2020,Tuscan Grand Prix
18,41,MEDIUM,11.0,30.2,40.2,993.5,False,42.0,357,1.7,00:03.739,10721,298,8,100,False,0,308.306,436.0,2460.0,3119.0,2020,Tuscan Grand Prix
18,41,MEDIUM,11.0,30.2,40.2,993.5,False,42.0,357,1.7,00:03.951,10736,298,8,100,False,0,325.855,511.1720640705638,2617.9059189265404,3119.0044815029078,2020,Tuscan Grand Prix
