DriverNumber,LapNumber,Compound,TyreLife,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Distance,X,Y,Z,Year,Event
33,49,HARD,31.0,18.3,70.8,1017.5,False,22.5,55,0.6,00:00.000,11549,286,7,100,False,0,0.027,-1443.0,-1602.0,785.0,2020,Emilia Romagna Grand Prix
33,49,HARD,31.0,18.3,70.8,1017.5,False,22.5,55,0.6,00:00.059,11561,287,7,100,False,0,4.745,-1491.0,-1605.0,786.0,2020,Emilia Romagna Grand Prix
33,49,HARD,31.0,18.3,70.8,1017.5,False,22.5,55,0.6,00:00.179,11584,288,7,100,False,0,14.354,-1586.0,-1610.0,785.0,2020,Emilia Romagna Grand Prix
33,49,HARD,31.0,18.3,70.8,1017.5,False,22.5,55,0.6,00:00.278,11084,288,7,100,False,0,22.294,-1666.0,-1615.0,786.0,2020,Emilia Romagna Grand Prix
33,49,HARD,31.0,18.3,70.8,1017.5,False,22.5,55,0.6,00:00.419,10585,289,7,100,False,0,33.621,-1781.0,-1621.0,786.0,2020,Emilia Romagna Grand Prix
33,49,HARD,31.0,18.3,70.8,1017.5,False,22.5,55,0.6,00:00.498,10566,289,7,100,False,0,39.974,-1843.0,-1625.0,787.0,2020,Emilia Romagna Grand Prix
33,49,HARD,31.0,18.3,70.8,1017.5,False,22.5,55,0.6,00:00.659,10548,290,8,100,False,0,52.954,-1960.0,-1631.0,787.0,2020,Emilia Romagna Grand Prix
33,49,HARD,31.0,18.3,70.8,1017.5,False,22.5,55,0.6,00:00.718,10572,291,8,100,False,0,57.728,-2004.0,-1634.0,788.0,2020,Emilia Romagna Grand Prix
33,49,HARD,31.0,18.3,70.8,1017.5,False,22.5,55,0.6,00:00.860,10596,292,8,100,False,0,69.257,-2116.0,-1640.0,787.0,2020,Emilia Romagna Grand Prix
33,49,HARD,31.0,18.3,70.8,1017.5,False,22.5,55,0.6,00:00.938,10635,293,8,100,False,0,75.614,-2182.0,-1644.0,788.0,2020,Emilia Romagna Grand Prix
33,49,HARD,31.0,18.3,70.8,1017.5,False,22.5,55,0.6,00:01.100,10675,294,8,100,False,0,88.857,-2322.0,-1652.0,788.0,2020,Emilia Romagna Grand Prix
33,49,HARD,31.0,18.3,70.8,1017.5,False,22.5,55,0.6,00:01.158,10691,294,8,100,False,0,93.604,-2370.0,-1655.0,789.0,2020,Emilia Romagna Grand Prix
33,49,HARD,31.0,18.3,70.8,1017.5,False,22.5,55,0.6,00:01.340,10707,295,8,100,False,0,108.524,-2509.0,-1662.0,789.0,2020,Emilia Romagna Grand Prix
33,49,HARD,31.0,18.3,70.8,1017.5,False,22.5,55,0.6,00:01.378,10745,295,8,100,False,0,111.645,-2541.0,-1664.0,790.0,2020,Emilia Romagna Grand Prix
33,49,HARD,31.0,18.3,70.8,1017.5,False,22.5,55,0.6,00:01.580,10783,296,8,100,False,0,128.257,-2722.0,-1671.0,790.0,2020,Emilia Romagna Grand Prix
33,49,HARD,31.0,18.3,70.8,1017.5,False,22.5,55,0.6,00:01.598,10766,296,8,100,False,0,129.737,-2738.0,-1672.0,791.0,2020,Emilia Romagna Grand Prix
33,49,HARD,31.0,18.3,70.8,1017.5,False,22.5,55,0.6,00:01.818,10749,296,8,100,False,0,147.826,-2919.0,-1677.0,792.0,2020,Emilia Romagna Grand Prix
33,49,HARD,31.0,18.3,70.8,1017.5,False,22.5,55,0.6,00:01.819,10733,296,8,100,False,0,147.908,-2919.0,-1677.0,792.0,2020,Emilia Romagna Grand Prix
33,49,HARD,31.0,18.3,70.8,1017.5,False,22.5,55,0.6,00:02.038,10784,296,8,100,False,0,165.973,-3101.0,-1683.0,792.0,2020,Emilia Romagna Grand Prix
33,49,HARD,31.0,18.3,70.8,1017.5,False,22.5,55,0.6,00:02.059,10835,297,8,100,False,0,167.708,-3117.0,-1683.0,792.0,2020,Emilia Romagna Grand Prix
33,49,HARD,31.0,18.3,70.8,1017.5,False,22.5,55,0.6,00:02.258,10839,297,8,100,False,0,184.176,-3266.0,-1690.0,793.0,2020,Emilia Romagna Grand Prix
33,49,HARD,31.0,18.3,70.8,1017.5,False,22.5,55,0.6,00:02.299,10843,298,8,100,False,0,187.575,-3300.0,-1691.0,793.0,2020,Emilia Romagna Grand Prix
33,49,HARD,31.0,18.3,70.8,1017.5,False,22.5,55,0.6,00:02.478,10837,298,8,100,False,0,202.441,-3464.0,-1696.0,794.0,2020,Emilia Romagna Grand Prix
33,49,HARD,31.0,18.3,70.8,1017.5,False,22.5,55,0.6,00:02.539,10831,299,8,100,False,0,207.508,-3516.0,-1696.0,794.0,2020,Emilia Romagna Grand Prix
33,49,HARD,31.0,18.3,70.8,1017.5,False,22.5,55,0.6,00:02.698,10816,299,8,100,False,0,220.709,-3645.0,-1695.0,795.0,2020,Emilia Romagna Grand Prix
33,49,HARD,31.0,18.3,70.8,1017.5,False,22.5,55,0.6,00:02.779,10801,299,8,100,False,0,227.442,-3711.0,-1692.0,795.0,2020,Emilia Romagna Grand Prix
33,49,HARD,31.0,18.3,70.8,1017.5,False,22.5,55,0.6,00:02.918,10779,299,8,100,False,0,239.022,-3826.0,-1685.0,796.0,2020,Emilia Romagna Grand Prix
33,49,HARD,31.0,18.3,70.8,1017.5,False,22.5,55,0.6,00:03.019,10757,300,8,100,False,0,247.442,-3909.0,-1675.0,796.0,2020,Emilia Romagna Grand Prix
33,49,HARD,31.0,18.3,70.8,1017.5,False,22.5,55,0.6,00:03.138,10763,300,8,100,False,0,257.355,-4007.0,-1662.0,797.0,2020,Emilia Romagna Grand Prix
33,49,HARD,31.0,18.3,70.8,1017.5,False,22.5,55,0.6,00:03.259,10770,300,8,100,False,0,267.442,-4101.0,-1645.0,796.0,2020,Emilia Romagna Grand Prix
33,49,HARD,31.0,18.3,70.8,1017.5,False,22.5,55,0.6,00:03.358,10844,300,8,100,False,0,275.71,-4181.0,-1630.0,797.0,2020,Emilia Romagna Grand Prix
33,49,HARD,31.0,18.3,70.8,1017.5,False,22.5,55,0.6,00:03.499,10919,301,8,100,False,0,287.508,-4303.0,-1604.0,797.0,2020,Emilia Romagna Grand Prix
33,49,HARD,31.0,18.3,70.8,1017.5,False,22.5,55,0.6,00:03.578,10915,301,8,100,False,0,294.128,-4372.0,-1589.0,798.0,2020,Emilia Romagna Grand Prix
33,49,HARD,31.0,18.3,70.8,1017.5,False,22.5,55,0.6,00:03.779,10912,302,8,100,False,0,310.997,-4537.0,-1549.0,799.0,2020,Emilia Romagna Grand Prix
33,49,HARD,31.0,18.3,70.8,1017.5,False,22.5,55,0.6,00:03.798,10907,302,8,100,False,0,312.594,-4553.0,-1546.0,800.0,2020,Emilia Romagna Grand Prix
33,49,HARD,31.0,18.3,70.8,1017.5,False,22.5,55,0.6,00:04.018,10902,302,8,100,False,0,331.107,-4734.0,-1502.0,801.0,2020,Emilia Romagna Grand Prix
33,49,HARD,31.0,18.3,70.8,1017.5,False,22.5,55,0.6,00:04.059,10897,303,8,100,False,0,334.564,-4767.0,-1493.0,801.0,2020,Emilia Romagna Grand Prix
33,49,HARD,31.0,18.3,70.8,1017.5,False,22.5,55,0.6,00:04.238,10931,303,8,100,False,0,349.679,-4914.0,-1458.0,802.0,2020,Emilia Romagna Grand Prix
33,49,HARD,31.0,18.3,70.8,1017.5,False,22.5,55,0.6,00:04.299,10965,304,8,100,False,0,354.831,-4963.0,-1445.0,802.0,2020,Emilia Romagna Grand Prix
