DriverNumber,LapNumber,Compound,TyreLife,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Distance,X,Y,Z,Year,Event
4,41,MEDIUM,12.0,9.5,59.2,947.4,False,16.2,57,1.6,00:00.000,10972,246,6,100,False,0,0.102,1767.56422079272,-234.84628173371212,6712.5026736359705,2020,Eifel Grand Prix
4,41,MEDIUM,12.0,9.5,59.2,947.4,False,16.2,57,1.6,00:00.022,10966,247,6,100,False,0,1.631,1756.662741191906,-245.44857064443661,6712.402439622437,2020,Eifel Grand Prix
4,41,MEDIUM,12.0,9.5,59.2,947.4,False,16.2,57,1.6,00:00.118,11114,250,6,100,False,0,8.343,1709.0,-292.0,6712.0,2020,Eifel Grand Prix
4,41,MEDIUM,12.0,9.5,59.2,947.4,False,16.2,57,1.6,00:00.262,11262,253,6,100,False,0,18.497,1637.1996201530415,-362.6494959465197,6711.468474829834,2020,Eifel Grand Prix
4,41,MEDIUM,12.0,9.5,59.2,947.4,False,16.2,57,1.6,00:00.338,11310,254,6,100,False,0,23.867,1599.0,-400.0,6711.0,2020,Eifel Grand Prix
4,41,MEDIUM,12.0,9.5,59.2,947.4,False,16.2,57,1.6,00:00.502,11358,255,6,100,False,0,35.497,1515.649822387876,-480.34970977066814,6709.361792086268,2020,Eifel Grand Prix
4,41,MEDIUM,12.0,9.5,59.2,947.4,False,16.2,57,1.6,00:00.558,11433,256,6,100,False,0,39.491,1487.0,-508.0,6709.0,2020,Eifel Grand Prix
4,41,MEDIUM,12.0,9.5,59.2,947.4,False,16.2,57,1.6,00:00.742,11509,258,6,100,False,0,52.697,1392.483031865409,-599.9864407558273,6709.024918817135,2020,Eifel Grand Prix
4,41,MEDIUM,12.0,9.5,59.2,947.4,False,16.2,57,1.6,00:00.778,11429,259,6,100,False,0,55.295,1374.0,-618.0,6709.0,2020,Eifel Grand Prix
4,41,MEDIUM,12.0,9.5,59.2,947.4,False,16.2,57,1.6,00:00.982,11349,261,6,100,False,0,70.097,1269.2768845848211,-719.9363459367956,6708.0835222932155,2020,Eifel Grand Prix
4,41,MEDIUM,12.0,9.5,59.2,947.4,False,16.2,57,1.6,00:00.998,11484,261,6,100,False,0,71.263,1261.0,-728.0,6708.0,2020,Eifel Grand Prix
4,41,MEDIUM,12.0,9.5,59.2,947.4,False,16.2,57,1.6,00:01.218,11620,262,6,100,False,0,87.338,1146.0,-840.0,6707.0,2020,Eifel Grand Prix
4,41,MEDIUM,12.0,9.5,59.2,947.4,False,16.2,57,1.6,00:01.222,11756,263,6,100,False,0,87.631,1143.89646156045,-842.0381198144777,6706.984428479709,2020,Eifel Grand Prix
4,41,MEDIUM,12.0,9.5,59.2,947.4,False,16.2,57,1.6,00:01.438,10986,263,6,100,False,0,103.465,1030.0,-952.0,6706.0,2020,Eifel Grand Prix
4,41,MEDIUM,12.0,9.5,59.2,947.4,False,16.2,57,1.6,00:01.462,10216,264,6,100,False,0,105.231,1017.3495248829057,-964.2694859641958,6705.80194587056,2020,Eifel Grand Prix
4,41,MEDIUM,12.0,9.5,59.2,947.4,False,16.2,57,1.6,00:01.658,10260,265,6,100,False,0,119.711,914.0,-1065.0,6704.0,2020,Eifel Grand Prix
4,41,MEDIUM,12.0,9.5,59.2,947.4,False,16.2,57,1.6,00:01.663,10304,266,7,100,False,0,120.082,911.3538472326394,-1067.5797687905908,6703.980557547367,2020,Eifel Grand Prix
4,41,MEDIUM,12.0,9.5,59.2,947.4,False,16.2,57,1.6,00:01.878,10409,267,7,100,False,0,136.084,797.0,-1179.0,6704.0,2020,Eifel Grand Prix
4,41,MEDIUM,12.0,9.5,59.2,947.4,False,16.2,57,1.6,00:01.903,10515,268,7,100,False,0,137.949,783.6407140126504,-1192.0303657429738,6703.872641727283,2020,Eifel Grand Prix
