DriverNumber,LapNumber,Compound,TyreLife,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Distance,X,Y,Z,Year,Event
7,47,SOFT,1.0,29.0,33.2,938.4,False,50.3,251,0.5,00:00.000,7048,80,2,100,False,1,0.0,1051.0,-1053.0,7317.0,2020,Austrian Grand Prix
7,47,SOFT,1.0,29.0,33.2,938.4,False,50.3,251,0.5,00:00.034,7018,80,2,100,False,1,0.756,1044.0,-1056.0,7318.0,2020,Austrian Grand Prix
7,47,SOFT,1.0,29.0,33.2,938.4,False,50.3,251,0.5,00:00.143,6958,80,2,100,False,1,3.178,1020.0,-1062.0,7318.0,2020,Austrian Grand Prix
7,47,SOFT,1.0,29.0,33.2,938.4,False,50.3,251,0.5,00:00.254,6980,80,2,100,False,1,5.644,997.0,-1069.0,7318.0,2020,Austrian Grand Prix
7,47,SOFT,1.0,29.0,33.2,938.4,False,50.3,251,0.5,00:00.383,7003,80,2,100,False,1,8.511,968.0,-1075.0,7317.0,2020,Austrian Grand Prix
7,47,SOFT,1.0,29.0,33.2,938.4,False,50.3,251,0.5,00:00.474,7013,80,2,100,False,1,10.533,949.0,-1081.0,7318.0,2020,Austrian Grand Prix
7,47,SOFT,1.0,29.0,33.2,938.4,False,50.3,251,0.5,00:00.623,7023,80,2,100,False,1,13.844,916.0,-1089.0,7318.0,2020,Austrian Grand Prix
7,47,SOFT,1.0,29.0,33.2,938.4,False,50.3,251,0.5,00:00.694,7020,80,2,100,False,1,15.422,902.0,-1094.0,7318.0,2020,Austrian Grand Prix
7,47,SOFT,1.0,29.0,33.2,938.4,False,50.3,251,0.5,00:00.863,7018,80,2,100,False,1,19.178,867.0,-1103.0,7318.0,2020,Austrian Grand Prix
7,47,SOFT,1.0,29.0,33.2,938.4,False,50.3,251,0.5,00:00.914,7015,80,2,100,False,1,20.311,854.0,-1107.0,7318.0,2020,Austrian Grand Prix
7,47,SOFT,1.0,29.0,33.2,938.4,False,50.3,251,0.5,00:01.103,7013,80,2,100,False,1,24.511,804.0,-1120.0,7318.0,2020,Austrian Grand Prix
7,47,SOFT,1.0,29.0,33.2,938.4,False,50.3,251,0.5,00:01.134,7012,80,2,100,False,1,25.2,807.0,-1120.0,7318.0,2020,Austrian Grand Prix
7,47,SOFT,1.0,29.0,33.2,938.4,False,50.3,251,0.5,00:01.343,7011,80,2,100,False,1,29.844,895.0,-1096.0,7317.0,2020,Austrian Grand Prix
7,47,SOFT,1.0,29.0,33.2,938.4,False,50.3,251,0.5,00:01.353,7005,80,2,100,False,1,30.067,897.0,-1096.0,7318.0,2020,Austrian Grand Prix
7,47,SOFT,1.0,29.0,33.2,938.4,False,50.3,251,0.5,00:01.573,6999,80,2,100,False,1,34.956,849.0,-1108.0,7318.0,2020,Austrian Grand Prix
7,47,SOFT,1.0,29.0,33.2,938.4,False,50.3,251,0.5,00:01.583,6993,80,2,100,False,1,35.178,846.0,-1108.0,7317.0,2020,Austrian Grand Prix
7,47,SOFT,1.0,29.0,33.2,938.4,False,50.3,251,0.5,00:01.793,7028,80,2,100,False,1,39.844,802.0,-1121.0,7318.0,2020,Austrian Grand Prix
7,47,SOFT,1.0,29.0,33.2,938.4,False,50.3,251,0.5,00:01.823,7064,80,2,100,False,1,40.511,795.0,-1122.0,7317.0,2020,Austrian Grand Prix
7,47,SOFT,1.0,29.0,33.2,938.4,False,50.3,251,0.5,00:02.013,7034,80,2,100,False,1,44.733,754.0,-1134.0,7318.0,2020,Austrian Grand Prix
7,47,SOFT,1.0,29.0,33.2,938.4,False,50.3,251,0.5,00:02.063,7004,80,2,100,False,1,45.844,743.0,-1136.0,7317.0,2020,Austrian Grand Prix
7,47,SOFT,1.0,29.0,33.2,938.4,False,50.3,251,0.5,00:02.233,7003,80,2,100,False,1,49.622,707.0,-1146.0,7318.0,2020,Austrian Grand Prix
7,47,SOFT,1.0,29.0,33.2,938.4,False,50.3,251,0.5,00:02.303,7002,80,2,100,False,1,51.178,691.0,-1149.0,7317.0,2020,Austrian Grand Prix
7,47,SOFT,1.0,29.0,33.2,938.4,False,50.3,251,0.5,00:02.453,7001,80,2,100,False,1,54.511,659.0,-1159.0,7318.0,2020,Austrian Grand Prix
7,47,SOFT,1.0,29.0,33.2,938.4,False,50.3,251,0.5,00:02.543,7001,80,2,100,False,1,56.511,638.0,-1164.0,7317.0,2020,Austrian Grand Prix
7,47,SOFT,1.0,29.0,33.2,938.4,False,50.3,251,0.5,00:02.673,7008,80,2,100,False,1,59.4,612.0,-1172.0,7318.0,2020,Austrian Grand Prix
7,47,SOFT,1.0,29.0,33.2,938.4,False,50.3,251,0.5,00:02.783,7016,80,2,100,False,1,61.844,598.0,-1175.0,7317.0,2020,Austrian Grand Prix
7,47,SOFT,1.0,29.0,33.2,938.4,False,50.3,251,0.5,00:02.893,7020,80,2,100,False,1,64.289,588.0,-1178.0,7318.0,2020,Austrian Grand Prix
7,47,SOFT,1.0,29.0,33.2,938.4,False,50.3,251,0.5,00:03.022,7025,80,2,100,False,1,67.156,570.0,-1182.0,7318.0,2020,Austrian Grand Prix
7,47,SOFT,1.0,29.0,33.2,938.4,False,50.3,251,0.5,00:03.113,7008,80,2,100,False,1,69.178,555.0,-1187.0,7318.0,2020,Austrian Grand Prix
7,47,SOFT,1.0,29.0,33.2,938.4,False,50.3,251,0.5,00:03.262,6992,80,2,100,False,1,72.489,522.0,-1195.0,7317.0,2020,Austrian Grand Prix
7,47,SOFT,1.0,29.0,33.2,938.4,False,50.3,251,0.5,00:03.333,7044,80,2,100,False,1,74.067,507.0,-1200.0,7318.0,2020,Austrian Grand Prix
7,47,SOFT,1.0,29.0,33.2,938.4,False,50.3,251,0.5,00:03.502,7097,80,2,100,False,1,77.822,470.0,-1210.0,7317.0,2020,Austrian Grand Prix
7,47,SOFT,1.0,29.0,33.2,938.4,False,50.3,251,0.5,00:03.553,7072,80,2,100,False,1,78.956,460.0,-1213.0,7318.0,2020,Austrian Grand Prix
7,47,SOFT,1.0,29.0,33.2,938.4,False,50.3,251,0.5,00:03.742,7048,80,2,100,False,1,83.156,418.0,-1223.0,7317.0,2020,Austrian Grand Prix
7,47,SOFT,1.0,29.0,33.2,938.4,False,50.3,251,0.5,00:03.773,7037,80,2,100,False,1,83.844,412.0,-1225.0,7318.0,2020,Austrian Grand Prix
7,47,SOFT,1.0,29.0,33.2,938.4,False,50.3,251,0.5,00:03.982,7026,80,2,100,False,1,88.489,367.0,-1237.0,7317.0,2020,Austrian Grand Prix
7,47,SOFT,1.0,29.0,33.2,938.4,False,50.3,251,0.5,00:03.993,7038,80,2,100,False,1,88.733,365.0,-1238.0,7318.0,2020,Austrian Grand Prix
7,47,SOFT,1.0,29.0,33.2,938.4,False,50.3,251,0.5,00:04.213,7050,80,2,100,False,1,93.622,318.0,-1251.0,7318.0,2020,Austrian Grand Prix
