DriverNumber,LapNumber,Compound,TyreLife,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Distance,X,Y,Z,Year,Event
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:00.000,11678,250,6,100,False,1,0.156,-7667.0,-6523.0,501.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:00.055,11699,251,6,100,False,1,4.007,-7670.0,-6481.0,502.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:00.087,11742,253,6,100,False,1,6.24,-7671.0,-6460.0,502.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:00.295,11431,251,6,50,False,1,20.601,-7677.0,-6368.0,503.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:00.447,11120,249,6,0,True,1,31.14,-7679.0,-6278.0,503.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:00.595,10829,249,6,0,True,1,41.5,-7679.0,-6175.0,503.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:00.647,10538,249,6,0,True,1,44.973,-7677.0,-6137.0,502.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:00.795,10126,234,6,0,True,1,54.111,-7671.0,-6033.0,503.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:00.847,9715,219,6,0,True,1,57.14,-7668.0,-6000.0,503.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:00.955,9478,211,6,0,True,1,63.204,-7664.0,-5937.0,503.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:01.175,9241,203,6,0,True,1,75.0,-7654.0,-5813.0,503.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:01.207,9004,196,6,0,True,1,76.74,-7652.0,-5792.0,503.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:01.367,9707,196,6,0,True,1,85.451,-7639.0,-5682.0,504.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:01.475,9418,185,6,0,True,1,90.961,-7631.0,-5614.0,506.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:01.687,9130,175,5,0,True,1,101.006,-7616.0,-5513.0,509.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:01.847,9612,164,5,0,True,1,108.295,-7606.0,-5456.0,512.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:01.915,9346,158,5,0,True,1,111.272,-7602.0,-5433.0,514.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:02.087,9081,153,4,0,True,1,118.495,-7590.0,-5375.0,516.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:02.255,9064,148,4,0,True,1,125.215,-7577.0,-5313.0,518.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:02.286,9047,143,4,0,True,1,126.4,-7574.0,-5299.0,518.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:02.556,8910,132,4,0,True,1,135.898,-7546.0,-5178.0,521.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:02.726,8773,122,3,0,True,1,141.311,-7530.0,-5117.0,522.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:02.916,8067,113,3,0,True,1,146.972,-7517.0,-5065.0,523.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:03.166,7361,104,3,0,True,1,154.022,-7502.0,-5012.0,523.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:03.236,7275,102,3,0,True,1,155.973,-7498.0,-4998.0,524.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:03.326,7189,100,3,0,True,1,158.467,-7491.0,-4978.0,524.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:03.486,6734,98,3,0,True,1,162.822,-7479.0,-4937.0,526.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:03.556,6534,94,3,0,True,1,164.642,-7472.0,-4916.0,528.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:03.776,6334,90,3,0,True,1,169.986,-7445.0,-4837.0,532.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:03.927,6134,87,3,0,True,1,173.48,-7431.0,-4802.0,533.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:04.127,6035,81,3,0,True,1,177.98,-7418.0,-4777.0,534.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:04.176,5872,80,3,0,True,1,179.066,-7415.0,-4771.0,535.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:04.367,5710,79,3,0,False,1,183.246,-7398.0,-4742.0,535.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:04.436,5666,78,3,0,False,1,184.732,-7391.0,-4732.0,536.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:04.527,5622,77,3,0,True,1,186.669,-7380.0,-4718.0,536.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:04.727,5496,75,3,0,False,1,190.835,-7351.0,-4690.0,536.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:04.776,5505,74,3,2,False,1,191.842,-7344.0,-4685.0,537.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:04.956,5514,73,3,5,False,1,195.497,-7312.0,-4666.0,537.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:05.127,5523,73,3,8,False,1,198.946,-7278.0,-4651.0,538.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:05.216,5583,73,3,14,False,1,200.742,-7262.0,-4645.0,539.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:05.327,5644,73,3,21,False,1,203.002,-7243.0,-4638.0,539.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:05.396,5759,74,3,27,False,1,204.431,-7230.0,-4635.0,540.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:05.607,5874,76,3,34,False,1,208.913,-7172.0,-4620.0,542.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:05.676,6203,78,3,39,False,1,210.416,-7155.0,-4617.0,543.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:05.887,6532,80,3,44,False,1,215.135,-7113.0,-4609.0,545.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:06.047,7058,84,3,50,False,1,218.869,-7084.0,-4605.0,546.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:06.056,7183,85,3,50,False,1,219.084,-7083.0,-4605.0,547.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:06.236,7308,87,3,51,False,1,223.529,-7039.0,-4600.0,549.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:06.247,7434,89,3,52,False,1,223.813,-7035.0,-4599.0,549.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:06.396,8326,95,3,55,False,1,227.825,-6977.0,-4593.0,555.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:06.647,9219,101,3,59,False,1,235.035,-6893.0,-4585.0,560.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:06.735,9094,103,3,62,False,1,237.599,-6862.0,-4583.0,562.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:06.887,8970,106,3,65,False,1,242.102,-6801.0,-4577.0,566.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:06.935,9142,109,3,69,False,1,243.558,-6784.0,-4576.0,568.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:07.087,9315,112,3,73,False,1,248.324,-6742.0,-4572.0,571.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:07.255,9677,118,3,74,False,1,254.005,-6701.0,-4568.0,575.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:07.407,10039,125,3,76,False,1,259.435,-6650.0,-4562.0,578.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:07.535,10416,128,3,78,False,1,264.158,-6604.0,-4557.0,583.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:07.615,10793,131,3,81,False,1,267.174,-6575.0,-4554.0,586.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:07.727,11171,135,3,84,False,1,271.435,-6533.0,-4548.0,589.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:07.887,11684,139,3,88,False,1,277.613,-6472.0,-4537.0,593.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:07.895,11803,141,3,92,False,1,277.927,-6469.0,-4537.0,594.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:08.075,11922,143,3,96,False,1,285.165,-6398.0,-4524.0,599.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:08.127,12041,146,3,100,False,1,287.346,-6376.0,-4519.0,600.0,2022,Monaco Grand Prix
20,18,WET,18.0,22.0,77.0,1003.2,True,27.1,110,0.6,00:08.327,10816,158,3,100,False,1,296.124,-6292.0,-4500.0,609.0,2022,Monaco Grand Prix
