DriverNumber,LapNumber,Compound,TyreLife,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Distance,X,Y,Z,Year,Event
22,41,MEDIUM,29.0,22.8,76.0,1017.2,False,33.4,112,0.8,00:00.000,11513,291,7,100,False,0,0.046,496.80214668010666,3749.2693576651673,536.999972938477,2022,Dutch Grand Prix
22,41,MEDIUM,29.0,22.8,76.0,1017.2,False,33.4,112,0.8,00:00.080,11518,292,7,100,False,0,6.533,517.9656613040924,3800.901511727762,536.9999686653831,2022,Dutch Grand Prix
22,41,MEDIUM,29.0,22.8,76.0,1017.2,False,33.4,112,0.8,00:00.222,11514,292,7,100,False,0,18.05,558.0,3899.0,537.0,2022,Dutch Grand Prix
22,41,MEDIUM,29.0,22.8,76.0,1017.2,False,33.4,112,0.8,00:00.240,11510,292,7,100,False,0,19.511,563.3003808951953,3912.0244663327094,537.0000075224382,2022,Dutch Grand Prix
22,41,MEDIUM,29.0,22.8,76.0,1017.2,False,33.4,112,0.8,00:00.402,11540,292,7,100,False,0,32.686,613.0,4034.0,537.0,2022,Dutch Grand Prix
22,41,MEDIUM,29.0,22.8,76.0,1017.2,False,33.4,112,0.8,00:00.601,11570,293,7,100,False,0,48.892,674.7214507890042,4183.321367797754,536.999990178509,2022,Dutch Grand Prix
22,41,MEDIUM,29.0,22.8,76.0,1017.2,False,33.4,112,0.8,00:00.602,11534,293,7,100,False,0,48.974,675.0,4184.0,537.0,2022,Dutch Grand Prix
22,41,MEDIUM,29.0,22.8,76.0,1017.2,False,33.4,112,0.8,00:00.801,11498,293,7,100,False,0,65.17,722.9824574174866,4302.815779443514,537.0041294133193,2022,Dutch Grand Prix
22,41,MEDIUM,29.0,22.8,76.0,1017.2,False,33.4,112,0.8,00:00.922,11514,293,7,100,False,0,75.04,767.0,4411.0,537.0,2022,Dutch Grand Prix
22,41,MEDIUM,29.0,22.8,76.0,1017.2,False,33.4,112,0.8,00:01.102,11530,293,7,100,False,0,89.75,860.0,4637.0,537.0,2022,Dutch Grand Prix
22,41,MEDIUM,29.0,22.8,76.0,1017.2,False,33.4,112,0.8,00:01.161,11546,294,7,100,False,0,94.57,879.851058349536,4685.146499407785,537.0295364214558,2022,Dutch Grand Prix
22,41,MEDIUM,29.0,22.8,76.0,1017.2,False,33.4,112,0.8,00:01.401,11537,294,7,100,False,0,114.17,915.7924130752318,4772.492346327374,537.0026141069859,2022,Dutch Grand Prix
22,41,MEDIUM,29.0,22.8,76.0,1017.2,False,33.4,112,0.8,00:01.402,11592,294,7,100,False,0,114.252,916.0,4773.0,537.0,2022,Dutch Grand Prix
22,41,MEDIUM,29.0,22.8,76.0,1017.2,False,33.4,112,0.8,00:01.722,11647,294,7,100,False,0,140.379,1015.0,5016.0,536.0,2022,Dutch Grand Prix
