DriverNumber,LapNumber,Compound,TyreLife,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Distance,X,Y,Z,Year,Event
24,20,MEDIUM,5.0,20.6,58.0,927.9,False,48.9,190,2.5,00:00.000,11350,283,7,100,False,0,0.139,-3685.6906105434387,-5224.00464156319,7767.485713114382,2023,São Paulo Grand Prix
24,20,MEDIUM,5.0,20.6,58.0,927.9,False,48.9,190,2.5,00:00.191,11381,284,7,100,False,0,15.275,-3645.004547498664,-5384.088850959585,7771.647474250589,2023,São Paulo Grand Prix
24,20,MEDIUM,5.0,20.6,58.0,927.9,False,48.9,190,2.5,00:00.212,11399,285,7,100,False,0,16.946,-3641.0,-5400.0,7772.0,2023,São Paulo Grand Prix
24,20,MEDIUM,5.0,20.6,58.0,927.9,False,48.9,190,2.5,00:00.391,11418,287,7,100,False,0,31.22,-3610.6094065247503,-5522.122304054708,7774.173767156177,2023,São Paulo Grand Prix
24,20,MEDIUM,5.0,20.6,58.0,927.9,False,48.9,190,2.5,00:00.552,11436,287,7,100,False,0,44.048,-3583.0,-5631.0,7778.0,2023,São Paulo Grand Prix
24,20,MEDIUM,5.0,20.6,58.0,927.9,False,48.9,190,2.5,00:00.712,11454,287,7,100,False,0,56.791,-3551.0,-5753.0,7785.0,2023,São Paulo Grand Prix
24,20,MEDIUM,5.0,20.6,58.0,927.9,False,48.9,190,2.5,00:00.832,11473,287,7,100,False,0,66.377,-3527.098893965875,-5845.615596386703,7787.647188364368,2023,São Paulo Grand Prix
24,20,MEDIUM,5.0,20.6,58.0,927.9,False,48.9,190,2.5,00:00.912,11506,287,7,100,False,0,72.784,-3511.0,-5908.0,7789.0,2023,São Paulo Grand Prix
24,20,MEDIUM,5.0,20.6,58.0,927.9,False,48.9,190,2.5,00:01.153,11539,288,7,100,False,0,92.142,-3458.0,-6109.0,7795.0,2023,São Paulo Grand Prix
24,20,MEDIUM,5.0,20.6,58.0,927.9,False,48.9,190,2.5,00:01.192,11572,289,7,100,False,0,95.277,-3447.915914022831,-6146.50656063122,7795.993014913969,2023,São Paulo Grand Prix
24,20,MEDIUM,5.0,20.6,58.0,927.9,False,48.9,190,2.5,00:01.472,11604,289,7,100,False,0,117.806,-3374.0,-6419.0,7802.0,2023,São Paulo Grand Prix
24,20,MEDIUM,5.0,20.6,58.0,927.9,False,48.9,190,2.5,00:01.632,11637,290,7,100,False,0,130.722,-3352.6129767113543,-6500.220097586342,7803.615956129568,2023,São Paulo Grand Prix
24,20,MEDIUM,5.0,20.6,58.0,927.9,False,48.9,190,2.5,00:01.772,11647,290,7,100,False,0,142.06,-3333.0,-6575.0,7805.0,2023,São Paulo Grand Prix
