DriverNumber,LapNumber,Compound,TyreLife,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Distance,X,Y,Z,Year,Event
63,52,HARD,40.0,19.1,63.0,1011.7,False,29.3,289,2.0,00:00.000,10662,290,8,100,False,12,0.06,3369.0919670521716,802.4193140877775,128.00594226884675,2023,Canadian Grand Prix
63,52,HARD,40.0,19.1,63.0,1011.7,False,29.3,289,2.0,00:00.298,10665,291,8,100,False,12,24.209,3383.0,659.0,128.0,2023,Canadian Grand Prix
63,52,HARD,40.0,19.1,63.0,1011.7,False,29.3,289,2.0,00:00.312,10671,292,8,100,False,8,25.333,3383.663772568837,649.4796041321626,127.9560703875596,2023,Canadian Grand Prix
63,52,HARD,40.0,19.1,63.0,1011.7,False,29.3,289,2.0,00:00.552,10587,286,8,0,False,8,44.4,3394.0205213920776,455.9324669987625,126.9777882594047,2023,Canadian Grand Prix
63,52,HARD,40.0,19.1,63.0,1011.7,False,29.3,289,2.0,00:00.598,10389,282,8,0,False,8,47.969,3395.0,418.0,127.0,2023,Canadian Grand Prix
63,52,HARD,40.0,19.1,63.0,1011.7,False,29.3,289,2.0,00:00.818,10192,278,8,0,False,8,64.594,3394.0,244.0,128.0,2023,Canadian Grand Prix
63,52,HARD,40.0,19.1,63.0,1011.7,False,29.3,289,2.0,00:00.978,9995,274,8,0,False,8,76.504,3389.0,121.0,128.0,2023,Canadian Grand Prix
63,52,HARD,40.0,19.1,63.0,1011.7,False,29.3,289,2.0,00:01.031,9798,271,8,0,False,8,80.458,3386.6640246485845,80.61012643809951,128.1526962707176,2023,Canadian Grand Prix
63,52,HARD,40.0,19.1,63.0,1011.7,False,29.3,289,2.0,00:01.178,9840,269,8,0,False,8,91.412,3379.0,-28.0,129.0,2023,Canadian Grand Prix
63,52,HARD,40.0,19.1,63.0,1011.7,False,29.3,289,2.0,00:01.191,9882,268,8,0,False,8,92.369,3378.3034197541524,-37.0587065372289,129.07796998488843,2023,Canadian Grand Prix
63,52,HARD,40.0,19.1,63.0,1011.7,False,29.3,289,2.0,00:01.378,9699,263,8,0,False,8,105.855,3366.0,-174.0,130.0,2023,Canadian Grand Prix
63,52,HARD,40.0,19.1,63.0,1011.7,False,29.3,289,2.0,00:01.551,9516,258,8,0,False,0,118.169,3343.534180386915,-371.7020135726658,129.94687140884366,2023,Canadian Grand Prix
63,52,HARD,40.0,19.1,63.0,1011.7,False,29.3,289,2.0,00:01.618,9321,257,8,0,False,0,122.973,3335.0,-445.0,130.0,2023,Canadian Grand Prix
63,52,HARD,40.0,19.1,63.0,1011.7,False,29.3,289,2.0,00:01.712,9126,256,8,0,False,0,129.618,3325.0164406294666,-531.4773490077006,130.32592452362715,2023,Canadian Grand Prix
63,52,HARD,40.0,19.1,63.0,1011.7,False,29.3,289,2.0,00:01.998,8952,244,8,0,False,0,148.189,3306.0,-697.0,132.0,2023,Canadian Grand Prix
63,52,HARD,40.0,19.1,63.0,1011.7,False,29.3,289,2.0,00:02.032,8779,233,8,0,True,0,150.329,3304.375664260876,-710.3068493368728,132.07541854130187,2023,Canadian Grand Prix
63,52,HARD,40.0,19.1,63.0,1011.7,False,29.3,289,2.0,00:02.192,8115,223,8,0,True,0,160.24,3298.2935973604162,-756.4735369336753,131.98049235655435,2023,Canadian Grand Prix
63,52,HARD,40.0,19.1,63.0,1011.7,False,29.3,289,2.0,00:02.352,8303,204,8,0,True,0,169.307,3292.94471300271,-810.9253169870572,131.74193237122262,2023,Canadian Grand Prix
63,52,HARD,40.0,19.1,63.0,1011.7,False,29.3,289,2.0,00:02.438,8285,195,8,0,True,0,173.793,3289.0,-870.0,132.0,2023,Canadian Grand Prix
63,52,HARD,40.0,19.1,63.0,1011.7,False,29.3,289,2.0,00:02.598,8268,187,8,0,True,0,181.598,3281.0,-1020.0,133.0,2023,Canadian Grand Prix
63,52,HARD,40.0,19.1,63.0,1011.7,False,29.3,289,2.0,00:02.632,8251,179,7,0,True,0,183.229,3280.0990292811366,-1047.73320990304,133.15563050727008,2023,Canadian Grand Prix
63,52,HARD,40.0,19.1,63.0,1011.7,False,29.3,289,2.0,00:02.912,8698,168,7,0,True,0,196.296,3286.0445939140486,-1180.7729755113837,133.18232254946048,2023,Canadian Grand Prix
63,52,HARD,40.0,19.1,63.0,1011.7,False,29.3,289,2.0,00:03.059,8993,160,7,0,True,0,202.643,3292.0,-1221.0,133.0,2023,Canadian Grand Prix
63,52,HARD,40.0,19.1,63.0,1011.7,False,29.3,289,2.0,00:03.232,9288,152,6,0,True,0,209.807,3298.311827483251,-1260.5436988189574,132.94564834385872,2023,Canadian Grand Prix
63,52,HARD,40.0,19.1,63.0,1011.7,False,29.3,289,2.0,00:03.439,9031,149,6,0,True,0,218.283,3312.0,-1314.0,133.0,2023,Canadian Grand Prix
63,52,HARD,40.0,19.1,63.0,1011.7,False,29.3,289,2.0,00:03.512,8774,147,4,0,True,0,221.24,3320.58468031573,-1339.6749116716026,133.01732792717675,2023,Canadian Grand Prix
63,52,HARD,40.0,19.1,63.0,1011.7,False,29.3,289,2.0,00:03.599,8731,145,4,0,True,0,224.739,3333.0,-1372.0,133.0,2023,Canadian Grand Prix
63,52,HARD,40.0,19.1,63.0,1011.7,False,29.3,289,2.0,00:03.672,8688,144,4,0,True,0,227.64,3344.870030360217,-1397.679230756298,132.91782368748707,2023,Canadian Grand Prix
