DriverNumber,LapNumber,Compound,TyreLife,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Distance,X,Y,Z,Year,Event
10,31,MEDIUM,3.0,28.6,47.0,981.5,False,40.4,354,0.6,00:00.000,11467,255,6,100,False,0,0.019,-1448.0,-141.0,2388.0,2024,Hungarian Grand Prix
10,31,MEDIUM,3.0,28.6,47.0,981.5,False,40.4,354,0.6,00:00.071,11512,256,6,100,False,0,5.097,-1488.0,-110.0,2388.0,2024,Hungarian Grand Prix
10,31,MEDIUM,3.0,28.6,47.0,981.5,False,40.4,354,0.6,00:00.204,11601,258,6,100,False,0,14.65,-1561.0,-50.0,2387.0,2024,Hungarian Grand Prix
10,31,MEDIUM,3.0,28.6,47.0,981.5,False,40.4,354,0.6,00:00.351,11024,259,6,100,False,0,25.272,-1644.0,16.0,2388.0,2024,Hungarian Grand Prix
10,31,MEDIUM,3.0,28.6,47.0,981.5,False,40.4,354,0.6,00:00.444,10448,261,7,100,False,0,32.05,-1696.0,59.0,2388.0,2024,Hungarian Grand Prix
10,31,MEDIUM,3.0,28.6,47.0,981.5,False,40.4,354,0.6,00:00.531,10477,263,7,100,False,0,38.443,-1745.0,100.0,2389.0,2024,Hungarian Grand Prix
10,31,MEDIUM,3.0,28.6,47.0,981.5,False,40.4,354,0.6,00:00.684,10506,266,7,100,False,0,49.783,-1831.0,170.0,2388.0,2024,Hungarian Grand Prix
10,31,MEDIUM,3.0,28.6,47.0,981.5,False,40.4,354,0.6,00:00.751,10527,267,7,100,False,0,54.772,-1870.0,202.0,2388.0,2024,Hungarian Grand Prix
10,31,MEDIUM,3.0,28.6,47.0,981.5,False,40.4,354,0.6,00:00.891,10548,268,7,100,False,0,65.24,-1951.0,268.0,2388.0,2024,Hungarian Grand Prix
10,31,MEDIUM,3.0,28.6,47.0,981.5,False,40.4,354,0.6,00:00.924,10570,269,7,100,False,0,67.717,-1969.0,283.0,2388.0,2024,Hungarian Grand Prix
10,31,MEDIUM,3.0,28.6,47.0,981.5,False,40.4,354,0.6,00:01.071,10659,270,7,100,False,0,78.787,-2055.0,354.0,2388.0,2024,Hungarian Grand Prix
10,31,MEDIUM,3.0,28.6,47.0,981.5,False,40.4,354,0.6,00:01.204,10749,272,7,100,False,0,88.872,-2150.0,432.0,2387.0,2024,Hungarian Grand Prix
10,31,MEDIUM,3.0,28.6,47.0,981.5,False,40.4,354,0.6,00:01.391,10839,274,7,100,False,0,103.178,-2290.0,547.0,2388.0,2024,Hungarian Grand Prix
