DriverNumber,LapNumber,Compound,TyreLife,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Distance,X,Y,Z,Year,Event
10,13,HARD,3.0,17.8,50.0,936.0,False,17.5,244,3.0,00:00.000,11501,321,8,100,False,0,0.0,1785.0593220093872,-945.6398755568687,6064.300679641007,2024,Las Vegas Grand Prix
10,13,HARD,3.0,17.8,50.0,936.0,False,17.5,244,3.0,00:00.085,11490,321,8,100,False,0,7.547,1840.584092567967,-885.3323081484316,6063.946332238239,2024,Las Vegas Grand Prix
10,13,HARD,3.0,17.8,50.0,936.0,False,17.5,244,3.0,00:00.147,11494,321,8,100,False,0,13.075,1880.0,-841.0,6064.0,2024,Las Vegas Grand Prix
10,13,HARD,3.0,17.8,50.0,936.0,False,17.5,244,3.0,00:00.306,11498,321,8,100,False,0,27.252,1977.0,-727.0,6065.0,2024,Las Vegas Grand Prix
10,13,HARD,3.0,17.8,50.0,936.0,False,17.5,244,3.0,00:00.365,11502,321,8,100,False,0,32.514,2011.6291971911824,-685.8993742832207,6065.244073075668,2024,Las Vegas Grand Prix
10,13,HARD,3.0,17.8,50.0,936.0,False,17.5,244,3.0,00:00.587,11479,321,8,100,False,0,52.32,2138.0,-536.0,6065.0,2024,Las Vegas Grand Prix
10,13,HARD,3.0,17.8,50.0,936.0,False,17.5,244,3.0,00:00.767,11456,321,8,100,False,0,68.365,2242.0,-414.0,6064.0,2024,Las Vegas Grand Prix
10,13,HARD,3.0,17.8,50.0,936.0,False,17.5,244,3.0,00:00.805,11434,321,8,100,False,0,71.747,2264.55214211554,-388.45177611299573,6063.975264849927,2024,Las Vegas Grand Prix
10,13,HARD,3.0,17.8,50.0,936.0,False,17.5,244,3.0,00:00.846,11439,320,8,100,False,0,75.395,2289.0,-361.0,6064.0,2024,Las Vegas Grand Prix
10,13,HARD,3.0,17.8,50.0,936.0,False,17.5,244,3.0,00:01.045,11445,320,8,100,False,0,93.081,2406.8653484601605,-229.25995112292352,6064.02064275041,2024,Las Vegas Grand Prix
10,13,HARD,3.0,17.8,50.0,936.0,False,17.5,244,3.0,00:01.207,11434,320,8,100,False,0,107.482,2503.0,-122.0,6064.0,2024,Las Vegas Grand Prix
10,13,HARD,3.0,17.8,50.0,936.0,False,17.5,244,3.0,00:01.365,11424,320,8,100,False,0,121.525,2597.4062849381125,-16.658779449230135,6064.000081761264,2024,Las Vegas Grand Prix
10,13,HARD,3.0,17.8,50.0,936.0,False,17.5,244,3.0,00:01.366,11430,320,8,100,False,0,121.614,2598.0,-16.0,6064.0,2024,Las Vegas Grand Prix
10,13,HARD,3.0,17.8,50.0,936.0,False,17.5,244,3.0,00:01.525,11437,320,8,100,False,0,135.747,2691.817348202839,87.68687422655034,6063.998952505142,2024,Las Vegas Grand Prix
10,13,HARD,3.0,17.8,50.0,936.0,False,17.5,244,3.0,00:01.527,11396,320,8,100,False,0,135.925,2693.0,89.0,6064.0,2024,Las Vegas Grand Prix
10,13,HARD,3.0,17.8,50.0,936.0,False,17.5,244,3.0,00:01.807,11355,320,8,100,False,0,160.872,2859.0,275.0,6064.0,2024,Las Vegas Grand Prix
10,13,HARD,3.0,17.8,50.0,936.0,False,17.5,244,3.0,00:01.845,11315,320,8,100,False,0,164.192,2881.1107864920377,299.6500598112343,6063.80755575029,2024,Las Vegas Grand Prix
10,13,HARD,3.0,17.8,50.0,936.0,False,17.5,244,3.0,00:01.987,11075,312,8,53,False,0,176.352,2966.0,394.0,6063.0,2024,Las Vegas Grand Prix
10,13,HARD,3.0,17.8,50.0,936.0,False,17.5,244,3.0,00:02.045,10835,304,8,6,False,0,181.081,3004.707083686551,437.1711049115416,6063.023629828501,2024,Las Vegas Grand Prix
10,13,HARD,3.0,17.8,50.0,936.0,False,17.5,244,3.0,00:02.247,10908,280,8,3,False,0,196.119,3143.0,592.0,6064.0,2024,Las Vegas Grand Prix
10,13,HARD,3.0,17.8,50.0,936.0,False,17.5,244,3.0,00:02.485,10981,257,8,0,True,0,212.492,3248.696486734013,710.8841270754195,6063.184429781169,2024,Las Vegas Grand Prix
10,13,HARD,3.0,17.8,50.0,936.0,False,17.5,244,3.0,00:02.646,11261,252,8,0,True,0,223.694,3307.0,776.0,6063.0,2024,Las Vegas Grand Prix
10,13,HARD,3.0,17.8,50.0,936.0,False,17.5,244,3.0,00:02.685,11541,248,8,0,True,0,226.269,3321.827095388884,792.4219997462845,6063.161000209062,2024,Las Vegas Grand Prix
10,13,HARD,3.0,17.8,50.0,936.0,False,17.5,244,3.0,00:02.846,11263,232,8,0,True,0,236.057,3395.0,873.0,6064.0,2024,Las Vegas Grand Prix
10,13,HARD,3.0,17.8,50.0,936.0,False,17.5,244,3.0,00:02.885,10985,216,7,0,True,0,238.269,3419.677863144819,900.1402236626171,6063.943452505996,2024,Las Vegas Grand Prix
10,13,HARD,3.0,17.8,50.0,936.0,False,17.5,244,3.0,00:03.047,11287,202,7,0,True,0,246.912,3527.0,1018.0,6063.0,2024,Las Vegas Grand Prix
10,13,HARD,3.0,17.8,50.0,936.0,False,17.5,244,3.0,00:03.165,11589,188,4,0,True,0,252.892,3555.2686506128907,1048.5519146618615,6062.843228565974,2024,Las Vegas Grand Prix
10,13,HARD,3.0,17.8,50.0,936.0,False,17.5,244,3.0,00:03.307,10919,181,4,0,True,0,259.939,3568.0,1063.0,6063.0,2024,Las Vegas Grand Prix
10,13,HARD,3.0,17.8,50.0,936.0,False,17.5,244,3.0,00:03.405,10249,175,4,0,True,0,264.558,3595.345351546135,1095.2697537193576,6062.999338994527,2024,Las Vegas Grand Prix
10,13,HARD,3.0,17.8,50.0,936.0,False,17.5,244,3.0,00:03.666,10510,162,4,0,True,0,275.531,3698.0,1219.0,6063.0,2024,Las Vegas Grand Prix
10,13,HARD,3.0,17.8,50.0,936.0,False,17.5,244,3.0,00:03.765,10772,149,3,0,True,0,279.458,3719.068665183659,1246.5093121835207,6063.2902301440345,2024,Las Vegas Grand Prix
10,13,HARD,3.0,17.8,50.0,936.0,False,17.5,244,3.0,00:03.966,10222,144,3,0,True,0,287.267,3742.0,1291.0,6064.0,2024,Las Vegas Grand Prix
10,13,HARD,3.0,17.8,50.0,936.0,False,17.5,244,3.0,00:04.005,9673,139,3,0,True,0,288.725,3747.2678140267144,1304.639180572667,6064.054134815514,2024,Las Vegas Grand Prix
10,13,HARD,3.0,17.8,50.0,936.0,False,17.5,244,3.0,00:04.285,10482,127,3,0,True,0,298.603,3787.2695105557873,1436.74230805422,6063.97367201104,2024,Las Vegas Grand Prix
10,13,HARD,3.0,17.8,50.0,936.0,False,17.5,244,3.0,00:04.306,10400,123,3,0,True,0,299.32,3789.0,1446.0,6064.0,2024,Las Vegas Grand Prix
10,13,HARD,3.0,17.8,50.0,936.0,False,17.5,244,3.0,00:04.606,10318,120,2,0,True,0,309.303,3789.298649868067,1550.7654491689555,6064.988838075645,2024,Las Vegas Grand Prix
10,13,HARD,3.0,17.8,50.0,936.0,False,17.5,244,3.0,00:04.707,10134,116,2,0,True,0,312.522,3786.0,1574.0,6065.0,2024,Las Vegas Grand Prix
10,13,HARD,3.0,17.8,50.0,936.0,False,17.5,244,3.0,00:04.806,9950,113,2,0,True,0,315.581,3783.098942443177,1590.7518969862535,6064.685518355955,2024,Las Vegas Grand Prix
10,13,HARD,3.0,17.8,50.0,936.0,False,17.5,244,3.0,00:04.967,9655,109,2,0,True,0,320.306,3776.0,1616.0,6064.0,2024,Las Vegas Grand Prix
10,13,HARD,3.0,17.8,50.0,936.0,False,17.5,244,3.0,00:05.046,9360,105,2,0,True,0,322.581,3769.461498830156,1634.368551688633,6063.914215225546,2024,Las Vegas Grand Prix
10,13,HARD,3.0,17.8,50.0,936.0,False,17.5,244,3.0,00:05.287,9308,104,2,0,True,0,329.494,3740.0,1704.0,6064.0,2024,Las Vegas Grand Prix
10,13,HARD,3.0,17.8,50.0,936.0,False,17.5,244,3.0,00:05.326,9257,103,2,0,False,0,330.592,3734.679311390103,1714.2847263615147,6063.885309514704,2024,Las Vegas Grand Prix
10,13,HARD,3.0,17.8,50.0,936.0,False,17.5,244,3.0,00:05.527,8903,100,2,0,False,0,336.119,3705.0,1762.0,6063.0,2024,Las Vegas Grand Prix
10,13,HARD,3.0,17.8,50.0,936.0,False,17.5,244,3.0,00:05.766,8549,98,2,0,False,0,342.569,3663.1873609020545,1812.8004560140205,6062.998912075798,2024,Las Vegas Grand Prix
10,13,HARD,3.0,17.8,50.0,936.0,False,17.5,244,3.0,00:05.767,8299,98,2,7,False,0,342.597,3663.0,1813.0,6063.0,2024,Las Vegas Grand Prix
10,13,HARD,3.0,17.8,50.0,936.0,False,17.5,244,3.0,00:05.946,8049,98,2,15,False,0,347.474,3628.0,1847.0,6063.0,2024,Las Vegas Grand Prix
10,13,HARD,3.0,17.8,50.0,936.0,False,17.5,244,3.0,00:06.107,7799,98,2,22,False,0,351.918,3594.0,1875.0,6062.0,2024,Las Vegas Grand Prix
10,13,HARD,3.0,17.8,50.0,936.0,False,17.5,244,3.0,00:06.165,7549,99,3,30,False,0,353.542,3580.8637607900473,1884.5184608938591,6061.84418057997,2024,Las Vegas Grand Prix
10,13,HARD,3.0,17.8,50.0,936.0,False,17.5,244,3.0,00:06.387,7654,101,3,38,False,0,359.864,3529.0,1917.0,6062.0,2024,Las Vegas Grand Prix
