DriverNumber,LapNumber,Compound,TyreLife,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Distance,X,Y,Z,Year,Event
10,1,MEDIUM,1.0,25.4,62.0,1012.5,False,31.5,342,1.7,00:00.615,9635,4,1,24,False,1,0.249,-1618.0,1109.0,117.0,2024,Saudi Arabian Grand Prix
10,1,MEDIUM,1.0,25.4,62.0,1012.5,False,31.5,342,1.7,00:00.804,8655,8,1,25,False,1,0.8,-1619.1330062432878,1111.8801186612122,116.99999999999997,2024,Saudi Arabian Grand Prix
10,1,MEDIUM,1.0,25.4,62.0,1012.5,False,31.5,342,1.7,00:00.895,7815,13,1,28,False,1,1.187,-1620.0,1114.0,117.0,2024,Saudi Arabian Grand Prix
10,1,MEDIUM,1.0,25.4,62.0,1012.5,False,31.5,342,1.7,00:01.043,6975,18,1,32,False,1,1.995,-1622.1644021405577,1119.3808706716736,117.00000000000004,2024,Saudi Arabian Grand Prix
10,1,MEDIUM,1.0,25.4,62.0,1012.5,False,31.5,342,1.7,00:01.135,5770,24,1,38,False,1,2.616,-1624.0,1124.0,117.0,2024,Saudi Arabian Grand Prix
10,1,MEDIUM,1.0,25.4,62.0,1012.5,False,31.5,342,1.7,00:01.403,4566,30,1,45,False,1,4.995,-1631.7534581507896,1144.4060576075333,116.99999999999969,2024,Saudi Arabian Grand Prix
10,1,MEDIUM,1.0,25.4,62.0,1012.5,False,31.5,342,1.7,00:01.435,4977,36,1,46,False,1,5.344,-1633.0,1148.0,117.0,2024,Saudi Arabian Grand Prix
10,1,MEDIUM,1.0,25.4,62.0,1012.5,False,31.5,342,1.7,00:01.563,5389,42,1,47,False,1,6.862,-1638.7373425320354,1165.2555569393642,117.00000000000226,2024,Saudi Arabian Grand Prix
10,1,MEDIUM,1.0,25.4,62.0,1012.5,False,31.5,342,1.7,00:01.655,6151,46,1,53,False,1,8.044,-1643.0,1178.0,117.0,2024,Saudi Arabian Grand Prix
10,1,MEDIUM,1.0,25.4,62.0,1012.5,False,31.5,342,1.7,00:01.883,6914,51,1,59,False,1,11.395,-1652.4714561574888,1204.123191498629,116.99999999996963,2024,Saudi Arabian Grand Prix
