DriverNumber,EventName,Year,Status,ProblemClass
8,Australian Grand Prix,2019,Wheel,Aerodynamics and Tyres
3,Australian Grand Prix,2019,Damage,Aerodynamics and Tyres
55,Australian Grand Prix,2019,Engine,Engine
27,Bahrain Grand Prix,2019,Engine,Engine
3,Bahrain Grand Prix,2019,Out of fuel,Others
27,Chinese Grand Prix,2019,Power Unit,Power Unit
10,Azerbaijan Grand Prix,2019,Transmission,Transmission and Gearbox
8,Azerbaijan Grand Prix,2019,Brakes,Braking System
4,Canadian Grand Prix,2019,Suspension,Suspension and Drive
4,German Grand Prix,2019,Power loss,Power Unit
3,German Grand Prix,2019,Exhaust,Others
8,Hungarian Grand Prix,2019,Water pressure,Cooling System
4,Belgian Grand Prix,2019,Engine,Engine
55,Belgian Grand Prix,2019,Power loss,Power Unit
20,Italian Grand Prix,2019,Hydraulics,Suspension and Drive
26,Italian Grand Prix,2019,Engine,Engine
55,Italian Grand Prix,2019,Wheel,Aerodynamics and Tyres
11,Singapore Grand Prix,2019,Engine,Engine
88,Russian Grand Prix,2019,Brakes,Braking System
63,Russian Grand Prix,2019,Brakes,Braking System
5,Russian Grand Prix,2019,Power loss,Power Unit
33,Japanese Grand Prix,2019,Brakes,Braking System
7,Mexican Grand Prix,2019,Overheating,Cooling System
10,United States Grand Prix,2019,Suspension,Suspension and Drive
20,United States Grand Prix,2019,Brakes,Braking System
88,United States Grand Prix,2019,Oil leak,Others
5,United States Grand Prix,2019,Suspension,Suspension and Drive
18,Brazilian Grand Prix,2019,Suspension,Suspension and Drive
77,Brazilian Grand Prix,2019,Power Unit,Power Unit
18,Abu Dhabi Grand Prix,2019,Brakes,Braking System
26,Austrian Grand Prix,2020,Suspension,Suspension and Drive
23,Austrian Grand Prix,2020,Electronics,Others
7,Austrian Grand Prix,2020,Wheel,Aerodynamics and Tyres
63,Austrian Grand Prix,2020,Fuel pressure,Others
8,Austrian Grand Prix,2020,Brakes,Braking System
20,Austrian Grand Prix,2020,Brakes,Braking System
18,Austrian Grand Prix,2020,Engine,Engine
3,Austrian Grand Prix,2020,Overheating,Cooling System
33,Austrian Grand Prix,2020,Electronics,Others
26,Austrian Grand Prix,2020,Suspension,Suspension and Drive
23,Austrian Grand Prix,2020,Electronics,Others
7,Austrian Grand Prix,2020,Wheel,Aerodynamics and Tyres
63,Austrian Grand Prix,2020,Fuel pressure,Others
8,Austrian Grand Prix,2020,Brakes,Braking System
20,Austrian Grand Prix,2020,Brakes,Braking System
18,Austrian Grand Prix,2020,Engine,Engine
3,Austrian Grand Prix,2020,Overheating,Cooling System
33,Austrian Grand Prix,2020,Electronics,Others
26,Austrian Grand Prix,2020,Suspension,Suspension and Drive
23,Austrian Grand Prix,2020,Electronics,Others
7,Austrian Grand Prix,2020,Wheel,Aerodynamics and Tyres
63,Austrian Grand Prix,2020,Fuel pressure,Others
8,Austrian Grand Prix,2020,Brakes,Braking System
20,Austrian Grand Prix,2020,Brakes,Braking System
18,Austrian Grand Prix,2020,Engine,Engine
3,Austrian Grand Prix,2020,Overheating,Cooling System
33,Austrian Grand Prix,2020,Electronics,Others
31,Styrian Grand Prix,2020,Overheating,Cooling System
10,Hungarian Grand Prix,2020,Engine,Engine
27,British Grand Prix,2020,Power Unit,Power Unit
16,Spanish Grand Prix,2020,Electronics,Others
55,Belgian Grand Prix,2020,Exhaust,Others
33,Italian Grand Prix,2020,Power Unit,Power Unit
20,Italian Grand Prix,2020,Power Unit,Power Unit
5,Italian Grand Prix,2020,Brakes,Braking System
18,Tuscan Grand Prix,2020,Puncture,Aerodynamics and Tyres
31,Tuscan Grand Prix,2020,Brakes,Braking System
4,Eifel Grand Prix,2020,Power Unit,Power Unit
23,Eifel Grand Prix,2020,Radiator,Cooling System
31,Eifel Grand Prix,2020,Gearbox,Transmission and Gearbox
77,Eifel Grand Prix,2020,Power Unit,Power Unit
