DriverNumber,Status,EventName,EventDate
8,ERS,Australian Grand Prix,2014-03-16 06:00:00
13,ERS,Australian Grand Prix,2014-03-16 06:00:00
9,Oil pressure,Australian Grand Prix,2014-03-16 06:00:00
1,Engine,Australian Grand Prix,2014-03-16 06:00:00
44,Engine,Australian Grand Prix,2014-03-16 06:00:00
3,Technical,Malaysian Grand Prix,2014-03-30 08:00:00
21,Gearbox,Malaysian Grand Prix,2014-03-30 08:00:00
99,Electrical,Malaysian Grand Prix,2014-03-30 08:00:00
25,Power Unit,Malaysian Grand Prix,2014-03-30 08:00:00
17,Brakes,Malaysian Grand Prix,2014-03-30 08:00:00
13,Engine,Malaysian Grand Prix,2014-03-30 08:00:00
22,Clutch,Bahrain Grand Prix,2014-04-06 15:00:00
20,Clutch,Bahrain Grand Prix,2014-04-06 15:00:00
8,Gearbox,Chinese Grand Prix,2014-04-20 07:00:00
99,Engine,Chinese Grand Prix,2014-04-20 07:00:00
10,Brakes,Spanish Grand Prix,2014-05-11 12:00:00
25,Exhaust,Spanish Grand Prix,2014-05-11 12:00:00
77,Engine,Monaco Grand Prix,2014-05-25 12:00:00
25,Engine,Monaco Grand Prix,2014-05-25 12:00:00
26,Mechanical,Monaco Grand Prix,2014-05-25 12:00:00
1,Turbo,Monaco Grand Prix,2014-05-25 12:00:00
21,ERS,Canadian Grand Prix,2014-06-08 18:00:00
8,Rear wing,Canadian Grand Prix,2014-06-08 18:00:00
26,Drivetrain,Canadian Grand Prix,2014-06-08 18:00:00
44,Brakes,Canadian Grand Prix,2014-06-08 18:00:00
10,Suspension,Canadian Grand Prix,2014-06-08 18:00:00
13,Power Unit,Canadian Grand Prix,2014-06-08 18:00:00
9,Turbo,Canadian Grand Prix,2014-06-08 18:00:00
25,Brakes,Austrian Grand Prix,2014-06-22 12:00:00
1,Electrical,Austrian Grand Prix,2014-06-22 12:00:00
26,Suspension,Austrian Grand Prix,2014-06-22 12:00:00
6,Gearbox,British Grand Prix,2014-07-06 12:00:00
9,Suspension,British Grand Prix,2014-07-06 12:00:00
99,Brakes,German Grand Prix,2014-07-20 12:00:00
26,Oil leak,German Grand Prix,2014-07-20 12:00:00
8,Water leak,German Grand Prix,2014-07-20 12:00:00
17,Gearbox,Belgian Grand Prix,2014-08-24 12:00:00
13,Mechanical,Belgian Grand Prix,2014-08-24 12:00:00
45,Power Unit,Belgian Grand Prix,2014-08-24 12:00:00
14,Engine,Italian Grand Prix,2014-09-07 12:00:00
99,Water pressure,Singapore Grand Prix,2014-09-21 12:00:00
21,Electrical,Singapore Grand Prix,2014-09-21 12:00:00
6,Electrical,Singapore Grand Prix,2014-09-21 12:00:00
10,Power Unit,Singapore Grand Prix,2014-09-21 12:00:00
14,Electronics,Japanese Grand Prix,2014-10-05 06:00:00
10,Brakes,Russian Grand Prix,2014-10-12 11:00:00
4,Suspension,Russian Grand Prix,2014-10-12 11:00:00
27,Engine,United States Grand Prix,2014-11-02 20:00:00
3,Suspension,Brazilian Grand Prix,2014-11-09 16:00:00
13,Power Unit,Abu Dhabi Grand Prix,2014-11-23 13:00:00
26,Power Unit,Abu Dhabi Grand Prix,2014-11-23 13:00:00
7,Wheel,Australian Grand Prix,2015-03-15 05:00:00
33,Engine,Australian Grand Prix,2015-03-15 05:00:00
8,Power loss,Australian Grand Prix,2015-03-15 05:00:00
22,Turbo,Malaysian Grand Prix,2015-03-29 07:00:00
14,ERS,Malaysian Grand Prix,2015-03-29 07:00:00
28,Fuel system,Malaysian Grand Prix,2015-03-29 07:00:00
33,Transmission,Chinese Grand Prix,2015-04-12 06:00:00
13,Brakes,Chinese Grand Prix,2015-04-12 06:00:00
26,Power Unit,Chinese Grand Prix,2015-04-12 06:00:00
27,Gearbox,Chinese Grand Prix,2015-04-12 06:00:00
33,Electrical,Bahrain Grand Prix,2015-04-19 15:00:00
55,Engine,Bahrain Grand Prix,2015-04-19 15:00:00
22,ERS,Bahrain Grand Prix,2015-04-19 15:00:00
14,Brakes,Spanish Grand Prix,2015-05-10 12:00:00
14,Gearbox,Monaco Grand Prix,2015-05-24 12:00:00
13,Brakes,Monaco Grand Prix,2015-05-24 12:00:00
14,Engine,Canadian Grand Prix,2015-06-07 18:00:00
8,Gearbox,Austrian Grand Prix,2015-06-21 12:00:00
55,Power loss,Austrian Grand Prix,2015-06-21 12:00:00
