DriverNumber,Status,EventName,Year
8,ERS,Australian Grand Prix,2014
13,ERS,Australian Grand Prix,2014
9,Oil pressure,Australian Grand Prix,2014
1,Engine,Australian Grand Prix,2014
44,Engine,Australian Grand Prix,2014
3,Technical,Malaysian Grand Prix,2014
21,Gearbox,Malaysian Grand Prix,2014
99,Electrical,Malaysian Grand Prix,2014
25,Power Unit,Malaysian Grand Prix,2014
17,Brakes,Malaysian Grand Prix,2014
13,Engine,Malaysian Grand Prix,2014
22,Clutch,Bahrain Grand Prix,2014
20,Clutch,Bahrain Grand Prix,2014
8,Gearbox,Chinese Grand Prix,2014
99,Engine,Chinese Grand Prix,2014
10,Brakes,Spanish Grand Prix,2014
25,Exhaust,Spanish Grand Prix,2014
77,Engine,Monaco Grand Prix,2014
25,Engine,Monaco Grand Prix,2014
26,Mechanical,Monaco Grand Prix,2014
1,Turbo,Monaco Grand Prix,2014
21,ERS,Canadian Grand Prix,2014
8,Rear wing,Canadian Grand Prix,2014
26,Drivetrain,Canadian Grand Prix,2014
44,Brakes,Canadian Grand Prix,2014
10,Suspension,Canadian Grand Prix,2014
13,Power Unit,Canadian Grand Prix,2014
9,Turbo,Canadian Grand Prix,2014
25,Brakes,Austrian Grand Prix,2014
1,Electrical,Austrian Grand Prix,2014
26,Suspension,Austrian Grand Prix,2014
6,Gearbox,British Grand Prix,2014
9,Suspension,British Grand Prix,2014
99,Brakes,German Grand Prix,2014
26,Oil leak,German Grand Prix,2014
8,Water leak,German Grand Prix,2014
17,Gearbox,Belgian Grand Prix,2014
13,Mechanical,Belgian Grand Prix,2014
45,Power Unit,Belgian Grand Prix,2014
14,Engine,Italian Grand Prix,2014
99,Water pressure,Singapore Grand Prix,2014
21,Electrical,Singapore Grand Prix,2014
6,Electrical,Singapore Grand Prix,2014
10,Power Unit,Singapore Grand Prix,2014
14,Electronics,Japanese Grand Prix,2014
10,Brakes,Russian Grand Prix,2014
4,Suspension,Russian Grand Prix,2014
27,Engine,United States Grand Prix,2014
3,Suspension,Brazilian Grand Prix,2014
13,Power Unit,Abu Dhabi Grand Prix,2014
26,Power Unit,Abu Dhabi Grand Prix,2014
7,Wheel,Australian Grand Prix,2015
33,Engine,Australian Grand Prix,2015
8,Power loss,Australian Grand Prix,2015
22,Turbo,Malaysian Grand Prix,2015
14,ERS,Malaysian Grand Prix,2015
28,Fuel system,Malaysian Grand Prix,2015
33,Transmission,Chinese Grand Prix,2015
13,Brakes,Chinese Grand Prix,2015
26,Power Unit,Chinese Grand Prix,2015
27,Gearbox,Chinese Grand Prix,2015
33,Electrical,Bahrain Grand Prix,2015
55,Engine,Bahrain Grand Prix,2015
22,ERS,Bahrain Grand Prix,2015
14,Brakes,Spanish Grand Prix,2015
14,Gearbox,Monaco Grand Prix,2015
13,Brakes,Monaco Grand Prix,2015
14,Engine,Canadian Grand Prix,2015
8,Gearbox,Austrian Grand Prix,2015
55,Power loss,Austrian Grand Prix,2015
28,Oil leak,Austrian Grand Prix,2015
55,Electrical,British Grand Prix,2015
3,Electrical,British Grand Prix,2015
12,Gearbox,British Grand Prix,2015
55,Electrical,Hungarian Grand Prix,2015
7,Power Unit,Hungarian Grand Prix,2015
11,Suspension,Hungarian Grand Prix,2015
27,Front wing,Hungarian Grand Prix,2015
77,Power Unit,Belgian Grand Prix,2015
5,Tyre,Belgian Grand Prix,2015
55,Power Unit,Belgian Grand Prix,2015
3,Power Unit,Belgian Grand Prix,2015
13,Engine,Belgian Grand Prix,2015
27,Power loss,Belgian Grand Prix,2015
8,Tyre,Singapore Grand Prix,2015
22,Gearbox,Singapore Grand Prix,2015
14,Gearbox,Singapore Grand Prix,2015
44,Throttle,Singapore Grand Prix,2015
19,Gearbox,Singapore Grand Prix,2015
3,Suspension,Russian Grand Prix,2015
55,Brakes,Russian Grand Prix,2015
6,Throttle,Russian Grand Prix,2015
7,Brake duct,United States Grand Prix,2015
12,Brakes,Mexican Grand Prix,2015
9,Engine,Australian Grand Prix,2016
7,Engine,Australian Grand Prix,2016
88,Mechanical,Australian Grand Prix,2016
22,Power Unit,Bahrain Grand Prix,2016
5,Engine,Bahrain Grand Prix,2016
30,Hydraulics,Bahrain Grand Prix,2016
33,Power Unit,Russian Grand Prix,2016
8,Engine,Spanish Grand Prix,2016
14,Engine,Spanish Grand Prix,2016
27,Engine,Spanish Grand Prix,2016
22,Power Unit,Canadian Grand Prix,2016
14,Gearbox,European Grand Prix,2016
94,Brakes,European Grand Prix,2016
55,Suspension,European Grand Prix,2016
26,Suspension,European Grand Prix,2016
11,Brakes,Austrian Grand Prix,2016
14,Battery,Austrian Grand Prix,2016
27,Brakes,Austrian Grand Prix,2016
19,Brakes,Austrian Grand Prix,2016
5,Tyre,Austrian Grand Prix,2016
20,Gearbox,British Grand Prix,2016
30,Gearbox,British Grand Prix,2016
9,Power Unit,British Grand Prix,2016
22,Oil leak,Hungarian Grand Prix,2016
12,Power Unit,German Grand Prix,2016
19,Suspension,German Grand Prix,2016
9,Gearbox,Belgian Grand Prix,2016
55,Puncture,Belgian Grand Prix,2016
26,Battery,Italian Grand Prix,2016
94,Oil leak,Italian Grand Prix,2016
22,Brakes,Singapore Grand Prix,2016
77,Overheating,Singapore Grand Prix,2016
12,Brakes,Malaysian Grand Prix,2016
44,Engine,Malaysian Grand Prix,2016
20,Power loss,Malaysian Grand Prix,2016
8,Brakes,Malaysian Grand Prix,2016
7,Wheel,United States Grand Prix,2016
33,Gearbox,United States Grand Prix,2016
21,Brakes,United States Grand Prix,2016
26,Gearbox,Abu Dhabi Grand Prix,2016
22,Suspension,Abu Dhabi Grand Prix,2016
77,Suspension,Abu Dhabi Grand Prix,2016
20,Suspension,Abu Dhabi Grand Prix,2016
14,Driveshaft,Chinese Grand Prix,2017
26,Hydraulics,Chinese Grand Prix,2017
2,Fuel pressure,Chinese Grand Prix,2017
14,Power Unit,Bahrain Grand Prix,2017
9,Gearbox,Bahrain Grand Prix,2017
33,Brakes,Bahrain Grand Prix,2017
20,Electrical,Bahrain Grand Prix,2017
2,Power Unit,Bahrain Grand Prix,2017
3,Brakes,Russian Grand Prix,2017
14,Power Unit,Russian Grand Prix,2017
77,Power Unit,Spanish Grand Prix,2017
18,Brakes,Monaco Grand Prix,2017
27,Gearbox,Monaco Grand Prix,2017
14,Power Unit,Canadian Grand Prix,2017
26,Power Unit,Canadian Grand Prix,2017
33,Electrical,Canadian Grand Prix,2017
7,Water pressure,Azerbaijan Grand Prix,2017
19,Suspension,Azerbaijan Grand Prix,2017
33,Oil pressure,Azerbaijan Grand Prix,2017
26,Battery,Azerbaijan Grand Prix,2017
30,Power Unit,Azerbaijan Grand Prix,2017
55,Engine,Austrian Grand Prix,2017
20,Hydraulics,Austrian Grand Prix,2017
14,Power Unit,British Grand Prix,2017
30,Hydraulics,British Grand Prix,2017
27,Brakes,Hungarian Grand Prix,2017
40,Oil leak,Hungarian Grand Prix,2017
11,Gearbox,Belgian Grand Prix,2017
14,Engine,Belgian Grand Prix,2017
33,Engine,Belgian Grand Prix,2017
14,Gearbox,Italian Grand Prix,2017
9,Gearbox,Italian Grand Prix,2017
2,Engine,Italian Grand Prix,2017
30,Engine,Italian Grand Prix,2017
20,Engine,Singapore Grand Prix,2017
27,Engine,Singapore Grand Prix,2017
55,Engine,Malaysian Grand Prix,2017
7,Battery,Malaysian Grand Prix,2017
18,Wheel,Japanese Grand Prix,2017
27,Front wing,Japanese Grand Prix,2017
5,Spark plugs,Japanese Grand Prix,2017
14,Engine,United States Grand Prix,2017
3,Engine,United States Grand Prix,2017
27,Engine,United States Grand Prix,2017
55,Engine,Mexican Grand Prix,2017
9,Engine,Mexican Grand Prix,2017
28,Engine,Mexican Grand Prix,2017
27,Electrical,Mexican Grand Prix,2017
3,Engine,Mexican Grand Prix,2017
28,Engine,Brazilian Grand Prix,2017
55,Wheel,Abu Dhabi Grand Prix,2017
