DriverNumber,LapNumber,Compound,TyreLife,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Time,RPM,Speed,Throttle,Brake,DRS,Year,Event,Distance
14,2,ULTRASOFT,2.0,19.2,54.2,784.7,False,32.8,271,1.8,00:00.092,10702,257,99,False,1,2018,Mexican Grand Prix,
14,2,ULTRASOFT,2.0,19.2,54.2,784.7,False,32.8,271,1.8,00:00.332,10906,263,100,False,1,2018,Mexican Grand Prix,
14,2,ULTRASOFT,2.0,19.2,54.2,784.7,False,32.8,271,1.8,00:00.572,11056,266,100,False,1,2018,Mexican Grand Prix,
14,2,ULTRASOFT,2.0,19.2,54.2,784.7,False,32.8,271,1.8,00:00.932,11293,274,99,False,1,2018,Mexican Grand Prix,
14,2,ULTRASOFT,2.0,19.2,54.2,784.7,False,32.8,271,1.8,00:01.172,11444,276,99,False,1,2018,Mexican Grand Prix,
14,2,ULTRASOFT,2.0,19.2,54.2,784.7,False,32.8,271,1.8,00:01.412,11578,280,99,False,1,2018,Mexican Grand Prix,
14,2,ULTRASOFT,2.0,19.2,54.2,784.7,False,32.8,271,1.8,00:01.652,10458,283,99,False,1,2018,Mexican Grand Prix,
14,2,ULTRASOFT,2.0,19.2,54.2,784.7,False,32.8,271,1.8,00:01.892,10386,285,99,False,1,2018,Mexican Grand Prix,
14,2,ULTRASOFT,2.0,19.2,54.2,784.7,False,32.8,271,1.8,00:02.132,10541,289,99,False,1,2018,Mexican Grand Prix,
14,2,ULTRASOFT,2.0,19.2,54.2,784.7,False,32.8,271,1.8,00:02.372,10636,291,99,False,1,2018,Mexican Grand Prix,
14,2,ULTRASOFT,2.0,19.2,54.2,784.7,False,32.8,271,1.8,00:02.612,10751,295,99,False,1,2018,Mexican Grand Prix,
14,2,ULTRASOFT,2.0,19.2,54.2,784.7,False,32.8,271,1.8,00:02.852,10872,296,99,False,1,2018,Mexican Grand Prix,
14,2,ULTRASOFT,2.0,19.2,54.2,784.7,False,32.8,271,1.8,00:03.092,10947,299,99,False,1,2018,Mexican Grand Prix,
14,2,ULTRASOFT,2.0,19.2,54.2,784.7,False,32.8,271,1.8,00:03.332,11021,302,99,False,1,2018,Mexican Grand Prix,
14,2,ULTRASOFT,2.0,19.2,54.2,784.7,False,32.8,271,1.8,00:03.572,11084,305,99,False,1,2018,Mexican Grand Prix,
14,2,ULTRASOFT,2.0,19.2,54.2,784.7,False,32.8,271,1.8,00:03.852,11191,308,99,False,1,2018,Mexican Grand Prix,
14,2,ULTRASOFT,2.0,19.2,54.2,784.7,False,32.8,271,1.8,00:04.092,11269,309,99,False,1,2018,Mexican Grand Prix,
14,2,ULTRASOFT,2.0,19.2,54.2,784.7,False,32.8,271,1.8,00:04.332,11314,312,99,False,1,2018,Mexican Grand Prix,
14,2,ULTRASOFT,2.0,19.2,54.2,784.7,False,32.8,271,1.8,00:04.572,11371,313,99,False,1,2018,Mexican Grand Prix,
14,2,ULTRASOFT,2.0,19.2,54.2,784.7,False,32.8,271,1.8,00:04.812,11416,315,99,False,1,2018,Mexican Grand Prix,
14,2,ULTRASOFT,2.0,19.2,54.2,784.7,False,32.8,271,1.8,00:05.051,11484,316,99,False,1,2018,Mexican Grand Prix,
14,2,ULTRASOFT,2.0,19.2,54.2,784.7,False,32.8,271,1.8,00:05.291,11524,317,99,False,1,2018,Mexican Grand Prix,
14,2,ULTRASOFT,2.0,19.2,54.2,784.7,False,32.8,271,1.8,00:05.531,11590,319,99,False,1,2018,Mexican Grand Prix,
14,2,ULTRASOFT,2.0,19.2,54.2,784.7,False,32.8,271,1.8,00:05.771,11619,320,99,False,1,2018,Mexican Grand Prix,
14,2,ULTRASOFT,2.0,19.2,54.2,784.7,False,32.8,271,1.8,00:06.011,11689,321,99,False,1,2018,Mexican Grand Prix,
14,2,ULTRASOFT,2.0,19.2,54.2,784.7,False,32.8,271,1.8,00:06.252,11738,323,99,False,1,2018,Mexican Grand Prix,
14,2,ULTRASOFT,2.0,19.2,54.2,784.7,False,32.8,271,1.8,00:06.492,11775,324,99,False,1,2018,Mexican Grand Prix,
14,2,ULTRASOFT,2.0,19.2,54.2,784.7,False,32.8,271,1.8,00:06.732,11801,325,99,False,1,2018,Mexican Grand Prix,
14,2,ULTRASOFT,2.0,19.2,54.2,784.7,False,32.8,271,1.8,00:07.052,11831,326,99,False,1,2018,Mexican Grand Prix,
14,2,ULTRASOFT,2.0,19.2,54.2,784.7,False,32.8,271,1.8,00:07.292,11851,327,99,False,1,2018,Mexican Grand Prix,
14,2,ULTRASOFT,2.0,19.2,54.2,784.7,False,32.8,271,1.8,00:07.532,11923,328,99,False,1,2018,Mexican Grand Prix,
14,2,ULTRASOFT,2.0,19.2,54.2,784.7,False,32.8,271,1.8,00:07.812,11925,328,99,False,1,2018,Mexican Grand Prix,
14,2,ULTRASOFT,2.0,19.2,54.2,784.7,False,32.8,271,1.8,00:08.052,11958,330,99,False,1,2018,Mexican Grand Prix,
14,2,ULTRASOFT,2.0,19.2,54.2,784.7,False,32.8,271,1.8,00:08.292,11982,330,99,False,1,2018,Mexican Grand Prix,
14,2,ULTRASOFT,2.0,19.2,54.2,784.7,False,32.8,271,1.8,00:08.532,11993,331,99,False,1,2018,Mexican Grand Prix,
14,2,ULTRASOFT,2.0,19.2,54.2,784.7,False,32.8,271,1.8,00:08.772,12032,331,99,False,1,2018,Mexican Grand Prix,
14,2,ULTRASOFT,2.0,19.2,54.2,784.7,False,32.8,271,1.8,00:09.012,12049,332,99,False,1,2018,Mexican Grand Prix,
14,2,ULTRASOFT,2.0,19.2,54.2,784.7,False,32.8,271,1.8,00:09.252,12049,332,99,False,1,2018,Mexican Grand Prix,
14,2,ULTRASOFT,2.0,19.2,54.2,784.7,False,32.8,271,1.8,00:09.492,12019,332,99,False,1,2018,Mexican Grand Prix,
14,2,ULTRASOFT,2.0,19.2,54.2,784.7,False,32.8,271,1.8,00:09.732,12037,332,99,False,1,2018,Mexican Grand Prix,
14,2,ULTRASOFT,2.0,19.2,54.2,784.7,False,32.8,271,1.8,00:09.972,12043,333,99,False,1,2018,Mexican Grand Prix,
14,2,ULTRASOFT,2.0,19.2,54.2,784.7,False,32.8,271,1.8,00:10.212,12063,333,99,False,1,2018,Mexican Grand Prix,
14,2,ULTRASOFT,2.0,19.2,54.2,784.7,False,32.8,271,1.8,00:10.452,12084,333,99,False,1,2018,Mexican Grand Prix,
14,2,ULTRASOFT,2.0,19.2,54.2,784.7,False,32.8,271,1.8,00:10.692,12122,334,99,False,1,2018,Mexican Grand Prix,
14,2,ULTRASOFT,2.0,19.2,54.2,784.7,False,32.8,271,1.8,00:10.932,12089,334,99,False,1,2018,Mexican Grand Prix,
14,2,ULTRASOFT,2.0,19.2,54.2,784.7,False,32.8,271,1.8,00:11.172,12098,333,100,False,1,2018,Mexican Grand Prix,
14,2,ULTRASOFT,2.0,19.2,54.2,784.7,False,32.8,271,1.8,00:11.412,12048,332,100,False,1,2018,Mexican Grand Prix,
14,2,ULTRASOFT,2.0,19.2,54.2,784.7,False,32.8,271,1.8,00:11.692,11792,325,0,True,1,2018,Mexican Grand Prix,
14,2,ULTRASOFT,2.0,19.2,54.2,784.7,False,32.8,271,1.8,00:11.932,11134,294,0,True,1,2018,Mexican Grand Prix,
