DriverNumber,LapNumber,Compound,TyreLife,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Time,RPM,Speed,Throttle,Brake,DRS,Year,Event,Distance
18,47,SOFT,46.0,24.3,49.3,966.3,False,37.8,75,0.9,00:00.229,11520,290,100,False,0,2018,French Grand Prix,
18,47,SOFT,46.0,24.3,49.3,966.3,False,37.8,75,0.9,00:00.469,11538,291,100,False,0,2018,French Grand Prix,
18,47,SOFT,46.0,24.3,49.3,966.3,False,37.8,75,0.9,00:00.709,11558,292,100,False,0,2018,French Grand Prix,
18,47,SOFT,46.0,24.3,49.3,966.3,False,37.8,75,0.9,00:00.949,11577,292,100,False,0,2018,French Grand Prix,
18,47,SOFT,46.0,24.3,49.3,966.3,False,37.8,75,0.9,00:01.189,11606,292,100,False,0,2018,French Grand Prix,
18,47,SOFT,46.0,24.3,49.3,966.3,False,37.8,75,0.9,00:01.469,11597,291,100,False,0,2018,French Grand Prix,
18,47,SOFT,46.0,24.3,49.3,966.3,False,37.8,75,0.9,00:01.709,11594,292,100,False,0,2018,French Grand Prix,
18,47,SOFT,46.0,24.3,49.3,966.3,False,37.8,75,0.9,00:01.949,11601,293,100,False,0,2018,French Grand Prix,
18,47,SOFT,46.0,24.3,49.3,966.3,False,37.8,75,0.9,00:02.189,11585,293,100,False,0,2018,French Grand Prix,
18,47,SOFT,46.0,24.3,49.3,966.3,False,37.8,75,0.9,00:02.430,11619,292,100,False,0,2018,French Grand Prix,
18,47,SOFT,46.0,24.3,49.3,966.3,False,37.8,75,0.9,00:02.670,11642,293,100,False,0,2018,French Grand Prix,
18,47,SOFT,46.0,24.3,49.3,966.3,False,37.8,75,0.9,00:02.910,11625,293,100,False,0,2018,French Grand Prix,
18,47,SOFT,46.0,24.3,49.3,966.3,False,37.8,75,0.9,00:03.150,11619,293,100,False,0,2018,French Grand Prix,
18,47,SOFT,46.0,24.3,49.3,966.3,False,37.8,75,0.9,00:03.390,11635,293,100,False,0,2018,French Grand Prix,
18,47,SOFT,46.0,24.3,49.3,966.3,False,37.8,75,0.9,00:03.630,11625,294,100,False,0,2018,French Grand Prix,
18,47,SOFT,46.0,24.3,49.3,966.3,False,37.8,75,0.9,00:03.870,11648,293,100,True,0,2018,French Grand Prix,
18,47,SOFT,46.0,24.3,49.3,966.3,False,37.8,75,0.9,00:04.110,11185,285,44,True,0,2018,French Grand Prix,
18,47,SOFT,46.0,24.3,49.3,966.3,False,37.8,75,0.9,00:04.350,10382,269,2,True,0,2018,French Grand Prix,
18,47,SOFT,46.0,24.3,49.3,966.3,False,37.8,75,0.9,00:04.589,9764,251,0,True,0,2018,French Grand Prix,
18,47,SOFT,46.0,24.3,49.3,966.3,False,37.8,75,0.9,00:04.829,10306,223,0,True,0,2018,French Grand Prix,
18,47,SOFT,46.0,24.3,49.3,966.3,False,37.8,75,0.9,00:05.069,10474,207,0,True,0,2018,French Grand Prix,
18,47,SOFT,46.0,24.3,49.3,966.3,False,37.8,75,0.9,00:05.309,11041,189,0,True,0,2018,French Grand Prix,
18,47,SOFT,46.0,24.3,49.3,966.3,False,37.8,75,0.9,00:05.549,10518,180,0,True,0,2018,French Grand Prix,
18,47,SOFT,46.0,24.3,49.3,966.3,False,37.8,75,0.9,00:05.789,10112,174,1,False,0,2018,French Grand Prix,
18,47,SOFT,46.0,24.3,49.3,966.3,False,37.8,75,0.9,00:06.029,9861,168,4,False,0,2018,French Grand Prix,
18,47,SOFT,46.0,24.3,49.3,966.3,False,37.8,75,0.9,00:06.269,9716,163,21,False,0,2018,French Grand Prix,
18,47,SOFT,46.0,24.3,49.3,966.3,False,37.8,75,0.9,00:06.509,9638,158,32,False,0,2018,French Grand Prix,
18,47,SOFT,46.0,24.3,49.3,966.3,False,37.8,75,0.9,00:06.749,9670,159,48,False,0,2018,French Grand Prix,
