DriverNumber,LapNumber,Compound,TyreLife,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Time,RPM,Speed,Throttle,Brake,DRS,Year,Event,Distance
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:00.222,10413,269,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:00.462,10537,272,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:00.702,10628,273,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:00.982,10755,276,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:01.222,10868,278,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:01.423,10847,278,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:01.663,10775,278,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:01.902,10816,279,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:02.142,10802,279,19,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:02.382,10443,271,0,True,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:02.622,10761,256,0,True,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:02.823,10551,244,0,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:03.063,10447,236,14,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:03.303,10079,235,41,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:03.542,9958,228,72,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:03.782,10042,225,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:03.983,10152,231,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:04.223,10296,236,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:04.503,10348,240,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:04.743,10747,244,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:04.983,10787,247,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:05.263,11010,251,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:05.503,11111,253,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:05.742,11248,257,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:05.981,11379,261,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:06.182,10445,261,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:06.422,10404,265,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:06.662,10490,267,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:07.022,10577,272,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:07.262,10723,274,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:07.502,10756,276,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:07.742,10802,279,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:07.943,10939,280,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:08.223,10971,282,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:08.463,11107,284,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:08.702,11027,284,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:08.942,11021,284,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:09.222,11022,279,0,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:09.462,10607,279,0,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:09.663,10111,268,0,True,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:09.903,9397,259,0,True,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:10.143,8610,213,0,True,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:10.383,9372,203,0,True,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:10.622,9883,176,0,True,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:10.862,9142,153,0,True,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:11.063,10049,141,0,True,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:11.303,9312,135,0,True,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:11.543,8609,119,0,True,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:11.783,8230,116,0,True,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:12.023,7823,109,0,True,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:12.263,7434,105,0,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:12.502,7217,101,0,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:12.702,7126,97,0,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:12.942,7123,95,15,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:13.182,7270,95,26,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:13.462,7505,98,32,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:13.702,7686,100,44,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:13.903,7985,103,51,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:14.142,8416,109,63,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:14.382,8935,113,73,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:14.622,9485,124,87,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:14.862,10560,132,91,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:15.063,11292,141,94,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:15.303,11964,147,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:15.543,11124,166,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:15.782,11168,179,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:16.022,11715,188,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:16.262,10735,193,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:16.502,10566,199,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:16.703,10780,205,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:16.943,11107,213,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:17.183,11472,215,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:17.422,11624,224,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:17.662,10646,230,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:17.863,10154,234,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:18.103,10529,236,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:18.343,10700,242,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:18.583,10854,246,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:18.863,11073,254,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:19.103,11222,257,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:19.343,11399,261,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:19.583,10338,263,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:19.822,10454,265,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:20.062,10465,269,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:20.302,10597,272,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:20.542,10708,275,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:20.782,10808,278,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:20.983,10880,280,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:21.222,10926,282,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:21.462,11016,284,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:21.702,11103,285,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:21.942,11195,286,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:22.143,11306,289,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:22.383,11305,291,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:22.623,11361,292,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:22.862,11450,294,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:23.102,10210,295,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:23.342,10315,296,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:23.543,10376,297,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:23.783,10380,298,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:24.023,10409,299,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:24.263,10411,299,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:24.502,10474,300,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:24.742,10489,301,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:24.943,10481,302,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:25.183,10525,302,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:25.423,10534,302,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:25.663,10513,302,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:25.903,10489,302,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:26.144,10537,303,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:26.383,10571,303,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:26.623,10545,303,100,False,0,2018,German Grand Prix,
3,26,MEDIUM,25.0,27.5,48.3,1001.4,False,44.7,69,2.4,00:26.862,10568,304,100,False,0,2018,German Grand Prix,
