DriverNumber,LapNumber,Compound,TyreLife,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Time,RPM,Speed,Throttle,Brake,DRS,Year,Event,Distance
3,22,SUPERSOFT,21.0,22.2,63.6,995.1,False,29.8,196,0.9,00:00.063,11083,317,100,False,8,2018,Italian Grand Prix,
3,22,SUPERSOFT,21.0,22.2,63.6,995.1,False,29.8,196,0.9,00:00.303,11132,320,100,False,8,2018,Italian Grand Prix,
3,22,SUPERSOFT,21.0,22.2,63.6,995.1,False,29.8,196,0.9,00:00.543,11216,322,100,False,8,2018,Italian Grand Prix,
3,22,SUPERSOFT,21.0,22.2,63.6,995.1,False,29.8,196,0.9,00:00.782,11269,324,100,False,8,2018,Italian Grand Prix,
3,22,SUPERSOFT,21.0,22.2,63.6,995.1,False,29.8,196,0.9,00:00.983,11331,325,100,False,8,2018,Italian Grand Prix,
3,22,SUPERSOFT,21.0,22.2,63.6,995.1,False,29.8,196,0.9,00:01.223,11393,327,100,False,8,2018,Italian Grand Prix,
3,22,SUPERSOFT,21.0,22.2,63.6,995.1,False,29.8,196,0.9,00:01.463,11435,328,100,False,14,2018,Italian Grand Prix,
3,22,SUPERSOFT,21.0,22.2,63.6,995.1,False,29.8,196,0.9,00:01.703,11521,330,100,False,12,2018,Italian Grand Prix,
3,22,SUPERSOFT,21.0,22.2,63.6,995.1,False,29.8,196,0.9,00:01.943,11563,332,100,False,12,2018,Italian Grand Prix,
3,22,SUPERSOFT,21.0,22.2,63.6,995.1,False,29.8,196,0.9,00:02.183,11610,332,100,False,12,2018,Italian Grand Prix,
3,22,SUPERSOFT,21.0,22.2,63.6,995.1,False,29.8,196,0.9,00:02.423,11629,335,100,False,12,2018,Italian Grand Prix,
3,22,SUPERSOFT,21.0,22.2,63.6,995.1,False,29.8,196,0.9,00:02.663,11669,336,100,False,12,2018,Italian Grand Prix,
3,22,SUPERSOFT,21.0,22.2,63.6,995.1,False,29.8,196,0.9,00:02.903,11720,337,100,False,12,2018,Italian Grand Prix,
3,22,SUPERSOFT,21.0,22.2,63.6,995.1,False,29.8,196,0.9,00:03.143,11781,338,100,False,12,2018,Italian Grand Prix,
3,22,SUPERSOFT,21.0,22.2,63.6,995.1,False,29.8,196,0.9,00:03.383,11832,339,100,False,12,2018,Italian Grand Prix,
3,22,SUPERSOFT,21.0,22.2,63.6,995.1,False,29.8,196,0.9,00:03.584,11789,339,100,False,12,2018,Italian Grand Prix,
3,22,SUPERSOFT,21.0,22.2,63.6,995.1,False,29.8,196,0.9,00:03.824,11875,341,100,False,12,2018,Italian Grand Prix,
3,22,SUPERSOFT,21.0,22.2,63.6,995.1,False,29.8,196,0.9,00:04.063,11851,341,100,False,12,2018,Italian Grand Prix,
3,22,SUPERSOFT,21.0,22.2,63.6,995.1,False,29.8,196,0.9,00:04.303,11923,343,100,False,12,2018,Italian Grand Prix,
3,22,SUPERSOFT,21.0,22.2,63.6,995.1,False,29.8,196,0.9,00:04.543,11959,343,100,False,12,2018,Italian Grand Prix,
3,22,SUPERSOFT,21.0,22.2,63.6,995.1,False,29.8,196,0.9,00:04.823,12020,344,100,False,12,2018,Italian Grand Prix,
3,22,SUPERSOFT,21.0,22.2,63.6,995.1,False,29.8,196,0.9,00:05.063,12020,345,100,False,12,2018,Italian Grand Prix,
3,22,SUPERSOFT,21.0,22.2,63.6,995.1,False,29.8,196,0.9,00:05.264,12044,346,100,False,12,2018,Italian Grand Prix,
3,22,SUPERSOFT,21.0,22.2,63.6,995.1,False,29.8,196,0.9,00:05.504,12071,347,100,False,12,2018,Italian Grand Prix,
3,22,SUPERSOFT,21.0,22.2,63.6,995.1,False,29.8,196,0.9,00:05.744,12109,347,100,False,12,2018,Italian Grand Prix,
3,22,SUPERSOFT,21.0,22.2,63.6,995.1,False,29.8,196,0.9,00:05.984,12117,347,100,False,12,2018,Italian Grand Prix,
3,22,SUPERSOFT,21.0,22.2,63.6,995.1,False,29.8,196,0.9,00:06.223,12117,349,100,False,12,2018,Italian Grand Prix,
3,22,SUPERSOFT,21.0,22.2,63.6,995.1,False,29.8,196,0.9,00:06.423,12138,349,100,False,12,2018,Italian Grand Prix,
3,22,SUPERSOFT,21.0,22.2,63.6,995.1,False,29.8,196,0.9,00:06.663,12176,350,100,False,12,2018,Italian Grand Prix,
3,22,SUPERSOFT,21.0,22.2,63.6,995.1,False,29.8,196,0.9,00:06.903,12176,350,100,False,12,2018,Italian Grand Prix,
3,22,SUPERSOFT,21.0,22.2,63.6,995.1,False,29.8,196,0.9,00:07.143,12208,351,100,False,12,2018,Italian Grand Prix,
3,22,SUPERSOFT,21.0,22.2,63.6,995.1,False,29.8,196,0.9,00:07.423,12230,352,100,False,12,2018,Italian Grand Prix,
3,22,SUPERSOFT,21.0,22.2,63.6,995.1,False,29.8,196,0.9,00:07.663,11723,350,20,False,12,2018,Italian Grand Prix,
