DriverNumber,LapNumber,Compound,TyreLife,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Time,RPM,Speed,Throttle,Brake,DRS,Year,Event,Distance
3,7,SUPERSOFT,10.0,21.8,38.7,1006.3,False,30.5,89,2.7,00:00.239,11387,223,100,False,0,2018,United States Grand Prix,
3,7,SUPERSOFT,10.0,21.8,38.7,1006.3,False,30.5,89,2.7,00:00.479,11701,228,100,False,0,2018,United States Grand Prix,
3,7,SUPERSOFT,10.0,21.8,38.7,1006.3,False,30.5,89,2.7,00:00.719,11403,233,100,False,0,2018,United States Grand Prix,
3,7,SUPERSOFT,10.0,21.8,38.7,1006.3,False,30.5,89,2.7,00:00.999,10519,237,100,False,0,2018,United States Grand Prix,
3,7,SUPERSOFT,10.0,21.8,38.7,1006.3,False,30.5,89,2.7,00:01.239,10649,244,100,False,0,2018,United States Grand Prix,
3,7,SUPERSOFT,10.0,21.8,38.7,1006.3,False,30.5,89,2.7,00:01.479,10807,247,100,False,0,2018,United States Grand Prix,
3,7,SUPERSOFT,10.0,21.8,38.7,1006.3,False,30.5,89,2.7,00:01.759,11018,252,100,False,0,2018,United States Grand Prix,
3,7,SUPERSOFT,10.0,21.8,38.7,1006.3,False,30.5,89,2.7,00:01.999,11207,255,100,False,0,2018,United States Grand Prix,
3,7,SUPERSOFT,10.0,21.8,38.7,1006.3,False,30.5,89,2.7,00:02.279,11345,259,100,False,0,2018,United States Grand Prix,
3,7,SUPERSOFT,10.0,21.8,38.7,1006.3,False,30.5,89,2.7,00:02.519,11480,262,100,False,0,2018,United States Grand Prix,
3,7,SUPERSOFT,10.0,21.8,38.7,1006.3,False,30.5,89,2.7,00:02.759,11569,265,100,False,0,2018,United States Grand Prix,
3,7,SUPERSOFT,10.0,21.8,38.7,1006.3,False,30.5,89,2.7,00:02.999,11421,268,100,False,0,2018,United States Grand Prix,
3,7,SUPERSOFT,10.0,21.8,38.7,1006.3,False,30.5,89,2.7,00:03.239,10518,271,100,False,0,2018,United States Grand Prix,
3,7,SUPERSOFT,10.0,21.8,38.7,1006.3,False,30.5,89,2.7,00:03.479,10716,273,100,False,0,2018,United States Grand Prix,
3,7,SUPERSOFT,10.0,21.8,38.7,1006.3,False,30.5,89,2.7,00:03.719,10768,274,100,False,0,2018,United States Grand Prix,
3,7,SUPERSOFT,10.0,21.8,38.7,1006.3,False,30.5,89,2.7,00:03.959,10846,278,100,False,0,2018,United States Grand Prix,
3,7,SUPERSOFT,10.0,21.8,38.7,1006.3,False,30.5,89,2.7,00:04.199,10804,278,100,False,0,2018,United States Grand Prix,
3,7,SUPERSOFT,10.0,21.8,38.7,1006.3,False,30.5,89,2.7,00:04.439,10842,279,100,False,0,2018,United States Grand Prix,
3,7,SUPERSOFT,10.0,21.8,38.7,1006.3,False,30.5,89,2.7,00:04.679,10871,280,100,False,0,2018,United States Grand Prix,
3,7,SUPERSOFT,10.0,21.8,38.7,1006.3,False,30.5,89,2.7,00:04.959,10891,280,100,False,0,2018,United States Grand Prix,
3,7,SUPERSOFT,10.0,21.8,38.7,1006.3,False,30.5,89,2.7,00:05.199,10861,280,100,False,0,2018,United States Grand Prix,
3,7,SUPERSOFT,10.0,21.8,38.7,1006.3,False,30.5,89,2.7,00:05.438,10905,280,100,False,0,2018,United States Grand Prix,
3,7,SUPERSOFT,10.0,21.8,38.7,1006.3,False,30.5,89,2.7,00:05.679,10878,280,100,False,0,2018,United States Grand Prix,
3,7,SUPERSOFT,10.0,21.8,38.7,1006.3,False,30.5,89,2.7,00:05.919,10867,279,100,False,0,2018,United States Grand Prix,
3,7,SUPERSOFT,10.0,21.8,38.7,1006.3,False,30.5,89,2.7,00:06.159,10447,277,0,False,0,2018,United States Grand Prix,
3,7,SUPERSOFT,10.0,21.8,38.7,1006.3,False,30.5,89,2.7,00:06.439,10262,268,0,False,0,2018,United States Grand Prix,
3,7,SUPERSOFT,10.0,21.8,38.7,1006.3,False,30.5,89,2.7,00:06.679,9884,262,0,False,0,2018,United States Grand Prix,
3,7,SUPERSOFT,10.0,21.8,38.7,1006.3,False,30.5,89,2.7,00:06.919,9668,255,0,False,0,2018,United States Grand Prix,
3,7,SUPERSOFT,10.0,21.8,38.7,1006.3,False,30.5,89,2.7,00:07.159,9429,247,0,False,0,2018,United States Grand Prix,
3,7,SUPERSOFT,10.0,21.8,38.7,1006.3,False,30.5,89,2.7,00:07.399,8832,242,0,True,0,2018,United States Grand Prix,
3,7,SUPERSOFT,10.0,21.8,38.7,1006.3,False,30.5,89,2.7,00:07.679,8194,212,0,True,0,2018,United States Grand Prix,
3,7,SUPERSOFT,10.0,21.8,38.7,1006.3,False,30.5,89,2.7,00:07.919,8647,190,0,True,0,2018,United States Grand Prix,
