DriverNumber,LapNumber,Compound,TyreLife,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Time,RPM,Speed,Throttle,Brake,DRS,Year,Event,Distance
9,23,SUPERSOFT,23.0,33.1,38.2,1013.2,False,33.6,274,3.4,00:00.005,10773,229,100,False,0,2018,Abu Dhabi Grand Prix,
9,23,SUPERSOFT,23.0,33.1,38.2,1013.2,False,33.6,274,3.4,00:00.284,11049,236,100,False,0,2018,Abu Dhabi Grand Prix,
9,23,SUPERSOFT,23.0,33.1,38.2,1013.2,False,33.6,274,3.4,00:00.564,11350,241,100,False,0,2018,Abu Dhabi Grand Prix,
9,23,SUPERSOFT,23.0,33.1,38.2,1013.2,False,33.6,274,3.4,00:00.804,11524,248,100,False,0,2018,Abu Dhabi Grand Prix,
9,23,SUPERSOFT,23.0,33.1,38.2,1013.2,False,33.6,274,3.4,00:01.044,11762,251,100,False,0,2018,Abu Dhabi Grand Prix,
9,23,SUPERSOFT,23.0,33.1,38.2,1013.2,False,33.6,274,3.4,00:01.284,11950,257,100,False,0,2018,Abu Dhabi Grand Prix,
9,23,SUPERSOFT,23.0,33.1,38.2,1013.2,False,33.6,274,3.4,00:01.524,11302,260,100,False,0,2018,Abu Dhabi Grand Prix,
9,23,SUPERSOFT,23.0,33.1,38.2,1013.2,False,33.6,274,3.4,00:01.764,10812,263,100,False,0,2018,Abu Dhabi Grand Prix,
9,23,SUPERSOFT,23.0,33.1,38.2,1013.2,False,33.6,274,3.4,00:02.004,10912,268,100,False,0,2018,Abu Dhabi Grand Prix,
9,23,SUPERSOFT,23.0,33.1,38.2,1013.2,False,33.6,274,3.4,00:02.244,11059,270,100,False,0,2018,Abu Dhabi Grand Prix,
9,23,SUPERSOFT,23.0,33.1,38.2,1013.2,False,33.6,274,3.4,00:02.484,11127,273,100,False,0,2018,Abu Dhabi Grand Prix,
9,23,SUPERSOFT,23.0,33.1,38.2,1013.2,False,33.6,274,3.4,00:02.724,11179,276,100,False,0,2018,Abu Dhabi Grand Prix,
9,23,SUPERSOFT,23.0,33.1,38.2,1013.2,False,33.6,274,3.4,00:02.964,11269,278,100,False,0,2018,Abu Dhabi Grand Prix,
9,23,SUPERSOFT,23.0,33.1,38.2,1013.2,False,33.6,274,3.4,00:03.204,11303,280,100,False,0,2018,Abu Dhabi Grand Prix,
9,23,SUPERSOFT,23.0,33.1,38.2,1013.2,False,33.6,274,3.4,00:03.444,11384,280,100,False,0,2018,Abu Dhabi Grand Prix,
