DriverNumber,LapNumber,Compound,TyreLife,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Distance,X,Y,Z,Year,Event
27,52,MEDIUM,20.0,26.1,53.9,1003.3,False,27.6,30,2.3,00:00.000,11160,290,7,100,False,0,0.187,-383.9522506377774,972.8986845601582,-159.1572525520505,2019,Bahrain Grand Prix
27,52,MEDIUM,20.0,26.1,53.9,1003.3,False,27.6,30,2.3,00:00.013,11175,291,7,100,False,0,1.24,-383.4648496328104,983.8496019930175,-159.17198482019492,2019,Bahrain Grand Prix
27,52,MEDIUM,20.0,26.1,53.9,1003.3,False,27.6,30,2.3,00:00.220,11196,291,7,100,False,0,18.027,-376.0,1149.0,-159.0,2019,Bahrain Grand Prix
27,52,MEDIUM,20.0,26.1,53.9,1003.3,False,27.6,30,2.3,00:00.253,11218,292,7,100,False,0,20.707,-374.8614400245917,1173.7239855476746,-158.9018267036857,2019,Bahrain Grand Prix
27,52,MEDIUM,20.0,26.1,53.9,1003.3,False,27.6,30,2.3,00:00.454,11297,293,7,100,False,0,37.066,-368.1789594872814,1318.3828224733616,-158.0743640793136,2019,Bahrain Grand Prix
27,52,MEDIUM,20.0,26.1,53.9,1003.3,False,27.6,30,2.3,00:00.520,11318,294,7,100,False,0,42.463,-366.0,1369.0,-158.0,2019,Bahrain Grand Prix
27,52,MEDIUM,20.0,26.1,53.9,1003.3,False,27.6,30,2.3,00:00.694,11339,295,7,100,False,0,56.732,-360.211658663577,1514.9065345108597,-158.54287306790096,2019,Bahrain Grand Prix
27,52,MEDIUM,20.0,26.1,53.9,1003.3,False,27.6,30,2.3,00:00.820,11368,295,7,100,False,0,67.05,-356.0,1619.0,-159.0,2019,Bahrain Grand Prix
27,52,MEDIUM,20.0,26.1,53.9,1003.3,False,27.6,30,2.3,00:00.933,11398,295,7,100,False,0,76.317,-352.2193636657128,1704.113010229804,-159.1201831025755,2019,Bahrain Grand Prix
27,52,MEDIUM,20.0,26.1,53.9,1003.3,False,27.6,30,2.3,00:01.120,11424,296,7,100,False,0,91.731,-346.0,1839.0,-159.0,2019,Bahrain Grand Prix
27,52,MEDIUM,20.0,26.1,53.9,1003.3,False,27.6,30,2.3,00:01.213,11451,297,7,100,False,0,99.417,-342.9535821931125,1910.7087717983857,-158.9796417992064,2019,Bahrain Grand Prix
27,52,MEDIUM,20.0,26.1,53.9,1003.3,False,27.6,30,2.3,00:01.420,11459,297,7,100,False,0,116.548,-336.0,2078.0,-159.0,2019,Bahrain Grand Prix
27,52,MEDIUM,20.0,26.1,53.9,1003.3,False,27.6,30,2.3,00:01.453,11467,298,7,100,False,0,119.284,-334.8115407067149,2104.812324466961,-159.00180448197477,2019,Bahrain Grand Prix
27,52,MEDIUM,20.0,26.1,53.9,1003.3,False,27.6,30,2.3,00:01.693,10514,299,7,100,False,0,139.217,-325.90911468610216,2297.360201613305,-159.00012440386132,2019,Bahrain Grand Prix
27,52,MEDIUM,20.0,26.1,53.9,1003.3,False,27.6,30,2.3,00:01.720,10527,299,7,100,False,0,141.463,-325.0,2318.0,-159.0,2019,Bahrain Grand Prix
27,52,MEDIUM,20.0,26.1,53.9,1003.3,False,27.6,30,2.3,00:01.932,10540,300,8,100,False,0,159.134,-318.7031975983399,2472.3016019647043,-159.0026264485467,2019,Bahrain Grand Prix
27,52,MEDIUM,20.0,26.1,53.9,1003.3,False,27.6,30,2.3,00:02.020,10552,301,8,100,False,0,166.502,-316.0,2538.0,-159.0,2019,Bahrain Grand Prix
27,52,MEDIUM,20.0,26.1,53.9,1003.3,False,27.6,30,2.3,00:02.133,10565,302,8,100,False,0,175.996,-312.1702092076636,2626.818732786763,-158.99044458092948,2019,Bahrain Grand Prix
27,52,MEDIUM,20.0,26.1,53.9,1003.3,False,27.6,30,2.3,00:02.320,10586,303,8,100,False,0,191.779,-305.0,2788.0,-159.0,2019,Bahrain Grand Prix
27,52,MEDIUM,20.0,26.1,53.9,1003.3,False,27.6,30,2.3,00:02.373,10607,304,8,100,False,0,196.262,-302.7962137628851,2837.927590009274,-159.0215198734048,2019,Bahrain Grand Prix
27,52,MEDIUM,20.0,26.1,53.9,1003.3,False,27.6,30,2.3,00:02.613,10651,305,8,100,False,0,216.596,-292.2990860387528,3079.917124882529,-159.0128246049078,2019,Bahrain Grand Prix
27,52,MEDIUM,20.0,26.1,53.9,1003.3,False,27.6,30,2.3,00:02.620,10667,305,8,100,False,0,217.19,-292.0,3087.0,-159.0,2019,Bahrain Grand Prix
27,52,MEDIUM,20.0,26.1,53.9,1003.3,False,27.6,30,2.3,00:02.852,10684,306,8,100,False,0,236.911,-282.53859264406503,3316.3903573718817,-158.19095288620613,2019,Bahrain Grand Prix
27,52,MEDIUM,20.0,26.1,53.9,1003.3,False,27.6,30,2.3,00:02.920,10692,306,8,100,False,0,242.689,-280.0,3377.0,-158.0,2019,Bahrain Grand Prix
27,52,MEDIUM,20.0,26.1,53.9,1003.3,False,27.6,30,2.3,00:03.092,10701,306,8,100,False,0,257.311,-274.12813829009116,3511.700808441956,-157.83126501266554,2019,Bahrain Grand Prix
