DriverNumber,LapNumber,Compound,TyreLife,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Distance,X,Y,Z,Year,Event
4,42,MEDIUM,23.0,17.6,52.9,968.3,False,28.8,127,2.6,00:00.000,10894,233,6,99,False,0,0.389,-193.39993028610476,883.0744073730268,4135.471075007962,2019,Belgian Grand Prix
4,42,MEDIUM,23.0,17.6,52.9,968.3,False,28.8,127,2.6,00:00.045,10982,235,6,99,False,0,3.371,-219.58528690293167,924.4489643492815,4135.879183322867,2019,Belgian Grand Prix
4,42,MEDIUM,23.0,17.6,52.9,968.3,False,28.8,127,2.6,00:00.244,11149,239,6,99,False,0,16.78,-337.0,1111.0,4138.0,2019,Belgian Grand Prix
4,42,MEDIUM,23.0,17.6,52.9,968.3,False,28.8,127,2.6,00:00.285,11316,243,6,99,False,0,19.571,-361.5182239336061,1150.160525598724,4138.501000610932,2019,Belgian Grand Prix
4,42,MEDIUM,23.0,17.6,52.9,968.3,False,28.8,127,2.6,00:00.525,11534,247,6,99,False,0,36.038,-496.615158668253,1366.6171254665203,4141.741764303956,2019,Belgian Grand Prix
4,42,MEDIUM,23.0,17.6,52.9,968.3,False,28.8,127,2.6,00:00.544,11216,249,6,99,False,0,37.351,-505.0,1380.0,4142.0,2019,Belgian Grand Prix
4,42,MEDIUM,23.0,17.6,52.9,968.3,False,28.8,127,2.6,00:00.765,10898,251,6,99,False,0,52.771,-575.7878828028844,1492.032511999746,4144.95109059526,2019,Belgian Grand Prix
4,42,MEDIUM,23.0,17.6,52.9,968.3,False,28.8,127,2.6,00:00.844,10651,254,6,99,False,0,58.365,-601.0,1532.0,4146.0,2019,Belgian Grand Prix
4,42,MEDIUM,23.0,17.6,52.9,968.3,False,28.8,127,2.6,00:01.045,10404,257,7,99,False,0,72.76,-680.9644921186602,1659.7452278527114,4148.678898747945,2019,Belgian Grand Prix
4,42,MEDIUM,23.0,17.6,52.9,968.3,False,28.8,127,2.6,00:01.144,10507,258,7,99,False,0,79.892,-723.0,1727.0,4150.0,2019,Belgian Grand Prix
4,42,MEDIUM,23.0,17.6,52.9,968.3,False,28.8,127,2.6,00:01.285,10610,260,7,99,False,0,90.093,-781.7173757424035,1820.834436727401,4151.8807379362925,2019,Belgian Grand Prix
