DriverNumber,LapNumber,Compound,TyreLife,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Distance,X,Y,Z,Year,Event
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:00.000,11724,261,6,100,False,0,0.043,-458.0,1182.0,22269.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:00.008,11444,262,6,100,False,0,0.63,-451.0,1181.0,22270.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:00.200,10884,265,6,100,False,0,14.778,-281.0,1156.0,22270.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:00.308,10885,266,6,100,False,0,22.785,-196.0,1144.0,22271.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:00.440,10887,268,7,100,False,0,32.644,-97.0,1129.0,22271.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:00.608,10993,270,7,100,False,0,45.352,21.0,1113.0,22271.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:00.680,11099,273,7,100,False,0,50.844,70.0,1105.0,22270.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:00.909,11144,275,7,100,False,0,68.461,229.0,1083.0,22271.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:00.920,11190,277,7,100,False,0,69.311,237.0,1081.0,22270.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:01.160,11346,279,7,100,False,0,87.911,420.0,1055.0,22270.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:01.208,11419,279,7,100,False,0,91.633,456.0,1050.0,22271.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:01.400,11493,280,7,100,False,0,106.578,586.0,1031.0,22272.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:01.508,11559,283,7,100,False,0,115.104,664.0,1020.0,22273.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:01.680,11625,286,7,100,False,0,128.822,804.0,1000.0,22271.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:01.809,11660,287,7,100,False,0,139.158,912.0,985.0,22271.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:01.960,11696,289,7,100,False,0,151.3,1029.0,968.0,22270.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:02.109,11507,290,7,100,False,0,163.323,1139.0,952.0,22271.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:02.200,11318,291,7,100,False,0,170.7,1204.0,942.0,22271.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:02.409,10927,292,7,100,False,0,187.761,1357.0,920.0,22271.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:02.440,10537,294,8,100,False,0,190.3,1380.0,916.0,22270.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:02.680,10647,296,8,100,False,0,210.033,1571.0,889.0,22270.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:02.709,10675,297,8,100,False,0,212.432,1595.0,886.0,22271.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:02.920,10703,299,8,100,False,0,229.967,1768.0,861.0,22271.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:03.009,10731,299,8,100,False,0,237.378,1842.0,851.0,22271.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:03.160,10759,300,8,100,False,0,249.967,1966.0,833.0,22270.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:03.309,10794,300,8,100,False,0,262.413,2090.0,816.0,22271.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:03.400,10829,301,8,100,False,0,270.033,2164.0,805.0,22271.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:03.609,10867,302,8,100,False,0,287.613,2337.0,780.0,22271.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:03.640,10906,303,8,100,False,0,290.233,2362.0,776.0,22271.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:03.880,10956,306,8,100,False,0,310.633,2561.0,748.0,22271.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:03.909,10986,307,8,100,False,0,313.11,2585.0,745.0,22271.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:04.120,11016,308,8,100,False,0,331.167,2755.0,720.0,22270.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:04.209,11057,308,8,100,False,0,338.777,2832.0,709.0,22271.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:04.400,11099,308,8,100,False,0,355.122,3009.0,684.0,22271.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:04.509,11108,309,8,100,False,0,364.493,3109.0,670.0,22271.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:04.640,11117,310,8,100,False,0,375.789,3219.0,654.0,22270.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:04.809,11136,310,8,100,False,0,390.389,3357.0,634.0,22271.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:04.880,11156,311,8,100,False,0,396.522,3416.0,625.0,22271.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:05.109,11191,311,8,100,False,0,416.302,3614.0,598.0,22271.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:05.120,11227,311,8,100,False,0,417.256,3623.0,596.0,22270.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:05.360,11268,313,8,100,False,0,438.122,3820.0,570.0,22270.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:05.409,11270,313,8,100,False,0,442.38,3862.0,565.0,22270.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:05.561,11272,313,8,100,False,0,455.598,3996.0,547.0,22269.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:05.709,11298,314,8,100,False,0,468.573,4130.0,530.0,22270.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:05.801,11325,316,8,100,False,0,476.665,4212.0,520.0,22270.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:06.009,11325,316,8,100,False,0,494.978,4398.0,500.0,22270.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:06.041,11325,317,8,100,False,0,497.798,4426.0,496.0,22269.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:06.281,11391,318,8,100,False,0,518.998,4641.0,474.0,22269.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:06.309,11426,319,8,100,False,0,521.481,4667.0,472.0,22270.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:06.521,11462,320,8,100,False,0,540.331,4858.0,452.0,22270.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:06.608,11470,320,8,100,False,0,548.063,4935.0,445.0,22270.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:06.761,11478,320,8,100,False,0,561.665,5062.0,433.0,22269.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:06.908,11485,320,8,100,False,0,574.77,5184.0,423.0,22270.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:07.000,11492,321,8,100,False,0,582.976,5263.0,416.0,22270.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:07.208,11502,321,8,100,False,0,601.517,5453.0,399.0,22270.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:07.240,11513,321,8,100,False,0,604.376,5482.0,396.0,22269.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:07.480,11540,322,8,100,False,0,625.842,5706.0,374.0,22269.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:07.508,11531,321,8,100,False,0,628.337,5732.0,372.0,22269.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:07.720,11522,320,8,100,False,0,647.176,5919.0,352.0,22268.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:07.808,11534,321,8,100,False,0,655.034,6000.0,344.0,22269.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:07.960,11546,322,8,100,False,0,668.642,6146.0,327.0,22269.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:08.108,11560,322,8,100,False,0,681.869,6289.0,311.0,22269.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:08.200,11575,322,8,100,False,0,690.109,6371.0,301.0,22268.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:08.309,11575,323,8,100,False,0,699.909,6467.0,290.0,22269.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:08.440,11576,324,8,100,False,0,711.709,6582.0,275.0,22269.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:08.609,11597,324,8,100,False,0,726.913,6735.0,256.0,22269.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:08.680,11619,324,8,100,False,0,733.309,6801.0,247.0,22268.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:08.909,11621,324,8,100,False,0,753.984,7023.0,218.0,22269.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:08.920,11623,325,8,100,False,0,754.976,7033.0,216.0,22269.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:09.160,11613,324,8,100,False,0,776.576,7256.0,186.0,22269.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:09.209,11629,324,8,100,False,0,780.985,7300.0,180.0,22269.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:09.400,11646,324,8,100,False,0,798.176,7459.0,157.0,22268.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:09.509,11650,324,8,100,False,0,807.982,7557.0,143.0,22268.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:09.640,11654,324,8,100,False,0,819.776,7688.0,124.0,22267.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:09.809,11674,324,8,100,False,0,835.024,7864.0,99.0,22268.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:09.880,11694,325,8,100,False,0,841.442,7932.0,89.0,22268.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:10.109,11675,325,8,100,False,0,862.179,8141.0,59.0,22268.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:10.120,11656,326,8,100,False,0,863.176,8151.0,57.0,22267.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:10.360,11677,326,8,100,False,0,884.909,8381.0,24.0,22267.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:10.409,11692,326,8,100,False,0,889.356,8428.0,18.0,22268.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:10.600,11708,327,8,100,False,0,906.709,8602.0,-6.0,22268.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:10.709,11702,326,8,100,False,0,916.595,8706.0,-21.0,22268.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:10.840,11697,326,8,100,False,0,928.442,8839.0,-40.0,22267.0,2019,Mexican Grand Prix
7,56,MEDIUM,4.0,23.5,46.5,780.0,False,39.8,264,1.3,00:11.009,11656,325,8,100,False,0,943.655,9003.0,-64.0,22268.0,2019,Mexican Grand Prix
