DriverNumber,LapNumber,Compound,TyreLife,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Distance,X,Y,Z,Year,Event
6,51,MEDIUM,24.0,20.7,57.8,1016.3,False,23.0,4,1.8,00:00.000,11517,285,7,100,False,0,0.019,-372.0,1182.0,-162.0,2020,Sakhir Grand Prix
6,51,MEDIUM,24.0,20.7,57.8,1016.3,False,23.0,4,1.8,00:00.031,11535,286,7,100,False,0,2.496,-372.0,1207.0,-162.0,2020,Sakhir Grand Prix
6,51,MEDIUM,24.0,20.7,57.8,1016.3,False,23.0,4,1.8,00:00.213,11572,288,7,100,False,0,17.062,-366.0,1351.0,-161.0,2020,Sakhir Grand Prix
6,51,MEDIUM,24.0,20.7,57.8,1016.3,False,23.0,4,1.8,00:00.251,11605,288,7,100,False,0,20.109,-365.0,1382.0,-162.0,2020,Sakhir Grand Prix
6,51,MEDIUM,24.0,20.7,57.8,1016.3,False,23.0,4,1.8,00:00.453,11638,289,7,100,False,0,36.329,-358.0,1544.0,-162.0,2020,Sakhir Grand Prix
6,51,MEDIUM,24.0,20.7,57.8,1016.3,False,23.0,4,1.8,00:00.471,11304,289,7,100,False,0,37.776,-358.0,1559.0,-162.0,2020,Sakhir Grand Prix
6,51,MEDIUM,24.0,20.7,57.8,1016.3,False,23.0,4,1.8,00:00.691,10970,289,7,100,False,0,55.501,-350.0,1736.0,-162.0,2020,Sakhir Grand Prix
6,51,MEDIUM,24.0,20.7,57.8,1016.3,False,23.0,4,1.8,00:00.693,10636,290,7,100,False,0,55.662,-349.0,1737.0,-162.0,2020,Sakhir Grand Prix
6,51,MEDIUM,24.0,20.7,57.8,1016.3,False,23.0,4,1.8,00:00.911,10553,291,7,100,False,0,73.338,-341.0,1914.0,-162.0,2020,Sakhir Grand Prix
6,51,MEDIUM,24.0,20.7,57.8,1016.3,False,23.0,4,1.8,00:00.933,10470,292,8,100,False,0,75.129,-340.0,1931.0,-161.0,2020,Sakhir Grand Prix
6,51,MEDIUM,24.0,20.7,57.8,1016.3,False,23.0,4,1.8,00:01.131,10511,293,8,100,False,0,91.298,-332.0,2093.0,-162.0,2020,Sakhir Grand Prix
