DriverNumber,LapNumber,Compound,TyreLife,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Distance,X,Y,Z,Year,Event
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:00.000,11774,220,5,100,False,1,0.188,497.0,-1421.0,1655.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:00.013,11811,221,5,100,False,1,0.999,505.0,-1420.0,1655.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:00.086,11885,224,5,100,False,1,5.565,548.0,-1409.0,1654.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:00.233,12092,226,5,100,False,1,14.824,639.0,-1389.0,1654.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:00.326,12300,228,5,100,False,1,20.765,699.0,-1375.0,1653.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:00.434,11740,231,5,100,False,1,27.771,770.0,-1359.0,1654.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:00.566,11180,235,5,100,False,1,36.432,850.0,-1340.0,1654.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:00.653,11082,236,5,100,False,1,42.158,903.0,-1329.0,1655.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:00.806,10984,238,6,100,False,1,52.298,1001.0,-1306.0,1655.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:00.873,11109,240,6,100,False,1,56.79,1045.0,-1296.0,1655.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:01.046,11234,243,6,100,False,1,68.498,1158.0,-1269.0,1654.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:01.093,11303,244,6,100,False,1,71.693,1189.0,-1262.0,1655.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:01.286,11372,246,6,100,False,1,84.898,1316.0,-1233.0,1655.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:01.294,11430,247,6,100,False,1,85.451,1322.0,-1232.0,1655.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:01.513,11488,249,6,100,False,1,100.723,1477.0,-1196.0,1655.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:01.566,11546,251,6,100,False,1,104.421,1512.0,-1187.0,1655.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:01.733,11609,251,6,100,False,1,116.034,1620.0,-1163.0,1656.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:01.806,11673,251,6,100,False,1,121.154,1669.0,-1151.0,1655.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:01.953,11756,254,6,100,False,1,131.611,1772.0,-1128.0,1655.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:02.046,11840,257,6,100,False,1,138.287,1836.0,-1113.0,1654.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:02.154,11895,258,6,100,False,1,146.071,1911.0,-1096.0,1655.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:02.286,11951,260,6,100,False,1,155.621,2003.0,-1074.0,1655.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:02.374,12022,261,6,100,False,1,162.003,2066.0,-1060.0,1656.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:02.526,12094,262,6,100,False,1,173.087,2174.0,-1035.0,1654.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:02.593,12144,264,6,100,False,1,178.013,2222.0,-1024.0,1654.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:02.766,12195,266,6,100,False,1,190.821,2345.0,-994.0,1654.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:02.813,12211,267,6,100,False,1,194.311,2379.0,-987.0,1655.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:03.006,12227,268,6,100,False,1,208.687,2518.0,-954.0,1655.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:03.014,12282,268,6,100,False,1,209.285,2524.0,-953.0,1655.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:03.233,12337,269,6,100,False,1,225.705,2684.0,-915.0,1655.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:03.246,12393,270,6,100,False,1,226.687,2693.0,-912.0,1654.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:03.453,12432,271,6,100,False,1,242.406,2852.0,-873.0,1655.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:03.486,12472,273,6,100,True,1,244.887,2875.0,-867.0,1655.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:03.672,12173,269,6,52,True,1,258.641,3004.0,-837.0,1656.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:03.726,11875,265,6,5,True,1,262.554,3041.0,-828.0,1656.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:03.892,11468,259,6,2,True,1,274.34,3158.0,-804.0,1656.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:03.966,11062,253,6,0,True,1,279.421,3208.0,-793.0,1655.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:04.093,10755,243,6,0,True,1,287.843,3293.0,-778.0,1655.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:04.206,10448,234,6,0,True,1,295.021,3365.0,-765.0,1654.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:04.313,10336,224,6,0,True,1,301.543,3433.0,-755.0,1655.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:04.446,10224,215,6,0,True,1,309.354,3518.0,-741.0,1654.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:04.533,10381,209,6,0,True,1,314.341,3572.0,-733.0,1655.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:04.686,10539,204,5,0,True,1,322.954,3656.0,-719.0,1655.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:04.752,10357,201,5,0,True,1,326.65,3692.0,-714.0,1655.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:04.926,10175,198,5,0,True,1,336.154,3785.0,-699.0,1654.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:04.953,10578,188,5,0,True,1,337.556,3800.0,-697.0,1654.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:05.166,10981,178,5,0,True,1,348.021,3906.0,-679.0,1653.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:05.173,10751,174,5,0,True,1,348.355,3910.0,-679.0,1653.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:05.393,10521,170,5,0,True,1,358.573,3998.0,-665.0,1652.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:05.406,10291,167,4,0,True,1,359.154,4003.0,-664.0,1651.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:05.613,10140,160,4,0,True,1,368.043,4093.0,-648.0,1650.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:05.646,9989,154,4,0,True,1,369.421,4107.0,-645.0,1649.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:05.833,10257,150,4,0,True,1,377.067,4188.0,-632.0,1647.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:05.846,10525,147,4,0,True,1,377.587,4193.0,-631.0,1646.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:06.053,10284,143,4,0,True,1,385.661,4272.0,-619.0,1645.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:06.086,10044,140,3,0,True,1,386.921,4284.0,-616.0,1644.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:06.273,9788,137,3,0,True,1,393.927,4355.0,-604.0,1641.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:06.326,9533,134,3,0,True,1,395.854,4374.0,-600.0,1640.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:06.493,9319,130,3,0,True,1,401.732,4434.0,-587.0,1638.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:06.566,9106,126,3,0,True,1,404.254,4459.0,-580.0,1636.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:06.694,8955,124,3,0,True,1,408.644,4502.0,-567.0,1634.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:06.806,8805,122,3,0,True,1,412.387,4533.0,-554.0,1632.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:06.913,8582,118,3,0,True,1,415.828,4562.0,-542.0,1631.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:07.046,8360,114,3,0,True,1,419.987,4595.0,-523.0,1627.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:07.133,8214,112,3,0,True,1,422.687,4617.0,-510.0,1626.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:07.286,8069,111,3,0,True,1,427.387,4651.0,-483.0,1625.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:07.353,7925,109,3,0,True,1,429.423,4665.0,-471.0,1625.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:07.526,7782,108,3,0,True,1,434.587,4698.0,-436.0,1623.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:07.554,7648,105,3,0,True,1,435.403,4703.0,-430.0,1623.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:07.766,7514,103,3,0,True,1,441.454,4736.0,-380.0,1623.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:07.773,7480,102,3,0,True,1,441.653,4737.0,-379.0,1623.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:07.993,7446,102,3,0,True,1,447.892,4765.0,-323.0,1620.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:08.006,7412,102,3,0,False,1,448.254,4766.0,-319.0,1619.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:08.213,7348,100,3,0,False,1,453.893,4784.0,-263.0,1615.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:08.246,7284,98,3,0,False,1,454.787,4786.0,-253.0,1614.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:08.433,7246,98,3,2,False,1,459.877,4797.0,-201.0,1613.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:08.486,7208,98,3,4,False,1,461.321,4799.0,-185.0,1612.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:08.634,7212,98,3,9,False,1,465.351,4804.0,-143.0,1611.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:08.726,7216,98,3,14,False,1,467.854,4806.0,-116.0,1609.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:08.853,7253,98,3,16,False,1,471.307,4808.0,-80.0,1606.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:08.966,7291,98,3,19,False,1,474.387,4808.0,-47.0,1602.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:09.073,7330,98,3,24,False,1,477.319,4808.0,-17.0,1599.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:09.206,7370,99,3,29,False,1,480.987,4805.0,19.0,1595.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:09.293,7563,100,3,33,False,1,483.403,4804.0,44.0,1594.0,2020,Turkish Grand Prix
99,10,INTERMEDIATE,2.0,13.3,81.9,1008.5,False,16.1,181,1.1,00:09.446,7757,101,3,38,False,1,487.721,4799.0,88.0,1590.0,2020,Turkish Grand Prix
