DriverNumber,LapNumber,Compound,TyreLife,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Distance,X,Y,Z,Year,Event
31,1,SOFT,1.0,24.6,51.4,1015.1,False,40.5,272,0.1,00:00.613,9804,4,1,26,False,1,0.392,974.0,-628.0,-246.0,2021,Azerbaijan Grand Prix
31,1,SOFT,1.0,24.6,51.4,1015.1,False,40.5,272,0.1,00:00.659,8964,8,1,27,False,1,0.533,974.5969667196646,-627.2551379855064,-246.03270468328583,2021,Azerbaijan Grand Prix
31,1,SOFT,1.0,24.6,51.4,1015.1,False,40.5,272,0.1,00:00.833,8124,12,1,27,False,1,1.23,978.0,-622.0,-246.0,2021,Azerbaijan Grand Prix
31,1,SOFT,1.0,24.6,51.4,1015.1,False,40.5,272,0.1,00:00.899,7284,16,1,27,False,1,1.6,978.7529594694647,-618.7115417361869,-245.69939245151883,2021,Azerbaijan Grand Prix
31,1,SOFT,1.0,24.6,51.4,1015.1,False,40.5,272,0.1,00:01.053,6444,22,1,29,False,1,2.734,983.0,-611.0,-245.0,2021,Azerbaijan Grand Prix
31,1,SOFT,1.0,24.6,51.4,1015.1,False,40.5,272,0.1,00:01.139,5604,28,1,31,False,1,3.467,990.9204761842623,-609.5247748148911,-245.31419244650186,2021,Azerbaijan Grand Prix
31,1,SOFT,1.0,24.6,51.4,1015.1,False,40.5,272,0.1,00:01.273,4990,31,1,36,False,1,4.689,1008.0,-609.0,-246.0,2021,Azerbaijan Grand Prix
31,1,SOFT,1.0,24.6,51.4,1015.1,False,40.5,272,0.1,00:01.379,4376,35,1,42,False,1,5.8,1021.1555359966417,-606.9526710177338,-245.63079060420685,2021,Azerbaijan Grand Prix
31,1,SOFT,1.0,24.6,51.4,1015.1,False,40.5,272,0.1,00:01.493,4796,41,1,47,False,1,7.2,1035.0,-603.0,-245.0,2021,Azerbaijan Grand Prix
31,1,SOFT,1.0,24.6,51.4,1015.1,False,40.5,272,0.1,00:01.619,5216,47,1,52,False,1,8.933,1050.1850684060348,-596.4822656828106,-244.9172600520294,2021,Azerbaijan Grand Prix
31,1,SOFT,1.0,24.6,51.4,1015.1,False,40.5,272,0.1,00:01.713,5815,51,1,53,False,1,10.31,1062.0,-591.0,-245.0,2021,Azerbaijan Grand Prix
31,1,SOFT,1.0,24.6,51.4,1015.1,False,40.5,272,0.1,00:01.859,6414,55,1,55,False,1,12.6,1081.9546823818007,-582.5316867884164,-245.01028247392168,2021,Azerbaijan Grand Prix
31,1,SOFT,1.0,24.6,51.4,1015.1,False,40.5,272,0.1,00:01.933,7079,59,1,58,False,1,13.838,1093.0,-578.0,-245.0,2021,Azerbaijan Grand Prix
31,1,SOFT,1.0,24.6,51.4,1015.1,False,40.5,272,0.1,00:02.099,7744,64,1,61,False,1,16.867,1120.3459300502561,-566.8609628046894,-244.9988110984795,2021,Azerbaijan Grand Prix
31,1,SOFT,1.0,24.6,51.4,1015.1,False,40.5,272,0.1,00:02.153,8465,71,1,64,False,1,17.958,1130.0,-563.0,-245.0,2021,Azerbaijan Grand Prix
31,1,SOFT,1.0,24.6,51.4,1015.1,False,40.5,272,0.1,00:02.339,9186,78,1,68,False,1,22.067,1166.0114284287795,-548.8173200290854,-245.0001762003965,2021,Azerbaijan Grand Prix
31,1,SOFT,1.0,24.6,51.4,1015.1,False,40.5,272,0.1,00:02.373,9262,83,1,75,False,1,22.859,1173.0,-546.0,-245.0,2021,Azerbaijan Grand Prix
31,1,SOFT,1.0,24.6,51.4,1015.1,False,40.5,272,0.1,00:02.578,9338,88,1,83,False,1,27.909,1217.5790014486945,-527.4343556213571,-244.99980965086473,2021,Azerbaijan Grand Prix
