DriverNumber,LapNumber,Compound,TyreLife,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Distance,X,Y,Z,Year,Event
16,25,MEDIUM,4.0,37.0,6.0,995.7,False,49.4,139,2.5,00:00.000,11120,277,7,100,False,0,0.234,820.0,-478.0,1707.0,2022,Spanish Grand Prix
16,25,MEDIUM,4.0,37.0,6.0,995.7,False,49.4,139,2.5,00:00.122,11170,278,7,100,False,0,9.687,769.9444780946525,-555.3019362100024,1706.912366928804,2022,Spanish Grand Prix
16,25,MEDIUM,4.0,37.0,6.0,995.7,False,49.4,139,2.5,00:00.200,11224,279,7,100,False,0,15.743,736.0,-608.0,1707.0,2022,Spanish Grand Prix
16,25,MEDIUM,4.0,37.0,6.0,995.7,False,49.4,139,2.5,00:00.322,11278,280,7,100,False,0,25.243,677.4634808143896,-700.0616555164308,1707.2910176360274,2022,Spanish Grand Prix
16,25,MEDIUM,4.0,37.0,6.0,995.7,False,49.4,139,2.5,00:00.560,11318,281,7,100,False,0,43.885,561.0,-885.0,1708.0,2022,Spanish Grand Prix
16,25,MEDIUM,4.0,37.0,6.0,995.7,False,49.4,139,2.5,00:00.562,11359,282,7,100,False,0,44.043,560.1491672583765,-886.346281142801,1708.0034184749693,2022,Spanish Grand Prix
16,25,MEDIUM,4.0,37.0,6.0,995.7,False,49.4,139,2.5,00:00.762,11408,283,7,100,False,0,59.765,487.05177881524133,-1001.4093294896171,1708.1022791112323,2022,Spanish Grand Prix
16,25,MEDIUM,4.0,37.0,6.0,995.7,False,49.4,139,2.5,00:00.922,11407,283,7,100,False,0,72.343,431.84411773516774,-1087.7651082417196,1708.0145618451224,2022,Spanish Grand Prix
16,25,MEDIUM,4.0,37.0,6.0,995.7,False,49.4,139,2.5,00:00.960,11443,284,7,100,False,0,75.348,417.0,-1111.0,1708.0,2022,Spanish Grand Prix
16,25,MEDIUM,4.0,37.0,6.0,995.7,False,49.4,139,2.5,00:01.199,11479,285,7,100,False,0,94.416,315.0,-1271.0,1708.0,2022,Spanish Grand Prix
16,25,MEDIUM,4.0,37.0,6.0,995.7,False,49.4,139,2.5,00:01.242,11515,287,7,100,False,0,97.854,298.27576124327817,-1297.4100610542614,1708.0344717389803,2022,Spanish Grand Prix
16,25,MEDIUM,4.0,37.0,6.0,995.7,False,49.4,139,2.5,00:01.439,11541,287,7,100,False,0,113.607,212.0,-1434.0,1708.0,2022,Spanish Grand Prix
16,25,MEDIUM,4.0,37.0,6.0,995.7,False,49.4,139,2.5,00:01.482,11568,288,7,100,False,0,117.054,182.63181512095534,-1480.273298925702,1707.8065380673036,2022,Spanish Grand Prix
16,25,MEDIUM,4.0,37.0,6.0,995.7,False,49.4,139,2.5,00:01.619,11594,289,7,100,False,0,128.062,83.0,-1637.0,1707.0,2022,Spanish Grand Prix
