DriverNumber,LapNumber,Compound,TyreLife,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Distance,X,Y,Z,Year,Event
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:00.698,8446,4,2,24,True,1,0.028,2741.0,-2060.0,699.0,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:00.839,7886,8,2,24,False,1,0.356,2740.71547130131,-2060.5607560804942,698.9690810732551,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:00.879,7186,11,2,23,False,1,0.481,2741.0,-2061.0,699.0,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:01.039,6486,14,2,23,False,1,1.133,2744.655383324927,-2064.4424905817536,699.3794785612318,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:01.159,6145,16,2,23,False,1,1.807,2749.0,-2069.0,699.0,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:01.260,5804,19,2,23,False,1,2.469,2753.0,-2074.0,698.0,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:01.279,5463,22,2,23,False,1,2.6,2753.6836543244062,-2074.9042615518347,697.8953628040649,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:01.439,5431,24,2,23,False,1,3.778,2759.0,-2082.0,698.0,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:01.479,5400,27,2,23,False,1,4.1,2760.6745491651423,-2083.936447641806,697.9281479700019,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:01.659,5467,29,2,23,False,1,5.689,2771.0,-2095.0,697.0,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:01.679,5535,32,2,23,False,1,5.878,2772.510727142323,-2096.6745589854872,696.9074724185637,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:01.999,5549,38,2,23,False,1,9.256,2803.0,-2132.0,696.0,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:02.199,5550,46,2,25,False,1,11.811,2819.2368740701736,-2151.5472336035227,695.5687637926166,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:02.380,5260,47,2,25,False,1,14.165,2832.0,-2167.0,695.0,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:02.439,4970,48,2,26,False,1,15.011,2836.000196922597,-2171.772276969298,694.7392197350599,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:02.759,5321,55,2,29,False,1,20.528,2860.0,-2200.0,693.0,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:02.839,5672,63,2,32,False,1,22.011,2868.4776140622653,-2210.0217604750756,692.6426920573771,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:02.999,6074,66,2,33,False,1,25.017,2888.0,-2233.0,692.0,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:03.079,6477,69,2,35,False,1,26.611,2898.3222291509073,-2244.9614720957757,691.6627249068345,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:03.200,6625,73,2,37,False,1,29.192,2914.0,-2263.0,691.0,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:03.279,6774,78,2,39,False,1,30.944,2923.76363941164,-2274.2442252956953,690.3548263405788,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:03.419,7036,80,2,38,False,1,34.124,2945.0,-2299.0,689.0,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:03.519,7298,83,2,38,False,1,36.478,2968.9262540216077,-2327.319095513422,688.10824180194,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:03.659,7531,86,2,38,False,1,39.914,3004.0,-2369.0,687.0,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:03.719,7765,89,2,38,False,1,41.422,3014.4588587452204,-2381.4082357005777,686.5833583611181,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:03.919,8078,93,2,41,False,1,46.589,3031.934928588778,-2401.9602116665837,685.4547263111576,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:04.040,8367,97,2,42,False,1,49.863,3045.0,-2417.0,685.0,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:04.239,8656,101,2,44,False,1,55.567,3080.0062460363583,-2457.1516289178844,684.4686258580118,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:04.300,9038,104,2,46,False,1,57.415,3092.0,-2471.0,684.0,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:04.459,9421,108,2,49,False,1,62.455,3123.0,-2507.0,682.0,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:04.678,9803,112,2,52,False,1,69.711,3167.0,-2558.0,680.0,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:04.679,10186,116,2,55,False,1,69.744,3167.2776096318867,-2558.327947156602,679.9887668759501,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:04.878,10375,123,2,62,False,1,76.544,3234.0287796758153,-2637.921012947429,677.2600467865745,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:04.899,10585,126,2,62,False,1,77.287,3240.0,-2645.0,677.0,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:05.078,10795,130,2,62,False,1,83.766,3272.8470520734554,-2683.0464795446937,675.3439829523777,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:05.238,10235,130,2,64,False,1,89.544,3293.948874403679,-2706.708481873971,674.2894630419604,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:05.278,10095,135,2,64,False,1,91.059,3302.0,-2716.0,674.0,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:05.398,9955,140,2,64,False,1,95.766,3331.7388092725982,-2750.6939738492338,673.0101351694658,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:05.399,10175,141,2,68,False,1,95.805,3332.0,-2751.0,673.0,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:05.598,10395,143,3,72,False,1,103.71,3384.1227132932713,-2812.350221298546,670.44624309909,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:05.639,10627,143,3,72,False,1,105.326,3394.0,-2824.0,670.0,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:05.798,10859,143,3,72,False,1,111.655,3427.907322776141,-2863.9984707440944,668.9101167146325,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:05.959,10333,151,3,76,False,1,118.576,3481.0,-2926.0,667.0,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:06.118,9808,159,3,80,False,1,125.788,3568.0,-3027.0,663.0,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:06.318,10523,169,4,84,False,1,135.177,3640.6997993032637,-3111.4930395050214,659.5676487275502,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:06.519,10716,174,4,85,False,1,145.125,3694.0,-3174.0,657.0,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:06.559,10910,179,4,86,False,1,147.16,3706.49432609426,-3188.7339500268063,656.3952544659581,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:06.958,11209,184,4,93,False,1,168.217,3842.0,-3349.0,650.0,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:06.959,11508,190,4,100,False,1,168.271,3842.262733003876,-3349.308673449771,649.9889668177922,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:07.279,10440,194,5,100,False,1,185.516,3908.688134980172,-3426.6643329928406,647.6527291404755,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:07.339,10722,194,5,94,False,1,188.747,3926.0,-3447.0,647.0,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:07.439,11005,194,5,89,False,1,194.138,3961.2203877388733,-3488.55392270036,645.5970644341451,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:07.479,10720,194,5,65,False,1,196.302,3976.0,-3506.0,645.0,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:07.679,10435,194,5,42,False,1,207.167,4048.0,-3591.0,642.0,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:07.799,10150,194,5,19,True,1,213.538,4089.6687896060134,-3640.566228073605,639.9966440530873,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:07.859,10064,190,5,13,True,1,216.656,4111.0,-3666.0,639.0,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:08.060,9979,186,5,7,True,1,226.824,4185.0,-3754.0,636.0,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:08.079,9894,183,5,2,True,1,227.771,4191.547763204145,-3761.6997186707704,635.7634275874556,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:08.319,10553,177,5,1,True,1,239.571,4265.308435557643,-3847.133952684937,633.2559756710581,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:08.399,10571,176,5,6,True,1,243.454,4289.0,-3875.0,632.0,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:08.499,10590,175,5,11,True,1,248.28,4320.0,-3912.0,630.0,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:08.559,10609,174,4,16,False,1,251.171,4342.07570516102,-3938.239620449911,628.8084793085192,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:08.799,10636,174,4,46,False,1,262.771,4448.3773481381895,-4063.617605040608,624.5862190072114,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:08.839,10741,176,4,48,False,1,264.739,4464.0,-4082.0,624.0,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:09.039,10846,179,4,51,True,1,274.704,4526.6842592264775,-4155.634602976441,621.6158159866523,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:09.239,10359,178,4,5,True,1,284.593,4579.075938319929,-4217.024617172249,619.5018449472287,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:09.279,10250,174,4,5,True,1,286.519,4591.0,-4231.0,619.0,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:09.479,10142,170,4,5,True,1,295.927,4657.87176210506,-4309.3922563380975,616.0965686321946,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:09.639,10165,169,4,7,True,1,303.421,4707.0,-4367.0,614.0,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:09.799,10188,169,4,10,False,1,310.949,4742.592160726133,-4408.752489205319,612.6208274528058,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:10.000,10342,169,4,26,False,1,320.475,4786.0,-4460.0,611.0,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:10.079,10497,170,4,42,False,1,324.171,4809.260549622622,-4487.6225825493475,610.0630870737375,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:10.159,10144,166,4,21,False,1,327.863,4835.0,-4518.0,609.0,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:10.519,9792,163,4,0,True,1,344.093,4949.746159273138,-4650.697069508453,604.0115561182453,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:10.520,9805,163,4,11,True,1,344.139,4950.0,-4651.0,604.0,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:10.759,9818,163,4,23,False,1,354.96,5013.0,-4727.0,601.0,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:10.919,9604,161,4,25,False,1,362.107,5095.0,-4821.0,597.0,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:11.079,9391,160,4,27,True,1,369.182,5161.907789120735,-4898.655100122785,593.7098453763169,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:11.239,9392,158,4,6,True,1,376.204,5208.439411109553,-4954.18300104556,591.6258993253895,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:11.379,9346,157,4,5,True,1,382.254,5247.0,-5000.0,591.0,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:11.419,9300,156,4,5,True,1,383.964,5258.0,-5013.0,591.0,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:11.439,9254,155,4,5,True,1,384.816,5263.514809180342,-5019.532469141285,590.9565629579633,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:11.798,9278,151,4,5,False,1,399.874,5361.890971218394,-5137.013930937687,586.1585128209595,2022,Japanese Grand Prix
23,1,INTERMEDIATE,1.0,17.5,83.0,1015.7,True,21.0,299,1.2,00:11.818,9219,151,4,17,False,1,400.714,5367.0,-5143.0,586.0,2022,Japanese Grand Prix
