DriverNumber,LapNumber,Compound,TyreLife,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Distance,X,Y,Z,Year,Event
77,18,MEDIUM,17.0,18.7,56.0,1002.5,False,31.9,244,0.8,00:00.000,11535,251,6,100,False,0,0.0,-1699.6333652947164,1285.0878817355185,1963.8596756995166,2022,British Grand Prix
77,18,MEDIUM,17.0,18.7,56.0,1002.5,False,31.9,244,0.8,00:00.054,11553,252,6,100,False,0,3.821,-1684.6360028766805,1304.513144147038,1963.8590358958777,2022,British Grand Prix
77,18,MEDIUM,17.0,18.7,56.0,1002.5,False,31.9,244,0.8,00:00.167,11063,256,6,100,False,0,11.922,-1645.0,1355.0,1964.0,2022,British Grand Prix
77,18,MEDIUM,17.0,18.7,56.0,1002.5,False,31.9,244,0.8,00:00.334,10574,260,7,100,False,0,24.043,-1566.6482648965261,1453.1992652719562,1964.5512475321268,2022,British Grand Prix
77,18,MEDIUM,17.0,18.7,56.0,1002.5,False,31.9,244,0.8,00:00.447,10570,261,7,100,False,0,32.246,-1511.0,1523.0,1965.0,2022,British Grand Prix
77,18,MEDIUM,17.0,18.7,56.0,1002.5,False,31.9,244,0.8,00:00.614,10567,262,7,100,False,0,44.421,-1435.9641962830733,1618.2063809563724,1965.6603448603191,2022,British Grand Prix
77,18,MEDIUM,17.0,18.7,56.0,1002.5,False,31.9,244,0.8,00:00.668,10617,263,7,100,False,0,48.389,-1412.0,1649.0,1966.0,2022,British Grand Prix
77,18,MEDIUM,17.0,18.7,56.0,1002.5,False,31.9,244,0.8,00:00.787,10667,264,7,100,False,0,57.191,-1359.0,1718.0,1967.0,2022,British Grand Prix
77,18,MEDIUM,17.0,18.7,56.0,1002.5,False,31.9,244,0.8,00:00.814,10718,266,7,100,False,0,59.198,-1347.464275033876,1733.311623572245,1967.2148772400155,2022,British Grand Prix
77,18,MEDIUM,17.0,18.7,56.0,1002.5,False,31.9,244,0.8,00:01.054,10840,270,7,100,False,0,77.198,-1249.704731506888,1867.1701980279813,1968.8905241562088,2022,British Grand Prix
77,18,MEDIUM,17.0,18.7,56.0,1002.5,False,31.9,244,0.8,00:01.067,10880,271,7,100,False,0,78.179,-1244.0,1875.0,1969.0,2022,British Grand Prix
77,18,MEDIUM,17.0,18.7,56.0,1002.5,False,31.9,244,0.8,00:01.268,10921,272,7,100,False,0,93.416,-1146.0,2009.0,1971.0,2022,British Grand Prix
77,18,MEDIUM,17.0,18.7,56.0,1002.5,False,31.9,244,0.8,00:01.294,10962,273,7,100,False,0,95.398,-1131.6319368700952,2028.6851314643623,1971.2708294633098,2022,British Grand Prix
77,18,MEDIUM,17.0,18.7,56.0,1002.5,False,31.9,244,0.8,00:01.534,11039,276,7,100,False,0,113.798,-991.0689617118511,2221.8841497870944,1973.700988884631,2022,British Grand Prix
77,18,MEDIUM,17.0,18.7,56.0,1002.5,False,31.9,244,0.8,00:01.567,11102,276,7,100,False,0,116.335,-975.0,2244.0,1974.0,2022,British Grand Prix
77,18,MEDIUM,17.0,18.7,56.0,1002.5,False,31.9,244,0.8,00:01.694,11166,277,7,100,False,0,126.109,-924.6538596731235,2313.3297841602644,1975.0475403807677,2022,British Grand Prix
77,18,MEDIUM,17.0,18.7,56.0,1002.5,False,31.9,244,0.8,00:01.894,11275,279,7,100,False,0,141.609,-861.4979120673628,2400.39632801578,1976.6624029548473,2022,British Grand Prix
77,18,MEDIUM,17.0,18.7,56.0,1002.5,False,31.9,244,0.8,00:01.928,11318,281,7,100,False,0,144.27,-848.0,2419.0,1977.0,2022,British Grand Prix
77,18,MEDIUM,17.0,18.7,56.0,1002.5,False,31.9,244,0.8,00:02.108,11362,283,7,100,False,0,158.501,-766.0,2532.0,1979.0,2022,British Grand Prix
77,18,MEDIUM,17.0,18.7,56.0,1002.5,False,31.9,244,0.8,00:02.374,11406,286,7,100,False,0,179.743,-646.5732051945231,2698.6926989129934,1981.7971095897637,2022,British Grand Prix
77,18,MEDIUM,17.0,18.7,56.0,1002.5,False,31.9,244,0.8,00:02.388,11445,286,7,100,False,0,180.86,-638.0,2711.0,1982.0,2022,British Grand Prix
77,18,MEDIUM,17.0,18.7,56.0,1002.5,False,31.9,244,0.8,00:02.568,11485,286,7,100,False,0,195.211,-512.0,2894.0,1985.0,2022,British Grand Prix
77,18,MEDIUM,17.0,18.7,56.0,1002.5,False,31.9,244,0.8,00:02.814,11525,287,7,100,False,0,214.821,-417.9994254956657,3031.900275636816,1987.1571674660274,2022,British Grand Prix
77,18,MEDIUM,17.0,18.7,56.0,1002.5,False,31.9,244,0.8,00:03.028,11568,287,7,100,False,0,231.916,-351.0,3133.0,1989.0,2022,British Grand Prix
77,18,MEDIUM,17.0,18.7,56.0,1002.5,False,31.9,244,0.8,00:03.094,11612,288,7,100,False,0,237.221,-320.271721252605,3179.605136796854,1989.9361692996113,2022,British Grand Prix
77,18,MEDIUM,17.0,18.7,56.0,1002.5,False,31.9,244,0.8,00:03.287,11633,290,7,100,False,0,252.85,-218.0,3334.0,1993.0,2022,British Grand Prix
