DriverNumber,LapNumber,Compound,TyreLife,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Distance,X,Y,Z,Year,Event
24,34,HARD,23.0,25.5,47.0,1008.2,False,39.8,91,1.0,00:00.000,11227,315,8,100,False,0,0.013,1098.0,-576.0,-245.0,2023,Azerbaijan Grand Prix
24,34,HARD,23.0,25.5,47.0,1008.2,False,39.8,91,1.0,00:00.268,11212,315,8,100,False,0,23.539,1255.0,-512.0,-245.0,2023,Azerbaijan Grand Prix
24,34,HARD,23.0,25.5,47.0,1008.2,False,39.8,91,1.0,00:00.297,11181,316,8,100,False,0,26.076,1276.0,-503.0,-244.0,2023,Azerbaijan Grand Prix
24,34,HARD,23.0,25.5,47.0,1008.2,False,39.8,91,1.0,00:00.537,11253,314,8,100,False,0,47.01,1472.0,-421.0,-244.0,2023,Azerbaijan Grand Prix
24,34,HARD,23.0,25.5,47.0,1008.2,False,39.8,91,1.0,00:00.548,11203,313,8,100,False,0,47.967,1482.0,-418.0,-244.0,2023,Azerbaijan Grand Prix
24,34,HARD,23.0,25.5,47.0,1008.2,False,39.8,91,1.0,00:00.707,11153,313,8,100,False,0,61.785,1610.0,-364.0,-244.0,2023,Azerbaijan Grand Prix
24,34,HARD,23.0,25.5,47.0,1008.2,False,39.8,91,1.0,00:00.777,11103,313,8,100,False,0,67.876,1666.0,-340.0,-243.0,2023,Azerbaijan Grand Prix
24,34,HARD,23.0,25.5,47.0,1008.2,False,39.8,91,1.0,00:00.867,11126,313,8,100,False,0,75.726,1739.0,-310.0,-243.0,2023,Azerbaijan Grand Prix
24,34,HARD,23.0,25.5,47.0,1008.2,False,39.8,91,1.0,00:00.977,11150,314,8,100,False,0,85.321,1823.0,-274.0,-242.0,2023,Azerbaijan Grand Prix
24,34,HARD,23.0,25.5,47.0,1008.2,False,39.8,91,1.0,00:01.137,11097,313,8,100,False,0,99.232,1945.0,-223.0,-241.0,2023,Azerbaijan Grand Prix
24,34,HARD,23.0,25.5,47.0,1008.2,False,39.8,91,1.0,00:01.227,11079,312,8,100,False,0,107.05,2027.0,-189.0,-242.0,2023,Azerbaijan Grand Prix
24,34,HARD,23.0,25.5,47.0,1008.2,False,39.8,91,1.0,00:01.447,11061,312,8,100,False,0,126.104,2251.0,-95.0,-243.0,2023,Azerbaijan Grand Prix
24,34,HARD,23.0,25.5,47.0,1008.2,False,39.8,91,1.0,00:01.457,11043,312,8,100,False,0,126.965,2259.0,-91.0,-243.0,2023,Azerbaijan Grand Prix
24,34,HARD,23.0,25.5,47.0,1008.2,False,39.8,91,1.0,00:01.787,10730,308,8,52,False,0,154.994,2475.0,-3.0,-243.0,2023,Azerbaijan Grand Prix
24,34,HARD,23.0,25.5,47.0,1008.2,False,39.8,91,1.0,00:01.817,10417,305,8,4,True,0,157.465,2496.0,5.0,-243.0,2023,Azerbaijan Grand Prix
24,34,HARD,23.0,25.5,47.0,1008.2,False,39.8,91,1.0,00:01.967,10240,295,8,2,True,0,169.521,2613.0,55.0,-244.0,2023,Azerbaijan Grand Prix
24,34,HARD,23.0,25.5,47.0,1008.2,False,39.8,91,1.0,00:02.017,10063,285,8,0,True,0,173.299,2650.0,71.0,-244.0,2023,Azerbaijan Grand Prix
24,34,HARD,23.0,25.5,47.0,1008.2,False,39.8,91,1.0,00:02.127,9572,267,8,0,True,0,181.05,2728.0,106.0,-244.0,2023,Azerbaijan Grand Prix
24,34,HARD,23.0,25.5,47.0,1008.2,False,39.8,91,1.0,00:02.367,9081,250,8,0,True,0,195.999,2884.0,175.0,-245.0,2023,Azerbaijan Grand Prix
24,34,HARD,23.0,25.5,47.0,1008.2,False,39.8,91,1.0,00:02.377,8591,233,8,0,True,0,196.599,2891.0,178.0,-245.0,2023,Azerbaijan Grand Prix
24,34,HARD,23.0,25.5,47.0,1008.2,False,39.8,91,1.0,00:02.627,8389,221,8,0,True,0,211.147,3094.0,258.0,-246.0,2023,Azerbaijan Grand Prix
24,34,HARD,23.0,25.5,47.0,1008.2,False,39.8,91,1.0,00:02.657,8188,209,8,0,True,0,212.854,3114.0,265.0,-246.0,2023,Azerbaijan Grand Prix
24,34,HARD,23.0,25.5,47.0,1008.2,False,39.8,91,1.0,00:02.817,8512,199,7,0,True,0,221.699,3202.0,296.0,-246.0,2023,Azerbaijan Grand Prix
24,34,HARD,23.0,25.5,47.0,1008.2,False,39.8,91,1.0,00:02.977,8135,173,7,0,True,0,229.388,3263.0,316.0,-246.0,2023,Azerbaijan Grand Prix
24,34,HARD,23.0,25.5,47.0,1008.2,False,39.8,91,1.0,00:03.107,8058,161,7,0,True,0,235.026,3313.0,335.0,-247.0,2023,Azerbaijan Grand Prix
24,34,HARD,23.0,25.5,47.0,1008.2,False,39.8,91,1.0,00:03.296,7982,150,5,0,True,0,242.679,3389.0,367.0,-247.0,2023,Azerbaijan Grand Prix
24,34,HARD,23.0,25.5,47.0,1008.2,False,39.8,91,1.0,00:03.528,8155,145,5,0,True,0,251.868,3474.0,408.0,-247.0,2023,Azerbaijan Grand Prix
24,34,HARD,23.0,25.5,47.0,1008.2,False,39.8,91,1.0,00:03.617,8329,141,5,0,True,0,255.252,3498.0,421.0,-246.0,2023,Azerbaijan Grand Prix
24,34,HARD,23.0,25.5,47.0,1008.2,False,39.8,91,1.0,00:03.937,7967,128,4,0,True,0,266.629,3560.0,465.0,-245.0,2023,Azerbaijan Grand Prix
24,34,HARD,23.0,25.5,47.0,1008.2,False,39.8,91,1.0,00:03.948,7910,125,4,0,True,0,267.006,3562.0,467.0,-246.0,2023,Azerbaijan Grand Prix
24,34,HARD,23.0,25.5,47.0,1008.2,False,39.8,91,1.0,00:04.128,7853,122,4,0,True,0,273.053,3595.0,499.0,-246.0,2023,Azerbaijan Grand Prix
24,34,HARD,23.0,25.5,47.0,1008.2,False,39.8,91,1.0,00:04.297,7797,120,4,0,True,0,278.629,3629.0,536.0,-244.0,2023,Azerbaijan Grand Prix
24,34,HARD,23.0,25.5,47.0,1008.2,False,39.8,91,1.0,00:04.328,7662,119,4,0,True,0,279.649,3636.0,544.0,-244.0,2023,Azerbaijan Grand Prix
24,34,HARD,23.0,25.5,47.0,1008.2,False,39.8,91,1.0,00:04.508,7527,118,4,0,True,0,285.55,3669.0,591.0,-244.0,2023,Azerbaijan Grand Prix
24,34,HARD,23.0,25.5,47.0,1008.2,False,39.8,91,1.0,00:04.537,7393,118,4,0,False,0,286.496,3673.0,599.0,-243.0,2023,Azerbaijan Grand Prix
24,34,HARD,23.0,25.5,47.0,1008.2,False,39.8,91,1.0,00:04.608,7442,117,4,9,False,0,288.808,3685.0,619.0,-244.0,2023,Azerbaijan Grand Prix
