DriverNumber,LapNumber,Compound,TyreLife,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Distance,X,Y,Z,Year,Event
27,44,HARD,18.0,18.0,48.0,939.7,False,17.6,290,1.5,00:00.000,11113,312,8,100,False,0,0.001,2053,-635,6065,2023,Las Vegas Grand Prix
27,44,HARD,18.0,18.0,48.0,939.7,False,17.6,290,1.5,00:00.161,11113,312,8,100,False,0,13.953,2126,-547,6064,2023,Las Vegas Grand Prix
27,44,HARD,18.0,18.0,48.0,939.7,False,17.6,290,1.5,00:00.361,11118,312,8,100,False,0,31.287,2223,-434,6064,2023,Las Vegas Grand Prix
27,44,HARD,18.0,18.0,48.0,939.7,False,17.6,290,1.5,00:00.400,11121,312,8,100,False,0,34.674,2244,-411,6064,2023,Las Vegas Grand Prix
27,44,HARD,18.0,18.0,48.0,939.7,False,17.6,290,1.5,00:00.561,11125,313,8,100,False,0,48.676,2336,-306,6063,2023,Las Vegas Grand Prix
27,44,HARD,18.0,18.0,48.0,939.7,False,17.6,290,1.5,00:00.580,11124,313,8,100,False,0,50.328,2348,-294,6064,2023,Las Vegas Grand Prix
27,44,HARD,18.0,18.0,48.0,939.7,False,17.6,290,1.5,00:00.760,11123,313,8,100,False,0,65.973,2453,-178,6064,2023,Las Vegas Grand Prix
27,44,HARD,18.0,18.0,48.0,939.7,False,17.6,290,1.5,00:00.960,11122,313,8,100,False,0,83.362,2569,-48,6064,2023,Las Vegas Grand Prix
27,44,HARD,18.0,18.0,48.0,939.7,False,17.6,290,1.5,00:01.001,11122,313,8,100,False,0,86.931,2592,-21,6063,2023,Las Vegas Grand Prix
27,44,HARD,18.0,18.0,48.0,939.7,False,17.6,290,1.5,00:01.120,11119,313,8,100,False,0,97.299,2662,54,6064,2023,Las Vegas Grand Prix
27,44,HARD,18.0,18.0,48.0,939.7,False,17.6,290,1.5,00:01.340,11116,313,8,100,False,0,116.495,2789,197,6064,2023,Las Vegas Grand Prix
27,44,HARD,18.0,18.0,48.0,939.7,False,17.6,290,1.5,00:01.401,11113,314,8,100,False,0,121.82,2824,236,6063,2023,Las Vegas Grand Prix
27,44,HARD,18.0,18.0,48.0,939.7,False,17.6,290,1.5,00:01.580,11145,314,8,100,False,0,137.45,2929,353,6063,2023,Las Vegas Grand Prix
27,44,HARD,18.0,18.0,48.0,939.7,False,17.6,290,1.5,00:01.681,11177,314,8,100,False,0,146.242,2987,418,6063,2023,Las Vegas Grand Prix
27,44,HARD,18.0,18.0,48.0,939.7,False,17.6,290,1.5,00:01.760,11050,310,8,50,False,0,153.096,3033,470,6064,2023,Las Vegas Grand Prix
27,44,HARD,18.0,18.0,48.0,939.7,False,17.6,290,1.5,00:01.881,10923,306,8,0,True,0,163.242,3104,549,6064,2023,Las Vegas Grand Prix
27,44,HARD,18.0,18.0,48.0,939.7,False,17.6,290,1.5,00:01.960,10495,288,8,0,True,0,169.36,3148,598,6064,2023,Las Vegas Grand Prix
27,44,HARD,18.0,18.0,48.0,939.7,False,17.6,290,1.5,00:02.220,10067,270,8,0,True,0,187.186,3282,748,6063,2023,Las Vegas Grand Prix
27,44,HARD,18.0,18.0,48.0,939.7,False,17.6,290,1.5,00:02.242,9639,253,8,0,True,0,188.612,3297,765,6063,2023,Las Vegas Grand Prix
27,44,HARD,18.0,18.0,48.0,939.7,False,17.6,290,1.5,00:02.401,9249,227,7,0,True,0,198.638,3421,902,6063,2023,Las Vegas Grand Prix
27,44,HARD,18.0,18.0,48.0,939.7,False,17.6,290,1.5,00:02.420,9450,221,7,0,True,0,199.804,3434,916,6064,2023,Las Vegas Grand Prix
27,44,HARD,18.0,18.0,48.0,939.7,False,17.6,290,1.5,00:02.562,9651,215,7,0,True,0,208.254,3493,981,6064,2023,Las Vegas Grand Prix
27,44,HARD,18.0,18.0,48.0,939.7,False,17.6,290,1.5,00:02.840,9652,200,7,0,True,0,222.865,3540,1032,6063,2023,Las Vegas Grand Prix
27,44,HARD,18.0,18.0,48.0,939.7,False,17.6,290,1.5,00:02.921,9653,185,6,0,True,0,226.702,3568,1062,6062,2023,Las Vegas Grand Prix
27,44,HARD,18.0,18.0,48.0,939.7,False,17.6,290,1.5,00:02.960,9661,170,6,0,True,0,228.489,3582,1078,6063,2023,Las Vegas Grand Prix
