DriverNumber,LapNumber,Compound,TyreLife,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Distance,X,Y,Z,Year,Event
14,13,MEDIUM,14.0,20.1,50.0,785.3,False,36.5,321,3.6,00:00.000,10844,253,6,99,False,8,0.106,-144.39876195669936,1205.8927854057777,22270.28742100667,2024,Mexico City Grand Prix
14,13,MEDIUM,14.0,20.1,50.0,785.3,False,36.5,321,3.6,00:00.184,10540,255,7,99,False,8,13.222,-16.91861854149685,1186.917091225963,22270.92568539308,2024,Mexico City Grand Prix
14,13,MEDIUM,14.0,20.1,50.0,785.3,False,36.5,321,3.6,00:00.225,10636,258,7,99,False,8,16.176,9.0,1183.0,22271.0,2024,Mexico City Grand Prix
14,13,MEDIUM,14.0,20.1,50.0,785.3,False,36.5,321,3.6,00:00.465,10732,261,7,99,False,8,33.595,170.9956914071846,1157.4756796190154,22271.01364638533,2024,Mexico City Grand Prix
14,13,MEDIUM,14.0,20.1,50.0,785.3,False,36.5,321,3.6,00:00.485,10805,261,7,99,False,8,35.043,192.0,1154.0,22271.0,2024,Mexico City Grand Prix
14,13,MEDIUM,14.0,20.1,50.0,785.3,False,36.5,321,3.6,00:00.665,10878,261,7,99,False,8,48.095,422.89899789620097,1115.1854921365634,22270.99748044403,2024,Mexico City Grand Prix
14,13,MEDIUM,14.0,20.1,50.0,785.3,False,36.5,321,3.6,00:00.666,10913,264,7,99,False,8,48.168,424.0,1115.0,22271.0,2024,Mexico City Grand Prix
14,13,MEDIUM,14.0,20.1,50.0,785.3,False,36.5,321,3.6,00:00.865,10949,267,7,99,False,8,62.928,561.9548777682,1091.856100925731,22272.261230111322,2024,Mexico City Grand Prix
14,13,MEDIUM,14.0,20.1,50.0,785.3,False,36.5,321,3.6,00:01.085,11071,269,7,99,False,8,79.551,645.0,1078.0,22273.0,2024,Mexico City Grand Prix
14,13,MEDIUM,14.0,20.1,50.0,785.3,False,36.5,321,3.6,00:01.145,11194,272,7,99,False,8,84.084,678.668924424928,1072.3291080694635,22272.599339271394,2024,Mexico City Grand Prix
14,13,MEDIUM,14.0,20.1,50.0,785.3,False,36.5,321,3.6,00:01.305,11304,272,7,99,False,8,96.112,794.0,1053.0,22271.0,2024,Mexico City Grand Prix
14,13,MEDIUM,14.0,20.1,50.0,785.3,False,36.5,321,3.6,00:01.465,11414,272,7,99,False,8,108.261,952.3692544534421,1027.0027795505912,22270.515483539457,2024,Mexico City Grand Prix
14,13,MEDIUM,14.0,20.1,50.0,785.3,False,36.5,321,3.6,00:01.705,11550,281,7,99,False,8,126.995,1206.0,986.0,22271.0,2024,Mexico City Grand Prix
14,13,MEDIUM,14.0,20.1,50.0,785.3,False,36.5,321,3.6,00:01.865,11651,282,7,99,False,8,139.528,1326.413189620241,966.9180613832591,22271.075698357152,2024,Mexico City Grand Prix
14,13,MEDIUM,14.0,20.1,50.0,785.3,False,36.5,321,3.6,00:02.086,11692,283,7,99,False,8,156.988,1455.0,947.0,22271.0,2024,Mexico City Grand Prix
14,13,MEDIUM,14.0,20.1,50.0,785.3,False,36.5,321,3.6,00:02.145,11734,285,7,99,False,14,161.695,1489.1381265549803,941.7377055656938,22270.991313915605,2024,Mexico City Grand Prix
14,13,MEDIUM,14.0,20.1,50.0,785.3,False,36.5,321,3.6,00:02.445,11848,288,7,99,False,14,185.933,1677.0,913.0,22271.0,2024,Mexico City Grand Prix
